Kids_First_Biospecimen_ID	sample_id	tumor_fraction
BS_JK0VPG1T	7316-2159	1
BS_JKXA3FQC	7316-50	0.281587454
BS_JMHG7GCN	7316-1926	0.218310738
BS_JRYJGYC4	7316-3000	0.182228684
BS_JS95PE0J	7316-1774	0.5838051
BS_JSPR854S	7316-3567	0.682515809
BS_JT82QGXF	7316-306	0.546984995
BS_JVA2NQFF	7316-3566	0.825670605
BS_JWCX8R17	7316-493	1
BS_JWSR581E	7316-2729	0.664086156
BS_JX449BF5	7316-2672	0.476412374
BS_JX7S9MY7	7316-1773	0.921599237
BS_JXNZYGCR	7316-480	0.075999598
BS_JZRM1S3T	7316-1651	0.948254369
BS_K17VQECG	7316-440	0.873444027
BS_K25F4J3V	7316-386	0.971704513
BS_K2FHZGTK	7316-2732	0.919412371
BS_K2VYFVKZ	7316-462	0.51773315
BS_K3ER45RV	7316-3025	0.993332667
BS_K5802F84	7316-923	0.671350567
BS_K74PZET7	7316-3774	0.979479466
BS_K7MVS0Z7	7316-1664	0.157235572
BS_K81DR8XG	7316-3202	0.007198165
BS_KBT7MQ6H	7316-2567	0.709177315
BS_KDSTG5YY	7316-3624	0.271881499
BS_KE56MMY0	7316-935	0.691104143
BS_KEA474HN	7316-3922	0.246622275
BS_KF0ZXDER	7316-2191	0.686187539
BS_KK5C8VCK	7316-245	0.591163351
BS_KM2EX0K6	7316-1948	1
BS_KN92S7YQ	7316-2562	0.439069813
BS_KND4B5CW	7316-1116	0.526648255
BS_KP735TJ6	7316-2274	1
BS_KPT2WPHW	7316-359	1
BS_KQ6ZW085	7316-1776	1
BS_KR4MP5ET	7316-1476	0.355498354
BS_KVNGNETA	7316-304	0.977136318
BS_KVV7001W	7316-324	1
BS_KX6J8TRK	7316-3762	0.285584375
BS_KXCY5BN5	7316-2181	0.82347751
BS_KXH37MPN	7316-1117	0.264609612
BS_M026T44Q	7316-1808	0.800915012
BS_M0QYNVK8	7316-2217	0.78186868
BS_M15PW2N0	7316-2699	0.973875989
BS_M1T1K5WV	7316-2278	0.759029746
BS_M4NVX721	7316-1108	0.275197946
BS_M4TTKPNR	7316-441	0.534264567
BS_M7HCF7DW	7316-2092	0.788975079
BS_M8M56Z4Y	7316-393	0.400178627
BS_M8WP5T16	7316-2989	1
