Kids_First_Biospecimen_ID,gene,mutations
BS_02YBZSBY,BBOX1,1
BS_02YBZSBY,BBS7,2
BS_02YBZSBY,BCAR3,1
BS_02YBZSBY,BCAS3,1
BS_02YBZSBY,BCKDHA,1
BS_02YBZSBY,BCKDK,2
BS_02YBZSBY,BCL11B,1
BS_02YBZSBY,BCL2L12,1
BS_02YBZSBY,BCL9,4
BS_02YBZSBY,BCL9L,3
BS_02YBZSBY,BCLAF1,1
BS_02YBZSBY,BCLAF3,1
BS_02YBZSBY,BCO1,1
BS_02YBZSBY,BCO2,1
BS_02YBZSBY,BCR,2
BS_02YBZSBY,BDH2,1
BS_02YBZSBY,BDKRB1,1
BS_02YBZSBY,BDKRB2,3
BS_02YBZSBY,BECN1,2
BS_02YBZSBY,BEGAIN,2
BS_02YBZSBY,BEND3,2
BS_02YBZSBY,BEND5,1
BS_02YBZSBY,BEST2,1
BS_02YBZSBY,BET1,1
BS_02YBZSBY,BEX2,1
BS_02YBZSBY,BGN,1
BS_02YBZSBY,BHLHA9,1
BS_02YBZSBY,BHLHE23,1
BS_02YBZSBY,BHLHE40,3
BS_02YBZSBY,BHMT2,1
BS_02YBZSBY,BICDL2,1
BS_02YBZSBY,BICRA,2
BS_02YBZSBY,BID,1
BS_02YBZSBY,BIN1,1
BS_02YBZSBY,BIN2,1
BS_02YBZSBY,BIN3,1
BS_02YBZSBY,BIRC3,1
BS_02YBZSBY,BIRC6,2
BS_02YBZSBY,BIVM-ERCC5,2
BS_02YBZSBY,BLK,1
BS_02YBZSBY,BMF,1
BS_02YBZSBY,BMI1,2
BS_02YBZSBY,BMP1,2
BS_02YBZSBY,BMP10,2
BS_02YBZSBY,BMP2K,3
BS_02YBZSBY,BMP4,1
BS_02YBZSBY,BMP5,1
BS_02YBZSBY,BMP6,2
BS_02YBZSBY,BMP8B,1
BS_02YBZSBY,BMPR1A,1
BS_02YBZSBY,BMPR1B,2
BS_02YBZSBY,BMS1,1
BS_02YBZSBY,BNC1,2
BS_02YBZSBY,BNC2,2
BS_02YBZSBY,BNIP2,1
BS_02YBZSBY,BOC,1
BS_02YBZSBY,BOD1L1,2
BS_02YBZSBY,BOP1,2
BS_02YBZSBY,BPIFA1,1
BS_02YBZSBY,BPIFA2,1
BS_02YBZSBY,BPIFB1,1
BS_02YBZSBY,BPIFB2,1
BS_02YBZSBY,BPIFB4,1
BS_02YBZSBY,BPIFC,1
BS_02YBZSBY,BPTF,2
BS_02YBZSBY,BRAP,1
BS_02YBZSBY,BRAT1,1
BS_02YBZSBY,BRCA1,1
BS_02YBZSBY,BRD2,1
BS_02YBZSBY,BRD3,1
BS_02YBZSBY,BRD8,2
BS_02YBZSBY,BRF2,1
BS_02YBZSBY,BRI3BP,1
BS_02YBZSBY,BRICD5,2
BS_02YBZSBY,BRINP1,1
BS_02YBZSBY,BRIP1,1
BS_02YBZSBY,BRMS1,2
BS_02YBZSBY,BROX,1
BS_02YBZSBY,BRPF1,3
BS_02YBZSBY,BRPF3,2
BS_02YBZSBY,BRS3,1
BS_02YBZSBY,BRSK1,1
BS_02YBZSBY,BRSK2,1
BS_02YBZSBY,BRWD1,4
BS_02YBZSBY,BSDC1,1
BS_02YBZSBY,BSN,3
BS_02YBZSBY,BSPRY,1
BS_02YBZSBY,BST2,1
BS_02YBZSBY,BTAF1,1
BS_02YBZSBY,BTBD11,2
BS_02YBZSBY,BTBD17,1
BS_02YBZSBY,BTBD2,1
BS_02YBZSBY,BTBD9,2
BS_02YBZSBY,BTD,1
BS_02YBZSBY,BTN2A1,1
BS_02YBZSBY,BTN2A2,1
BS_02YBZSBY,BUB1,2
BS_02YBZSBY,BZW2,2
BS_02YBZSBY,C10orf67,1
BS_02YBZSBY,C10orf71,1
BS_02YBZSBY,C10orf88,1
BS_02YBZSBY,C10orf90,1
