Kids_First_Biospecimen_ID,count_regions_any_conf_truncated,sv_breaks_count
BS_3P96RT4E,0,114
BS_3QDRWJCF,0,28
BS_3R0KN6Z4,0,80
BS_3VKW5988,1,164
BS_3ZASRA3A,0,212
BS_3ZMH8578,0,124
BS_40FX713C,0,124
BS_40SJZGT2,0,70
BS_41SWNWAG,0,164
BS_41TD9XET,0,106
BS_42A66SH4,0,66
BS_45913DTA,0,70
BS_47454JJ6,0,168
BS_47X3VAM0,0,120
BS_49JD1V3S,0,68
BS_4DTX295Z,1,286
BS_4DY83R02,2,398
BS_4G9Y2VC6,0,50
BS_4GKH983E,1,424
BS_4M0ZMCDC,0,100
BS_4NPEMNAD,0,280
BS_4P25NNZD,0,56
BS_4PAE19ZC,0,50
BS_4QFSH7C4,0,220
BS_4RS1SC48,0,44
BS_4T8J7JEP,0,32
BS_4XPPZTGG,0,108
BS_4Z6F1HJZ,0,92
BS_4ZKN0WGS,0,74
BS_50XV7CTQ,0,92
BS_53TV75NN,0,124
BS_55N7KFHW,0,86
BS_58X7SKJS,0,176
BS_59FR1NC2,0,24
BS_5BMNK8SY,1,172
BS_5BNV7MCF,0,108
BS_5D24XV4T,0,80
BS_5KFAEMQJ,1,204
BS_5KK9P7XD,0,80
BS_5NAKYS1S,0,78
BS_5R0HHQ1Y,0,46
BS_5RD8KEED,0,98
BS_5V2FBYQG,0,56
BS_5V2XCW17,0,246
BS_5WK2KXYW,0,202
BS_5Y2Q63Y4,0,60
BS_5Z4XQC9X,0,810
BS_5ZRZC3ZM,0,76
BS_62XRDTM6,0,134
BS_69VS8PS1,1,140
BS_6FV7BDE3,0,92
BS_6FYTRKJJ,0,76
BS_6GN1FGTB,0,32
BS_6GTKRGNK,0,206
BS_6GV08HTE,0,80
BS_6HE8H9HY,0,294
BS_6KEYD1S4,0,74
BS_6NPSZJ4C,0,158
BS_6Q9PMNWY,0,32
BS_6SA5B35V,0,152
BS_6T87HSPX,1,308
BS_6TMPZKSZ,0,174
BS_6X3Z0AVR,0,36
BS_6XHDR1WS,1,138
BS_6XP91JM2,0,60
BS_6Y7FX7QJ,0,140
BS_6Z4WHYDG,0,166
BS_6ZP2KRPW,1,132
BS_70FKSKM9,0,302
BS_71HPXFE7,0,116
BS_742CDKAS,0,316
BS_74A1TB03,0,392
BS_75VHXMZN,0,52
BS_78TQS4Y3,0,42
BS_797V83YM,0,56
BS_79NQJZ09,0,112
BS_7BNQBB26,0,120
BS_7F07M7JG,0,526
BS_7GKF6M85,0,314
BS_7HC4W4SA,0,64
BS_7M5272WN,0,90
BS_7M6F9GQD,0,122
BS_7PF3C1P7,0,228
BS_7PKPNFFK,0,166
BS_7RQCH5Y7,0,50
BS_7Y5E5KQW,0,38
BS_80078QDG,3,526
BS_80X7AVCP,0,38
BS_8226HD4X,0,96
BS_823V5X6Z,1,442
BS_83MSWR59,0,180
BS_84AQCZE4,0,70
BS_859AV1DB,0,226
BS_85Q5P8GF,0,104
BS_85Y70BHE,0,102
BS_872Q3FK2,0,198
BS_886M7JMG,0,90
BS_89RCN9PF,0,112
BS_8B1YF57H,0,102
BS_8BD8WD38,0,128
BS_8BM1WTGR,0,58
BS_8BS10XE2,0,106
BS_8D52JK1Q,1,622
BS_8EB1S8MK,0,90
BS_8FSJDG2T,0,56
BS_8H2XX24V,0,252
BS_8JFMP1T1,0,104
BS_8Q8CAY84,0,50
BS_8SETK1J4,1,244
BS_8SYN7GXG,1,368
BS_8TFBNHT0,0,156
BS_8W0FNBWF,0,48
BS_8WJR4AA3,0,62
BS_8YQGSMDK,0,138
BS_922YMFYK,0,494
BS_928HWFFM,1,328
BS_93B38HPS,0,206
BS_947CK40E,0,118
BS_94AP61Q5,0,24
BS_95RRF4NE,0,126
BS_969K7ZM1,0,94
BS_96S0VQBN,0,1700
BS_99PPRCW4,0,56
BS_9BF58P80,0,160
BS_9BGCH82S,1,192
BS_9CMJ3QF6,0,166
BS_9D39MFHT,0,188
BS_9E632VPJ,1,162
BS_9E6Q11G2,0,82
BS_9F2J6VS1,0,70
BS_9G7ETYHR,0,54
BS_9GJHMA3J,0,666
BS_9GSWPZ44,0,90
BS_9HDPJT21,0,44
BS_9HEMB7RK,0,48
BS_9JVGXA2W,0,54
BS_9KDA3HG6,0,220
BS_9M49SGAQ,0,102
BS_9NF39QAW,0,124
BS_9PQPZPGM,0,34
BS_9QMVZ4C0,0,44
BS_9R82A3VT,0,54
BS_9W6FK6X4,0,36
BS_9X9E86DY,0,92
BS_9YPJANGX,0,86
BS_9ZFXXJPK,0,2442
BS_A3EV6FXK,0,102
BS_A4KYP5H0,0,248
BS_A70G7S2W,0,180
BS_ABENB1H2,0,54
BS_ABZ3BK38,0,148
BS_ACE6QKVF,0,44
BS_ACTR13BQ,0,46
BS_AEMRNSQX,0,56
BS_AG0BZN6F,0,46
BS_AGAW7M7W,0,154
BS_AGD2ATY1,0,92
BS_AGGH3QGS,0,168
BS_AJ0T7DJ7,0,46
BS_AJFG2QDD,0,98
BS_APAQ2X2S,0,192
BS_AQECMDPP,0,26
BS_AQQY8HMR,0,80
BS_AR2BH0Z4,0,106
BS_ARE4EM81,0,158
BS_ASXY97FK,0,124
BS_AVS4DSZW,0,126
BS_AWDQEKK1,0,52
BS_AXM96K20,0,112
BS_AXW0XBH8,0,66
BS_AYPBAHJ6,0,1526
BS_B1X2SB4P,0,126
BS_B3RH9V17,0,86
BS_B4DY7ET3,0,46
BS_B4P1NP87,0,148
BS_B558FJXC,0,72
BS_B6K0N6HS,1,278
BS_B6KCJF2B,0,98
BS_B73JK7T1,1,166
BS_B91XGSA5,0,140
BS_B94G701Q,0,198
BS_B9QP40ER,0,170
BS_BA0M71QZ,2,240
BS_BAVWP5JG,0,44
BS_BBCM52QE,0,142
BS_BBHFKBE7,0,58
BS_BD4RQ1G0,0,40
BS_BFDEZK1C,0,58
BS_BM95DGCQ,0,94
BS_BMHYK93N,0,330
BS_BNFCXVYZ,0,98
BS_BR1X3R68,0,134
BS_BS5X4H0Y,0,68
BS_BSM3ZHW4,0,72
BS_BVD7PWP5,0,44
BS_BWZTMWTM,1,230
BS_BX8AR74E,0,186
BS_BYJDRXMK,0,76
BS_BZ4GKDP4,0,60
BS_BZWM455T,0,78
BS_C0YDDQKB,0,146
BS_C19DFVR5,1,858
BS_C1RRDNF5,2,566
BS_C3KDA5ZC,0,142
BS_C3X4AEK5,0,82
BS_C5RDMCCS,0,88
BS_C6GBYR17,0,416
BS_CDKC1E2B,0,128
BS_CFEWVDG1,0,70
BS_CFPWSZB5,0,200
BS_CGCNC41M,0,128
BS_CGXTFM67,0,162
BS_CHAFNK64,0,34
BS_CK7CPM73,0,108
BS_CKY2TTXG,1,620
BS_CN7PB0DN,0,92
BS_CP435MAC,0,100
BS_CPYV7AHD,0,50
BS_CPZZR2R7,0,66
BS_CQ8C6X4X,0,94
BS_CRKBDAYZ,0,64
BS_CSY11X7E,0,66
BS_CWQ35N2K,0,136
BS_CXCKHP3Z,0,84
BS_CXDKK6KS,0,126
BS_CXN0498B,0,112
BS_D09VWF8H,0,76
BS_D2BZ25FW,0,114
BS_D3ZV6MMY,0,212
BS_D59VEERR,0,52
BS_D6XHKZDZ,0,62
BS_DAEM3WRX,0,132
BS_DC7XYYG8,0,142
BS_DGG7YE8R,0,164
BS_DH86PF5A,0,212
BS_DJEVCH34,0,108
BS_DMBNB0EP,0,48
BS_DT92H1MJ,0,82
BS_DVQYQSVW,0,138
BS_E0AAK0V0,0,132
BS_E0S2Y0TS,0,1264
BS_E2RXQ3JW,0,60
BS_E42SSQGJ,0,190
BS_E5B2YZJH,0,76
BS_E5H6CFYT,0,52
BS_E7HEQZ1K,0,68
BS_E8MC6R2K,0,322
BS_E8SJ36A6,0,72
BS_E9ATGWME,0,262
BS_EDZCAHR2,1,226
BS_EFBBP9H3,0,174
BS_EHBH0NYX,0,60
BS_EJ1H9PZY,0,342
BS_EJV0N3BX,>=5,1552
BS_EKR4NSNW,0,210
BS_EP25TTAG,3,836
BS_EPM623G4,0,256
BS_EQE19CB0,0,94
BS_ETTZM63Y,0,22
BS_EXTEGB51,0,104
BS_F064HMTP,0,112
BS_F0GNWEJJ,2,408
BS_F1B71HTZ,0,96
BS_F48RA7QF,0,120
BS_F4D169Q7,0,74
BS_F5641KTR,0,150
BS_F5KRHGKC,0,130
BS_F5V8CWXT,0,76
BS_F7KYPE79,0,114
BS_F8K4VQMF,0,132
BS_F8KR1QWE,2,448
BS_F969DNHD,0,82
BS_F9ZTZ4YS,0,34
BS_FBJ516WW,0,112
BS_FBP5NZNR,0,68
BS_FCXEAPJ1,0,130
BS_FFD25TTK,0,74
BS_FG649AWK,0,108
BS_FHE6Z73G,0,118
BS_FHFVCQ41,0,44
BS_FK3B5SDH,0,156
BS_FKQ7F6D1,1,442
BS_FNF1TCSW,0,84
BS_FNM4BB83,0,94
BS_FQ2ZBMPA,0,96
BS_FT95T4YP,0,172
BS_FVYBGMG1,0,104
BS_FWCKP4X1,0,40
BS_FXDY881S,1,296
BS_FYJMNRGK,0,292
BS_G12HNXYX,0,146
BS_G16NM5WJ,0,88
BS_G2016BE5,0,60
BS_G4EX0H98,0,292
BS_G61CN2V0,0,138
BS_G9MQM1KK,1,866
BS_GAA327FP,0,130
BS_GCQEB05M,0,74
BS_GDPZN3SD,0,110
BS_GFS9JEE6,0,170
BS_GKN0B47F,0,196
BS_GKPVZXYP,3,334
BS_GMQZNQH8,0,58
BS_GRECE8Q9,0,164
BS_GRS3T427,0,46
BS_GS9JCK55,0,156
BS_GTAJFTTR,0,144
BS_GWPJKM7G,0,256
BS_GXACEYKB,0,42
BS_H0638GZT,0,118
BS_H1K33JVK,0,152
BS_H1MNXNHB,0,268
BS_H2K7XX4X,0,266
BS_H50HR85Y,0,156
BS_H83DTMT2,0,50
BS_H8E4K1DT,2,114
BS_H8MAKDRB,0,148
BS_H8NWA41N,0,82
BS_HBAKYKQM,0,268
BS_HC4T1EEP,0,504
BS_HGP0PV0D,0,92
BS_HJ95JNFN,0,104
BS_HM5N78GV,0,100
BS_HN8DE43A,0,226
BS_HNE6BPMH,0,166
BS_HPMX6CT4,0,70
BS_HQFNQHVW,0,78
BS_HSYF7G2D,0,84
BS_HTGDSPQA,0,86
BS_HW4J7JM8,0,152
BS_HYGK88B0,0,1310
BS_HZHEF797,0,180
BS_HZNKSQ17,0,518
BS_HZV4WDTB,0,40
BS_J037K4BM,0,62
BS_J33YVP27,0,72
BS_J4E9SW51,0,116
BS_J5J0EA7Y,0,96
BS_J6VRW67C,0,42
BS_JB3J82ZK,2,376
BS_JBHQ6G3J,0,66
BS_JBY9S5D4,0,140
BS_JC2187NA,0,74
BS_JDMM2XG4,0,32
BS_JDS0SYST,0,50
BS_JHGFJR3D,0,110
BS_JJNSP29S,0,238
BS_JJWC13GG,0,8
BS_JJZPY3BG,0,80
BS_JK5GTHVG,1,200
BS_JM979K1M,0,46
BS_JNS7Q60A,0,90
BS_JQNF0FQP,0,112
BS_JRFVST47,3,482
BS_JSMAT49K,0,58
BS_JSNJZERZ,0,96
BS_JTBM5TSE,0,104
BS_JVTQD8HH,0,136
BS_JX1PK0VW,0,190
BS_K049HVGR,0,92
BS_K07KNTFY,0,250
BS_K3PPH522,0,42
BS_K3Y06EKR,0,292
BS_K3YT05M7,0,44
BS_K6A9Z04J,2,410
BS_K6BMXTW5,0,40
BS_K89V7JNJ,0,132
BS_KAD49R68,0,188
BS_KAZENYZE,0,96
BS_KB9GJDCS,0,88
BS_KBPBCWA0,0,110
BS_KCN7NG92,0,112
BS_KFRBXXV7,0,148
BS_KG1YMTA4,0,36
BS_KH0NFCWF,0,64
BS_KHSYAB3J,>=5,1340
BS_KJQXZ8GK,0,148
BS_KKWQW01N,0,130
BS_KM878Y43,0,58
BS_KP0YNTAK,2,314
BS_KPWRDRFP,0,66
BS_KRYYDC2X,0,128
BS_KSHETTQC,0,72
BS_KSRYKCDE,0,58
BS_KT9H4B1N,0,114
BS_KV3XF9WV,0,214
BS_KVV3G6NP,0,66
BS_KVYCH9PB,0,174
BS_KXGJ1HMG,2,232
BS_KYG3H6C6,0,76
BS_KYPMZZSY,0,266
BS_KYPZRS4S,0,88
BS_M0B42FPR,0,92
BS_M16CDR44,0,60
BS_M18CDDGK,0,200
BS_M1TDS9CT,0,82
BS_M1YHV93N,0,68
BS_M2MSWKBC,0,86
BS_M4E4H6NG,1,226
BS_M9YZK3SP,0,126
BS_MAVSJH2Y,0,202
BS_MDVMT75X,0,130
BS_MEPW36WF,0,174
BS_MFTAVQ5C,0,76
BS_MGBEMNYR,0,126
BS_MGY2V5N4,0,134
BS_MHT5C2AP,0,154
BS_MJJZJMTK,0,38
BS_MRX1SPFB,0,38
BS_MS87PMR7,0,90
BS_MSB1RDAJ,0,50
BS_MSGYZ69T,0,238
BS_MT5ZSRG4,0,46
BS_MVC1NCZX,1,290
BS_MW63FCZC,0,38
BS_MW6YMRBJ,0,60
BS_MW74GF38,0,140
BS_MWKJF6XH,0,44
BS_MWXDJFWW,0,54
BS_MWZCP1XW,0,340
BS_MZJJRDZF,0,346
BS_N0Z6V2YG,0,64
BS_N2JD3VX6,0,44
BS_N4B3WB8W,0,218
BS_N5VYY66W,0,100
BS_N8D9FH6M,0,62
BS_N8WXTFN4,0,42
BS_N9N1X78X,0,114
BS_NASADC3P,0,68
BS_NB509KST,0,578
BS_NDSWS9TS,0,20
BS_NEX92KQH,0,100
BS_NFT9VHMJ,0,244
BS_NG0CR0EP,0,100
BS_NHMPQ8Q1,0,86
BS_NHRNZRQV,0,104
BS_NJFK43N3,0,84
BS_NJV6A585,0,138
BS_NMJPX8VQ,0,46
BS_NNFDFAFM,2,284
BS_NS8G0465,0,172
BS_NTXHP7QR,0,76
BS_NWYBD9CA,1,164
BS_NXZSD2KK,0,114
BS_NZRJE7QA,0,60
BS_P0KQFXNC,0,82
BS_P36C0ABE,0,54
BS_P3EVK3C2,0,90
BS_P3KD5EQG,0,46
BS_P3P96WCD,0,72
BS_P3PF53V8,1,414
BS_P4K6WK9Y,>=5,838
BS_P6NWC51S,0,362
BS_P7CY04E7,0,70
BS_P8WN8XEQ,2,262
BS_P99S85CY,0,102
BS_PC2YQ4F6,0,152
BS_PDRNE606,0,218
BS_PEDGRK8S,0,78
BS_PEFRDKDZ,0,112
BS_PFXDWV9R,1,366
BS_PJ08ZW9A,0,84
BS_PMFR8NPN,0,266
BS_PMSZKZP7,0,142
BS_PNXDHDF3,1,570
BS_PP4WJBNR,0,52
BS_PPY0EWPG,1,262
BS_PV130A29,0,56
BS_PVYMDM18,0,42
BS_PVZJCXS1,0,132
BS_PYVPKH11,0,104
BS_PZDTK87A,0,290
BS_Q0XBZP88,0,34
BS_Q50P97Y0,0,24
BS_Q5XKTB1V,0,76
BS_Q6GVRAWK,0,86
BS_Q807ENGY,0,204
BS_Q88059DJ,1,214
BS_Q9NHTR7G,0,60
BS_QA0W86WP,0,56
BS_QBZDQX7A,0,150
BS_QC5FNXGH,0,68
BS_QD22MJJ5,0,74
BS_QDGHHS4S,0,180
BS_QE5B0T7R,0,124
BS_QE7WAAKC,0,244
BS_QG6V29H7,0,224
BS_QGX93WPF,0,358
BS_QHTDJG77,0,132
BS_QK61ST4T,0,88
BS_QM1Z8R38,0,38
BS_QMG7XNEW,0,76
BS_QMHND3QK,0,208
BS_QRH793AV,0,108
BS_QSDKJM8T,0,142
BS_QSMFVHSB,0,70
BS_QWS88QXE,0,94
BS_QX754ADQ,0,196
BS_QXZTRMWM,0,2276
BS_QYWGB52C,0,126
BS_QZT3SPY7,1,208
BS_QZTPJ8YW,0,70
BS_R1CV479M,0,50
BS_R1G6SG0K,>=5,1070
BS_R1RMKH1B,0,100
BS_R1ZBTEAG,0,36
BS_R5G3QP11,1,172
BS_R6CKWZW6,1,162
BS_R726FKHP,0,236
BS_R7YMKNJN,1,272
BS_R82MYPKB,0,108
BS_R8ZKDFWH,0,26
BS_R913E3VB,0,156
BS_R922P3XJ,0,88
BS_R9V82BC1,0,284
BS_RB8VSEVG,0,40
BS_RCAZ62J7,0,94
BS_RG6JK7ZN,1,80
BS_RGSJMSRE,0,256
BS_RH9PMH3G,0,74
BS_RHEBGZF8,0,150
BS_RQ5Z7KNW,0,92
BS_RR3DKGKY,0,250
BS_RXSBJ929,2,770
BS_RZNNEX1Y,0,84
BS_S0T3CQ97,2,280
BS_S34SCYW4,0,90
BS_S88G7BXH,0,110
BS_SCQNN2A2,0,108
BS_SD28E0SC,2,128
BS_SDT1J3A7,0,82
BS_SE82EQF8,0,120
BS_SFH8TGKT,0,108
BS_SFZ3A07S,0,150
BS_SK4H5MJQ,0,184
BS_SK949N33,0,116
BS_SKRY0BJ4,1,104
BS_SMCPASF0,0,38
BS_SNC5WMVN,0,118
BS_SQSH5G7A,4,1054
BS_SSYNTXDC,0,88
BS_ST3Z2B9B,1,2746
BS_STNH7YSX,1,334
BS_SYWRCE3Z,0,102
BS_T1SNKF50,1,384
BS_T54TAE3R,0,24
BS_T5HPW4Z0,0,260
BS_T7WMJ08W,0,36
BS_T8C13KNH,0,82
BS_T8TCEBB1,0,110
BS_T97EP8H0,0,206
BS_T99M7842,0,70
BS_T9T3R2J0,0,68
BS_TE8QFF7T,0,78
BS_TF6H437Q,0,204
BS_THH0CE5A,0,58
BS_TNQKJZCP,1,218
BS_TPX7YY57,0,124
BS_TQ0J7WJQ,0,140
BS_TRGECFNP,0,32
BS_TX2WGF8K,0,94
BS_TZPJHKQR,0,52
BS_V2MDX7HG,0,62
BS_V3SC6NWH,0,56
BS_V3ZNXRHK,0,34
BS_V6HKXX1Z,0,440
BS_V79WFJ6N,0,80
BS_V8G6BZRR,0,60
BS_VA07453Z,0,70
BS_VDSR4X6N,0,40
BS_VF099E8S,>=5,806
BS_VHD4ARSG,0,162
BS_VK46N40F,0,80
BS_VKH9KYDB,0,70
BS_VPJ9CARN,0,24
BS_VQC2PE2B,0,98
BS_VQEPFE1P,0,282
BS_VTTTQYQA,1,284
BS_VVD8TJNE,0,416
BS_VW4XN9Y7,0,124
BS_VW96PFKQ,0,62
BS_VXNT1TDB,0,108
BS_W23ERYW3,0,320
BS_W2QCHQ7E,3,438
BS_W3R2DQ86,0,32
BS_W50WEJE7,0,94
BS_W5P7SPDH,0,58
BS_W6B48DD5,0,64
BS_W74D279Q,0,90
BS_W8DA9AXT,0,92
BS_W9P0PFDH,0,30
BS_WB8P21ED,0,56
BS_WCNPE0AC,0,144
BS_WD37M8SD,0,140
BS_WD7AQV83,0,82
BS_WEGGXVYA,0,52
BS_WJ7GMQTF,0,60
BS_WJB33V17,0,174
BS_WJF6ZXWN,0,332
BS_WMEYJGDC,0,76
BS_WP2D11SK,0,392
BS_WP9J88EB,1,416
BS_WPCBK1EG,0,242
BS_WQ19Z6MD,0,1882
BS_WRJNMEX2,0,84
BS_WSFB4SA2,0,122
BS_WXKCR17Q,0,90
BS_WY5KYSHJ,0,194
BS_WYF8NGSD,0,94
BS_X1R0N8QS,0,8
BS_X6361T19,0,310
BS_X7QJCVJB,0,134
BS_X9PJ715R,0,78
BS_XBBBE8V2,0,280
BS_XBE002WV,0,70
BS_XCFNEZ8E,0,82
BS_XCNGQ25H,0,68
BS_XDY9BYRK,0,92
BS_XEVMEYFS,0,98
BS_XGMXJKFX,1,384
BS_XGVSX8BX,0,64
BS_XH5JP8DB,0,62
BS_XHAQXDR0,0,110
BS_XJZQA3AP,0,374
BS_XKE77TR4,0,266
BS_XKM2EAT4,0,70
BS_XKP747AS,0,76
BS_XKXDH0YJ,0,40
BS_XM302FF4,0,122
BS_XMNBSBGN,0,90
BS_XNTQBZAJ,1,232
BS_XPSD2NRJ,1,302
BS_XVBX7ZK1,0,58
BS_XVNNWN2Z,0,60
BS_XVYRXN8J,0,90
BS_XW26N96W,0,126
BS_XWQTX5HH,0,28
BS_Y2C78JC4,0,36
BS_Y3472DYJ,0,56
BS_Y3ETG5AE,0,114
BS_Y43VC4VG,0,54
BS_Y4ZX0YX7,0,38
BS_Y5DA59M3,0,156
BS_Y7CA8B5R,0,234
BS_Y9GHDZKS,0,126
BS_YB99Q6TN,0,122
BS_YBCQBCQC,0,262
BS_YETTZ1NC,>=5,1198
BS_YEWX69X4,0,76
BS_YGQS4660,0,244
BS_YH4DYNQ2,0,42
BS_YH60H2FS,0,52
BS_YKQP4SBX,0,148
BS_YMDPFK0V,0,74
BS_YPCTK927,0,36
BS_YVFFHJ1Q,0,72
BS_YXCVR90M,0,100
BS_YYAPSA5P,0,530
BS_YZ0P5E8H,0,414
BS_YZ2YNEJJ,0,68
BS_Z14Z2JMW,0,138
BS_Z1BBZ01F,0,100
BS_Z34PQDYT,0,52
BS_Z4Q8RH5M,0,168
BS_Z4S81HG1,0,80
BS_Z5VJCFNP,0,168
BS_Z7R92XX6,0,146
BS_Z9NCH2XA,0,64
BS_Z9PKZ4RT,0,70
BS_ZAH4FHV2,0,108
BS_ZAT0XJE5,0,152
BS_ZBWQG7VR,1,228
BS_ZCY4ECNV,0,110
BS_ZECKZTFC,0,30
BS_ZH6PC8KM,0,100
BS_ZHJFX6C9,0,46
BS_ZJSMC22A,0,134
BS_ZJT1REVB,0,40
BS_ZKFEMJZ8,0,124
BS_ZKZACPVV,0,116
BS_ZP89F1JY,0,154
BS_ZPF89720,2,216
BS_ZSH09N84,3,1118
BS_ZV21J6YW,1,332
BS_ZZJF26C4,0,176
