Kids_First_Biospecimen_ID,count_regions_any_conf_truncated,cnv_breaks_count
BS_BM95DGCQ,0,0
BS_BMHYK93N,0,0
BS_BNFCXVYZ,0,0
BS_BR1X3R68,0,0
BS_BS5X4H0Y,0,0
BS_BSM3ZHW4,0,0
BS_BVD7PWP5,0,0
BS_BWZTMWTM,1,16
BS_BX8AR74E,0,26
BS_BYJDRXMK,0,2
BS_BZ4GKDP4,0,4
BS_BZWM455T,0,4
BS_C0YDDQKB,0,0
BS_C19DFVR5,1,120
BS_C1RRDNF5,2,84
BS_C3KDA5ZC,0,0
BS_C3X4AEK5,0,14
BS_C5RDMCCS,0,2
BS_C6GBYR17,0,18
BS_CDKC1E2B,0,0
BS_CFEWVDG1,0,0
BS_CFPWSZB5,0,2
BS_CGCNC41M,0,0
BS_CGXTFM67,0,0
BS_CHAFNK64,0,2
BS_CK7CPM73,0,88
BS_CKY2TTXG,1,20
BS_CN7PB0DN,0,4
BS_CP435MAC,0,2
BS_CPYV7AHD,0,0
BS_CPZZR2R7,0,52
BS_CQ8C6X4X,0,4
BS_CRKBDAYZ,0,16
BS_CSY11X7E,0,6
BS_CWQ35N2K,0,4
BS_CXCKHP3Z,0,0
BS_CXDKK6KS,0,2
BS_CXN0498B,0,0
BS_D09VWF8H,0,0
BS_D2BZ25FW,0,0
BS_D3ZV6MMY,0,2
BS_D59VEERR,0,42
BS_D6XHKZDZ,0,4
BS_DAEM3WRX,0,4
BS_DC7XYYG8,0,4
BS_DGG7YE8R,0,44
BS_DH86PF5A,0,20
BS_DJEVCH34,0,26
BS_DMBNB0EP,0,0
BS_DT92H1MJ,0,2
BS_DVQYQSVW,0,8
BS_E0AAK0V0,0,16
BS_E0S2Y0TS,0,46
BS_E2RXQ3JW,0,10
BS_E42SSQGJ,0,14
BS_E5B2YZJH,0,12
BS_E5H6CFYT,0,0
BS_E7HEQZ1K,0,20
BS_E8MC6R2K,0,6
BS_E8SJ36A6,0,0
BS_E9ATGWME,0,20
BS_EDZCAHR2,1,26
BS_EFBBP9H3,0,0
BS_EHBH0NYX,0,8
BS_EJ1H9PZY,0,36
BS_EJV0N3BX,>=5,204
BS_EKR4NSNW,0,4
BS_EP25TTAG,3,222
BS_EPM623G4,0,126
BS_EQE19CB0,0,28
BS_ETTZM63Y,0,4
BS_EXTEGB51,0,0
BS_F064HMTP,0,0
BS_F0GNWEJJ,2,142
BS_F1B71HTZ,0,28
BS_F48RA7QF,0,6
BS_F4D169Q7,0,6
BS_F5641KTR,0,42
BS_F5KRHGKC,0,0
BS_F5V8CWXT,0,0
BS_F7KYPE79,0,0
BS_F8K4VQMF,0,40
BS_F8KR1QWE,2,68
BS_F969DNHD,0,4
BS_F9ZTZ4YS,0,8
BS_FBJ516WW,0,0
BS_FBP5NZNR,0,6
BS_FCXEAPJ1,0,8
BS_FFD25TTK,0,6
BS_FG649AWK,0,0
BS_FHE6Z73G,0,14
BS_FHFVCQ41,0,6
BS_FK3B5SDH,0,42
BS_FKQ7F6D1,1,150
BS_FNF1TCSW,0,8
BS_FNM4BB83,0,18
BS_FQ2ZBMPA,0,0
BS_FT95T4YP,0,26
BS_FVYBGMG1,0,0
BS_FWCKP4X1,0,0
BS_FXDY881S,1,82
BS_FYJMNRGK,0,0
BS_G12HNXYX,0,18
BS_G16NM5WJ,0,12
BS_G2016BE5,0,8
BS_G4EX0H98,0,0
BS_G61CN2V0,0,4
BS_G9MQM1KK,1,6
BS_GAA327FP,0,4
BS_GCQEB05M,0,2
BS_GDPZN3SD,0,2
BS_GFS9JEE6,0,4
BS_GKN0B47F,0,4
BS_GKPVZXYP,3,130
BS_GMQZNQH8,0,18
BS_GRECE8Q9,0,6
BS_GRS3T427,0,12
BS_GS9JCK55,0,0
BS_GTAJFTTR,0,6
BS_GWPJKM7G,0,66
BS_GXACEYKB,0,0
BS_H0638GZT,0,0
BS_H1K33JVK,0,88
BS_H1MNXNHB,0,50
BS_H2K7XX4X,0,34
BS_H50HR85Y,0,0
BS_H83DTMT2,0,0
BS_H8E4K1DT,2,46
BS_H8MAKDRB,0,70
BS_H8NWA41N,0,16
BS_HBAKYKQM,0,0
BS_HC4T1EEP,0,48
BS_HGP0PV0D,0,28
BS_HJ95JNFN,0,0
BS_HM5N78GV,0,0
BS_HN8DE43A,0,0
BS_HNE6BPMH,0,2
BS_HPMX6CT4,0,30
BS_HQFNQHVW,0,24
BS_HSYF7G2D,0,22
BS_HTGDSPQA,0,0
BS_HW4J7JM8,0,2
BS_HYGK88B0,0,8
BS_HZHEF797,0,76
BS_HZNKSQ17,0,34
BS_HZV4WDTB,0,12
BS_J037K4BM,0,2
BS_J33YVP27,0,10
BS_J4E9SW51,0,76
BS_J5J0EA7Y,0,0
BS_J6VRW67C,0,22
BS_JB3J82ZK,2,104
BS_JBHQ6G3J,0,0
BS_JBY9S5D4,0,2
BS_JC2187NA,0,8
BS_JDMM2XG4,0,12
BS_JDS0SYST,0,8
BS_JHGFJR3D,0,0
BS_JJNSP29S,0,10
BS_JJWC13GG,0,2
BS_JJZPY3BG,0,2
BS_JK5GTHVG,1,56
BS_JM979K1M,0,0
BS_JNS7Q60A,0,2
BS_JQNF0FQP,0,0
BS_JRFVST47,3,140
BS_JSMAT49K,0,2
BS_JSNJZERZ,0,10
BS_JTBM5TSE,0,54
BS_JVTQD8HH,0,8
BS_JX1PK0VW,0,0
BS_K049HVGR,0,0
BS_K07KNTFY,0,32
BS_K3PPH522,0,20
BS_K3Y06EKR,0,54
BS_K3YT05M7,0,14
BS_K6A9Z04J,2,110
BS_K6BMXTW5,0,2
BS_K89V7JNJ,0,6
BS_KAD49R68,0,148
BS_KAZENYZE,0,90
BS_KB9GJDCS,0,32
BS_KBPBCWA0,0,30
BS_KCN7NG92,0,0
BS_KFRBXXV7,0,0
BS_KG1YMTA4,0,6
BS_KH0NFCWF,0,4
BS_KHSYAB3J,>=5,274
BS_KJQXZ8GK,0,38
BS_KKWQW01N,0,24
BS_KM878Y43,0,2
BS_KP0YNTAK,2,120
BS_KPWRDRFP,0,2
BS_KRYYDC2X,0,64
BS_KSHETTQC,0,0
BS_KSRYKCDE,0,0
BS_KT9H4B1N,0,0
BS_KV3XF9WV,0,8
BS_KVV3G6NP,0,6
BS_KVYCH9PB,0,4
BS_KXGJ1HMG,2,92
BS_KYG3H6C6,0,2
BS_KYPMZZSY,0,0
BS_KYPZRS4S,0,2
BS_M0B42FPR,0,34
BS_M16CDR44,0,8
BS_M18CDDGK,0,4
BS_M1TDS9CT,0,0
BS_M1YHV93N,0,0
BS_M2MSWKBC,0,4
BS_M4E4H6NG,1,56
BS_M9YZK3SP,0,2
BS_MAVSJH2Y,0,12
BS_MDVMT75X,0,0
BS_MEPW36WF,0,18
BS_MFTAVQ5C,0,12
BS_MGBEMNYR,0,2
BS_MGY2V5N4,0,0
BS_MHT5C2AP,0,0
BS_MJJZJMTK,0,10
BS_MRX1SPFB,0,40
BS_MS87PMR7,0,2
BS_MSB1RDAJ,0,16
BS_MSGYZ69T,0,0
BS_MT5ZSRG4,0,6
BS_MVC1NCZX,1,102
BS_MW63FCZC,0,20
BS_MW6YMRBJ,0,0
BS_MW74GF38,0,0
BS_MWKJF6XH,0,2
BS_MWXDJFWW,0,0
BS_MWZCP1XW,0,56
BS_MZJJRDZF,0,4
BS_N0Z6V2YG,0,8
BS_N2JD3VX6,0,0
BS_N4B3WB8W,0,62
BS_N5VYY66W,0,0
BS_N8D9FH6M,0,0
BS_N8WXTFN4,0,0
BS_N9N1X78X,0,0
BS_NASADC3P,0,8
BS_NB509KST,0,10
BS_NDSWS9TS,0,24
BS_NEX92KQH,0,0
BS_NFT9VHMJ,0,0
BS_NG0CR0EP,0,2
BS_NHMPQ8Q1,0,4
BS_NHRNZRQV,0,80
BS_NJFK43N3,0,38
BS_NJV6A585,0,2
BS_NMJPX8VQ,0,0
BS_NNFDFAFM,2,102
BS_NS8G0465,0,6
BS_NTXHP7QR,0,0
BS_NWYBD9CA,1,32
BS_NXZSD2KK,0,8
BS_NZRJE7QA,0,2
BS_P0KQFXNC,0,4
BS_P36C0ABE,0,4
BS_P3EVK3C2,0,6
BS_P3KD5EQG,0,0
BS_P3P96WCD,0,24
BS_P3PF53V8,1,104
BS_P4K6WK9Y,>=5,270
BS_P6NWC51S,0,80
BS_P7CY04E7,0,6
BS_P8WN8XEQ,2,98
BS_P99S85CY,0,18
BS_PC2YQ4F6,0,36
BS_PDRNE606,0,0
BS_PEDGRK8S,0,32
BS_PEFRDKDZ,0,0
BS_PFXDWV9R,1,134
BS_PJ08ZW9A,0,12
BS_PMFR8NPN,0,0
BS_PMSZKZP7,0,2
BS_PNXDHDF3,1,124
BS_PP4WJBNR,0,2
BS_PPY0EWPG,1,126
BS_PV130A29,0,2
BS_PVYMDM18,0,56
BS_PVZJCXS1,0,8
BS_PYVPKH11,0,12
BS_PZDTK87A,0,8
BS_Q0XBZP88,0,2
BS_Q50P97Y0,0,2
BS_Q5XKTB1V,0,2
BS_Q6GVRAWK,0,80
BS_Q807ENGY,0,18
BS_Q88059DJ,1,52
BS_Q9NHTR7G,0,12
BS_QA0W86WP,0,28
BS_QBZDQX7A,0,0
BS_QC5FNXGH,0,2
BS_QD22MJJ5,0,0
BS_QDGHHS4S,0,50
BS_QE5B0T7R,0,20
BS_QE7WAAKC,0,16
BS_QG6V29H7,0,50
BS_QGX93WPF,0,56
BS_QHTDJG77,0,0
BS_QK61ST4T,0,2
BS_QM1Z8R38,0,10
BS_QMG7XNEW,0,0
BS_QMHND3QK,0,30
BS_QRH793AV,0,32
BS_QSDKJM8T,0,2
BS_QSMFVHSB,0,0
BS_QWS88QXE,0,14
BS_QX754ADQ,0,4
BS_QXZTRMWM,0,30
BS_QYWGB52C,0,0
BS_QZT3SPY7,1,138
BS_QZTPJ8YW,0,8
BS_R1CV479M,0,60
BS_R1G6SG0K,>=5,196
BS_R1RMKH1B,0,0
BS_R1ZBTEAG,0,0
BS_R5G3QP11,1,20
BS_R6CKWZW6,1,56
BS_R726FKHP,0,64
BS_R7YMKNJN,1,72
BS_R82MYPKB,0,2
BS_R8ZKDFWH,0,0
BS_R913E3VB,0,6
BS_R922P3XJ,0,0
BS_R9V82BC1,0,2
BS_RB8VSEVG,0,8
BS_RCAZ62J7,0,2
BS_RG6JK7ZN,1,48
BS_RGSJMSRE,0,0
BS_RH9PMH3G,0,0
BS_RHEBGZF8,0,6
BS_RQ5Z7KNW,0,26
BS_RR3DKGKY,0,0
BS_RXSBJ929,2,136
BS_RZNNEX1Y,0,2
BS_S0T3CQ97,2,110
BS_S34SCYW4,0,0
BS_S88G7BXH,0,2
BS_SCQNN2A2,0,6
BS_SD28E0SC,2,48
BS_SDT1J3A7,0,0
BS_SE82EQF8,0,2
BS_SFH8TGKT,0,0
BS_SFZ3A07S,0,0
BS_SK4H5MJQ,0,30
BS_SK949N33,0,30
BS_SKRY0BJ4,1,46
BS_SMCPASF0,0,4
BS_SNC5WMVN,0,0
BS_SQSH5G7A,4,306
BS_SSYNTXDC,0,6
BS_ST3Z2B9B,1,64
BS_STNH7YSX,1,68
BS_SYWRCE3Z,0,22
BS_T1SNKF50,1,106
BS_T54TAE3R,0,4
BS_T5HPW4Z0,0,42
BS_T7WMJ08W,0,46
BS_T8C13KNH,0,0
BS_T8TCEBB1,0,14
BS_T97EP8H0,0,6
BS_T99M7842,0,6
BS_T9T3R2J0,0,10
BS_TE8QFF7T,0,46
BS_TF6H437Q,0,22
BS_THH0CE5A,0,4
BS_TNQKJZCP,1,86
BS_TPX7YY57,0,2
BS_TQ0J7WJQ,0,54
BS_TRGECFNP,0,18
BS_TX2WGF8K,0,4
BS_TZPJHKQR,0,46
BS_V2MDX7HG,0,6
BS_V3SC6NWH,0,0
BS_V3ZNXRHK,0,6
BS_V6HKXX1Z,0,98
BS_V79WFJ6N,0,4
BS_V8G6BZRR,0,0
BS_VA07453Z,0,0
BS_VDSR4X6N,0,32
BS_VF099E8S,>=5,156
BS_VHD4ARSG,0,30
BS_VK46N40F,0,6
BS_VKH9KYDB,0,44
BS_VPJ9CARN,0,4
BS_VQC2PE2B,0,0
BS_VQEPFE1P,0,4
BS_VTTTQYQA,1,102
BS_VVD8TJNE,0,0
BS_VW4XN9Y7,0,0
BS_VW96PFKQ,0,2
BS_VXNT1TDB,0,2
BS_W23ERYW3,0,18
BS_W2QCHQ7E,3,140
BS_W3R2DQ86,0,0
BS_W50WEJE7,0,12
BS_W5P7SPDH,0,22
BS_W6B48DD5,0,0
BS_W74D279Q,0,0
BS_W8DA9AXT,0,0
BS_W9P0PFDH,0,2
BS_WB8P21ED,0,2
BS_WCNPE0AC,0,8
BS_WD37M8SD,0,24
BS_WD7AQV83,0,4
BS_WEGGXVYA,0,4
BS_WJ7GMQTF,0,0
BS_WJB33V17,0,0
BS_WJF6ZXWN,0,52
BS_WMEYJGDC,0,6
BS_WP2D11SK,0,0
BS_WP9J88EB,1,86
BS_WPCBK1EG,0,178
BS_WQ19Z6MD,0,2
BS_WRJNMEX2,0,4
BS_WSFB4SA2,0,0
BS_WXKCR17Q,0,0
BS_WY5KYSHJ,0,62
BS_WYF8NGSD,0,8
BS_X1R0N8QS,0,28
BS_X6361T19,0,6
BS_X7QJCVJB,0,0
BS_X9PJ715R,0,0
BS_XBBBE8V2,0,2
BS_XBE002WV,0,0
BS_XCFNEZ8E,0,12
BS_XCNGQ25H,0,0
BS_XDY9BYRK,0,2
BS_XEVMEYFS,0,0
BS_XGMXJKFX,1,40
BS_XGVSX8BX,0,88
BS_XH5JP8DB,0,0
BS_XHAQXDR0,0,2
BS_XJZQA3AP,0,28
BS_XKE77TR4,0,4
BS_XKM2EAT4,0,0
BS_XKP747AS,0,10
BS_XKXDH0YJ,0,0
BS_XM302FF4,0,0
BS_XMNBSBGN,0,0
BS_XNTQBZAJ,1,40
BS_XPSD2NRJ,1,6
BS_XVBX7ZK1,0,6
BS_XVNNWN2Z,0,12
BS_XVYRXN8J,0,6
BS_XW26N96W,0,2
BS_XWQTX5HH,0,4
BS_Y2C78JC4,0,8
BS_Y3472DYJ,0,0
BS_Y3ETG5AE,0,2
BS_Y43VC4VG,0,0
BS_Y4ZX0YX7,0,4
BS_Y5DA59M3,0,10
BS_Y7CA8B5R,0,24
BS_Y9GHDZKS,0,102
BS_YB99Q6TN,0,12
BS_YBCQBCQC,0,0
BS_YETTZ1NC,>=5,372
BS_YEWX69X4,0,2
BS_YGQS4660,0,0
BS_YH4DYNQ2,0,0
BS_YH60H2FS,0,54
BS_YKQP4SBX,0,0
BS_YMDPFK0V,0,2
BS_YPCTK927,0,0
BS_YVFFHJ1Q,0,0
BS_YXCVR90M,0,2
BS_YYAPSA5P,0,0
BS_YZ0P5E8H,0,0
BS_YZ2YNEJJ,0,10
BS_Z14Z2JMW,0,0
BS_Z1BBZ01F,0,2
BS_Z34PQDYT,0,0
BS_Z4Q8RH5M,0,6
BS_Z4S81HG1,0,0
BS_Z5VJCFNP,0,0
BS_Z7R92XX6,0,0
BS_Z9NCH2XA,0,0
BS_Z9PKZ4RT,0,32
BS_ZAH4FHV2,0,2
BS_ZAT0XJE5,0,4
BS_ZBWQG7VR,1,46
BS_ZCY4ECNV,0,36
BS_ZECKZTFC,0,18
BS_ZH6PC8KM,0,0
BS_ZHJFX6C9,0,2
BS_ZJSMC22A,0,106
BS_ZJT1REVB,0,0
BS_ZKFEMJZ8,0,4
BS_ZKZACPVV,0,2
BS_ZP89F1JY,0,0
BS_ZPF89720,2,52
BS_ZSH09N84,3,150
BS_ZV21J6YW,1,102
BS_ZZJF26C4,0,52
