gene1,gene2,mut11,mut10,mut01,mut00,odds_ratio,cooccur_sign,odds_ratio_ci,p,q,cooccur_score,n_mutated_gene1,n_mutated_gene2,perc_mutated_gene1,perc_mutated_gene2,perc_cooccur,perc_mutexcl,mut1,mut2,label1,label2
PHLPP1,STAG2,2,7,7,652,26.612244897959183,1,"4.67543530524836,151.475003346525",0.0055378448963459715,0.009461450485388864,2.2566592121159728,9,9,1.347305389221557,1.347305389221557,12.5,87.5,9,9,PHLPP1 (9),STAG2 (9)
PHLPP1,IDH1,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,PHLPP1 (9),IDH1 (9)
PHLPP1,KDM6A,1,8,8,651,10.171875,1,"1.13534197460811,91.1329302797418",0.11558078828896341,0.15440181641655418,0.9371143478660062,9,9,1.347305389221557,1.347305389221557,5.882352941176471,94.11764705882354,9,9,PHLPP1 (9),KDM6A (9)
PHLPP1,KRAS,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,PHLPP1 (9),KRAS (9)
PHLPP1,KIAA1549,3,6,5,654,65.4,1,"12.6654595533563,337.702708850117",9.193392557897595e-5,2.700696854538262e-4,4.03652419511131,9,8,1.347305389221557,1.1976047904191616,21.428571428571427,78.57142857142857,9,8,PHLPP1 (9),KIAA1549 (8)
PHLPP1,PCLO,5,4,3,656,273.3333333333333,1,"48.1482602234046,1551.68869580036",6.3650091308464955e-9,4.865216767294456e-7,8.196200968998008,9,8,1.347305389221557,1.1976047904191616,41.666666666666664,58.333333333333336,9,8,PHLPP1 (9),PCLO (8)
PHLPP1,CCDC168,3,6,5,654,65.4,1,"12.6654595533563,337.702708850117",9.193392557897595e-5,2.700696854538262e-4,4.03652419511131,9,8,1.347305389221557,1.1976047904191616,21.428571428571427,78.57142857142857,9,8,PHLPP1 (9),CCDC168 (8)
PHLPP1,DNHD1,4,5,4,655,131,1,"25.3697206935659,676.436300079261",1.0470543740724908e-6,9.362347505392708e-6,5.980030764599594,9,8,1.347305389221557,1.1976047904191616,30.76923076923077,69.23076923076923,9,8,PHLPP1 (9),DNHD1 (8)
PHLPP1,MAGEL2,3,6,5,654,65.4,1,"12.6654595533563,337.702708850117",9.193392557897595e-5,2.700696854538262e-4,4.03652419511131,9,8,1.347305389221557,1.1976047904191616,21.428571428571427,78.57142857142857,9,8,PHLPP1 (9),MAGEL2 (8)
PHLPP1,COL4A3,3,6,5,654,65.4,1,"12.6654595533563,337.702708850117",9.193392557897595e-5,2.700696854538262e-4,4.03652419511131,9,8,1.347305389221557,1.1976047904191616,21.428571428571427,78.57142857142857,9,8,PHLPP1 (9),COL4A3 (8)
PHLPP1,IGSF10,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,PHLPP1 (9),IGSF10 (8)
PHLPP1,PIK3R1,3,6,5,654,65.4,1,"12.6654595533563,337.702708850117",9.193392557897595e-5,2.700696854538262e-4,4.03652419511131,9,8,1.347305389221557,1.1976047904191616,21.428571428571427,78.57142857142857,9,8,PHLPP1 (9),PIK3R1 (8)
PHLPP1,PRKDC,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),PRKDC (7)
PHLPP1,ADGRV1,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),ADGRV1 (7)
PHLPP1,KIAA1109,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),KIAA1109 (7)
PHLPP1,LRP1,3,6,4,655,81.875,1,"14.9701338154364,447.792632159886",5.785134887713702e-5,2.0904985951177832e-4,4.237686510470782,9,7,1.347305389221557,1.0479041916167664,23.076923076923077,76.92307692307692,9,7,PHLPP1 (9),LRP1 (7)
PHLPP1,MUC5AC,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),MUC5AC (7)
PHLPP1,MYH14,3,6,4,655,81.875,1,"14.9701338154364,447.792632159886",5.785134887713702e-5,2.0904985951177832e-4,4.237686510470782,9,7,1.347305389221557,1.0479041916167664,23.076923076923077,76.92307692307692,9,7,PHLPP1 (9),MYH14 (7)
PHLPP1,RP1L1,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),RP1L1 (7)
PHLPP1,CELSR1,4,5,3,656,174.93333333333334,1,"30.8148865429789,993.080765312232",5.267096916016684e-7,7.1691041356893755e-6,6.27842869043234,9,7,1.347305389221557,1.0479041916167664,33.333333333333336,66.66666666666667,9,7,PHLPP1 (9),CELSR1 (7)
PHLPP1,CENPF,3,6,4,655,81.875,1,"14.9701338154364,447.792632159886",5.785134887713702e-5,2.0904985951177832e-4,4.237686510470782,9,7,1.347305389221557,1.0479041916167664,23.076923076923077,76.92307692307692,9,7,PHLPP1 (9),CENPF (7)
PHLPP1,IGFN1,3,6,4,655,81.875,1,"14.9701338154364,447.792632159886",5.785134887713702e-5,2.0904985951177832e-4,4.237686510470782,9,7,1.347305389221557,1.0479041916167664,23.076923076923077,76.92307692307692,9,7,PHLPP1 (9),IGFN1 (7)
PHLPP1,TNC,3,6,4,655,81.875,1,"14.9701338154364,447.792632159886",5.785134887713702e-5,2.0904985951177832e-4,4.237686510470782,9,7,1.347305389221557,1.0479041916167664,23.076923076923077,76.92307692307692,9,7,PHLPP1 (9),TNC (7)
STAG2,IDH1,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,STAG2 (9),IDH1 (9)
