Kids_First_Biospecimen_ID,tp53_score,tp53_expression,tp53_altered,altered_counts
BS_5PV5N4HQ,0.4328908644919051,13.66,other,866
BS_5VQP0E6K,0.7263742447447136,42.64,other,866
BS_5YJEPPTP,0.42318111419505217,18.9,other,866
BS_60K3EQ9S,0.6897537311992038,7.86,other,866
BS_61E80SD6,0.8266923665437721,6.84,other,866
BS_64HCD9K3,0.9730431353594083,0.39,other,866
BS_66ABA973,0.3755533669382706,7.63,other,866
BS_66HQ3E4Z,0.43823083594392503,12.05,other,866
BS_67PX06P3,0.4282404766857404,21.99,other,866
BS_67Z63A2K,0.6423780841765123,12.6,other,866
BS_680K119G,0.49641653500773725,20.26,other,866
BS_68BW2163,0.5185871433214732,6.52,other,866
BS_699TN5RN,0.1119420723031059,23.34,other,866
BS_69V8P8A0,0.35301264687146,16.79,other,866
BS_6DCSD5Y6,0.9191335446162292,17.84,other,866
BS_6G6C7VPX,0.10237053856357897,34.75,other,866
BS_6H1C1ME9,0.6770272241838421,23.6,other,866
BS_6HTK4YJP,0.5945704886937455,18.99,other,866
BS_6JHXXVR7,0.7844084522910006,19.47,other,866
BS_6MY8W3H0,0.664705926094864,4.1,other,866
BS_6MZ7FRZH,0.24630185622758666,28.7,other,866
BS_6N3AFF66,0.4335508680255953,8.03,other,866
BS_6NRTJSYK,0.32827819165986827,25.11,other,866
BS_6NTXGQAC,0.373944472403985,12.45,other,866
BS_6P50QTPP,0.217951194891058,16.69,other,866
BS_6R7SFVV2,0.4479195883570304,12.56,other,866
BS_6T4JGBGY,0.4926459123134342,2.6,other,866
BS_6VF6VPCG,0.4183587922922688,30.06,other,866
BS_6VPKXXMR,0.7978588198500883,25.53,other,866
BS_6WP1FHTE,0.8810750708629667,7.38,lost,100
BS_6YMJ621P,0.09613055605190088,21.96,other,866
BS_70FFPA51,0.17053521414677691,23.52,other,866
BS_7327SDAQ,0.8822692480235604,37.77,lost,100
BS_742RHK1M,0.17290843519460625,27.04,other,866
BS_74FS6GMW,0.3251981343559506,56.55,other,866
BS_74G5K7JF,0.031139190152076005,17.48,other,866
BS_769BDPDB,0.282886884515198,16.56,other,866
BS_77317DY4,0.4043577059951765,38.87,other,866
BS_775HDFNY,0.42448885526111857,20.03,other,866
BS_77CDMEY4,0.20599220481715394,34.47,other,866
BS_78QX3XDF,0.3729882532524891,16.25,other,866
BS_7B89YR6K,0.7089823918676178,9.14,other,866
BS_7BTZQKYY,0.2877006789596511,5.63,other,866
BS_7BW0YRPY,0.5600623946150269,36.79,other,866
BS_7C40TRCY,0.8211602133177979,17.75,other,866
BS_7FWZ518S,0.7471407297800808,12.9,other,866
BS_7G42J2SK,0.1449006785252112,17.88,other,866
BS_7GJT4A6A,0.9429474517482384,20.16,other,866
BS_7H4RFCW9,0.27866144666179804,27.64,other,866
BS_7N0B2CY1,0.7025277793606236,4.33,other,866
BS_7P83Z28P,0.23500263795234846,9.52,other,866
BS_7S6GNG04,0.35447481647033957,23.25,other,866
BS_7T1J3KET,0.6247859609451137,27.96,other,866
BS_7WNSZNE3,0.6508049576367508,31.01,other,866
BS_7XQRH69M,0.6723258115543173,25.91,other,866
BS_7XRN3CFX,0.21497669829580413,25.98,other,866
BS_7Z93ZYMS,0.43336959086660726,13.48,other,866
BS_7ZV3DPGT,0.49557247545550676,24.15,other,866
BS_81SP2HX4,0.9140881391580267,6.05,lost,100
BS_84XCR9GG,0.9865278751415393,30.73,other,866
BS_850BAHH9,0.11751845233366463,34.58,other,866
BS_86Q14TZG,0.44412272940996145,39.96,other,866
BS_893A91ZM,0.2695600216445293,28.29,other,866
BS_8D0NYM46,0.5519306483547393,35.54,other,866
BS_8F9BDWY4,0.4303092167685581,11.76,other,866
BS_8GW1TMV2,0.7400554442924273,35.56,other,866
BS_8J09S6MZ,0.3083345294497793,14.64,other,866
BS_8J3B6ZB6,0.44628571954899754,15.17,other,866
BS_8MA5B8Y9,0.8031149673624953,19.58,other,866
BS_8NY9J9NQ,0.5622031462711473,36.59,other,866
BS_8PNA0V6R,0.9276338565632528,27.47,lost,100
BS_8Q77HZ4R,0.23633433854450642,6.74,other,866
BS_8QB4S4VA,0.15048291925766033,82.13,other,866
BS_8RCR7Y4B,0.4208131649040421,9.41,other,866
BS_8RHPJ740,0.5264739602294551,22.27,other,866
BS_8S86CM61,0.7931567000965153,9.88,other,866
BS_8SKZ7BRN,0.834447225716362,80.2,other,866
BS_8T7DZV2F,0.17962932682895721,29.27,other,866
BS_8VAZSJEN,0.19740573540122097,13.92,other,866
BS_8WPNFT03,0.48680900873965466,20.54,other,866
BS_8Z3SCKB5,0.20156979375337147,21.78,other,866
BS_8ZD6J47V,0.3142194290011701,55.62,other,866
BS_8ZP3CBQA,0.5826435362771943,20.44,other,866
BS_8ZS9F31R,0.07493601291464422,41.69,other,866
BS_90B22NGP,0.8262836570211053,1.61,other,866
BS_912NX4Y0,0.5190652797945801,8.93,other,866
BS_91VYM11A,0.19027344365641607,19.9,other,866
BS_92MT680S,0.4749620849217825,9.62,other,866
BS_92VDQ0NE,0.6452594139904586,4.1,other,866
