sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-114	577714	574704	Same extraction
7316-116	588297	581275	Same extraction
7316-117	570116	563012	Same extraction
7316-1187	577723	575893	Same extraction
7316-119	573170	571295	Same extraction
7316-120	571417	567510	Same extraction
7316-121	571416	567509	Same extraction
7316-1214	470430	455923	Same extraction
7316-122	549561	447252	Same extraction
7316-1226	731856	728438	Same extraction
7316-123	717120	567511	Same extraction
7316-124	573169	571294	Different tissue aliquot
7316-125	739982	667629	Same extraction
7316-1252	470433	455924	Same extraction
7316-126	746063	475807	Same tissue aliquot
7316-127	588296	580771	Same extraction
7316-1279	470420	456743	Same tissue aliquot
7316-128	571418	567512	Same extraction
7316-13	717149	581548	Same extraction
7316-1312	739930	603411	Same extraction
7316-133	717143	580772	Same extraction
7316-134	570120	563017	Same extraction
7316-135	116304.116311.116318	This is a tissue aliquot	NA
7316-136	717145	685559	Same extraction
7316-14	654201	645176	Same extraction
7316-1455	994695	407008	Different tissue aliquot
7316-1455	400856	Not found	Different tissue aliquot
7316-1456	717123	568035	Same tissue aliquot
7316-1459	746101	744180	Same extraction
7316-146	717187	677110	Same extraction
7316-1460	1030647	Not found	Different tissue aliquot
7316-1461	731879	729721	Same extraction
7316-1462	588355	583306	Same extraction
7316-1463	571407	567601	Different tissue aliquot
7316-1464	470021	416632	Same extraction
7316-147	564462	559559	Same extraction
7316-1473	470024	415511	Same extraction
7316-1476	588298	581277	Same extraction
7316-148	564460	555705	Same extraction
7316-1480	470425	456745	Same extraction
7316-152	717113	565698	Same extraction
7316-153	549583	440137	Same tissue aliquot
7316-154	588334	582979	Same extraction
7316-155	406957	Not found	Different tissue aliquot
7316-156	588333	582978	Same extraction
7316-158	1030653	Not found	Different tissue aliquot
7316-16	588306	581549	Same extraction
7316-160	549587	466883	Same extraction
7316-161	994696	466884	Same extraction
7316-161	406959	Not found	Different tissue aliquot
7316-162	564459	555704	Same extraction
7316-1635	731920	731328	Same extraction
7316-1636	731857	728439	Same extraction
7316-1637	654208	612280	Same extraction
7316-164	734523	571288	Different tissue aliquot
7316-1641	711695	587842	Same extraction
7316-1643	601593	591129	Same extraction
7316-1646	711669	665661	Same extraction
7316-1648	711722	665950	Same extraction
7316-1649	717181	665951	Same extraction
7316-1650	608926	600528	Same extraction
7316-1651	608927	600529	Same extraction
7316-1652	654184	649216	Same extraction
7316-1653	717103	649217	Same extraction
7316-1654	573145	570514	Same extraction
7316-1655	588454	585525	Same extraction
7316-1656	711676	591124	Same extraction
7316-1658	601589	591125	Same extraction
7316-1659	731889	730398	Same extraction
7316-166	573166	571289	Same tissue aliquot
7316-1660	711653	655144	Same extraction
7316-1661	711709	606896	Same extraction
7316-1664	731890	730399	Same extraction
7316-1666	731858	728440	Same extraction
7316-1668	717160	645178	Same extraction
7316-1669	654209	612281	Same extraction
7316-167	734512	548880	Same extraction
7316-1670	654193	612333	Same extraction
7316-1671	654203	645179	Same extraction
7316-1674	717182	665952	Same extraction
7316-1675	717184	667950	Same extraction
7316-1676	711755	677367	Same extraction
7316-1678	711654	655145	Same extraction
7316-1679	654185	649218	Same extraction
7316-168	564463	559560	Same extraction
7316-1680	588455	585526	Same extraction
7316-1681	731875	728673	Same extraction
7316-1683	588456	586303	Same extraction
7316-1693	731859	728441	Same extraction
7316-1694	470027	415512	Same tissue aliquot
7316-1695	549605	489732	Same extraction
7316-170	717109	559562	Same extraction
7316-1700	564490	561568	Same extraction
7316-1702	654191	644962	Same extraction
7316-1703	654192	644963	Same extraction
7316-1704	564456	555700	Same extraction
7316-1705	588310	581555	Same extraction
7316-1706	731909	731099	Same extraction
7316-1708	746064	499991	Same tissue aliquot
7316-171	564465	559563	Same extraction
7316-1710	728274	727815	Same extraction
7316-1711	739945	555699	Same extraction
7316-1714	711680	652371	Same extraction
7316-1715	711662	650580	Same extraction
7316-172	564464	559561	Same extraction
7316-1723	470023	416633	Same extraction
7316-173	549618	533749	Same tissue aliquot
7316-1744	717174	585516	Same extraction
7316-1745	549619	533750	Different tissue aliquot
7316-1746	574552	573677	Different tissue aliquot
7316-1747	588447	585517	Same extraction
7316-1748	573141	570508	Same extraction
7316-175	564466	559564	Same extraction
7316-1750	717128	570510	Same extraction
7316-1751	588446	585479	Same extraction
7316-1757	717183	667633	Same extraction
7316-176	573167	571290	Same extraction
7316-1760	588344	583407	Same extraction
7316-1763	549574	467903	Different tissue aliquot
7316-1765	728295	727785	Different tissue aliquot
7316-1766	717142	644960	Same extraction
7316-1767	654190	644961	Same extraction
7316-1769	470030	415513	Different tissue aliquot
7316-1771	549560	440132	Same tissue aliquot
7316-1772	717124	569335	Same extraction
7316-1773	717165	583408	Same extraction
7316-1774	574549	573674	Same extraction
7316-1775	571427	569336	Same extraction
7316-1776	731860	728442	Same extraction
7316-1778	549584	442025	Different tissue aliquot
7316-1779	731884	729726	Same extraction
7316-178	608917	466885	Same extraction
7316-1781	549570	440136	Different tissue aliquot
7316-1782	549614	502644	Same extraction
7316-1783	728286	727864	Same extraction
7316-1784	588345	583409	Same extraction
7316-1785	588459	586306	Same extraction
7316-1786	588460	586307	Same extraction
7316-1789	608930	582686	Same extraction
7316-1790	573148	570518	Same extraction
7316-1792	573140	570435	Same extraction
7316-1793	588448	585518	Same extraction
7316-1794	731892	730401	Same extraction
7316-1797	588326	582682	Same extraction
7316-1799	470428	456746	Same extraction
7316-1801	564481	560767	Same extraction
7316-1802	731929	731557	Same extraction
7316-1803	717139	580680	Same extraction
7316-1805	731898	731063	Same extraction
7316-1806	588281	569342	Same extraction
7316-1808	571440	569516	Same extraction
7316-182	739962	685561	Same extraction
7316-183	717156	582036	Same extraction
7316-184	717146	685562	Same extraction
7316-1844	470026	416634	Same extraction
7316-1845	571408	567602	Same extraction
7316-185	570121	565700	Same extraction
7316-1851	711733	667632	Same extraction
7316-1854	728253	725580	Same extraction
7316-1855	711731	667630	Same extraction
7316-1856	746080	743298	Same extraction
7316-186	570122	565701	Same extraction
7316-1866	731899	731064	Same extraction
7316-187	717110	559566	Same extraction
7316-188	570099	559565	Same extraction
7316-1884	1030648	Not found	Different tissue aliquot
7316-1886	711732	667631	Same extraction
7316-1889	549576	415514	Different tissue aliquot
7316-189	470426	455485	Same extraction
7316-1890	731921	731329	Same extraction
7316-1893	746067	551471	Same extraction
7316-19	717106	554629	Same extraction
7316-1926	571409	567603	Same extraction
7316-1927	573139	570434	Same extraction
7316-1928	654214	645185	Same extraction
7316-193	601586	591120	Same extraction
7316-1936	731922	731330	Same extraction
7316-1937	731930	731558	Same extraction
7316-1938	731900	731065	Same extraction
7316-1940	588346	583410	Same extraction
7316-1941	588347	583411	Same extraction
7316-1942	654211	645182	Same extraction
7316-1943	588304	581284	Same extraction
7316-1944	588348	583412	Same extraction
7316-1945	571428	569337	Same extraction
7316-1946	654216	645100	Same extraction
7316-1948	571429	569338	Same extraction
7316-1949	728287	727865	Same extraction
7316-195	564443	548798	Different tissue aliquot
7316-1950	588370	584369	Same extraction
7316-1952	571447	569684	Same extraction
7316-1953	731901	731066	Same extraction
7316-1954	588371	584370	Same extraction
7316-1955	588307	581550	Same extraction
7316-1956	564446	548801	Same extraction
7316-1957	571448	569985	Same extraction
7316-1958	588372	584371	Same extraction
7316-1959	731878	729720	Same extraction
7316-196	588335	582980	Same extraction
7316-1960	728288	727866	Same extraction
7316-1962	588449	585519	Same extraction
7316-1963	601587	591122	Same extraction
7316-1965	728289	727867	Same extraction
7316-1968	717171	666256	Same extraction
7316-1969	564448	548804	Same extraction
7316-197	570123	565703	Same extraction
7316-1970	728296	727787	Same extraction
7316-1972	601588	591123	Same extraction
7316-1975	601601	587844	Same extraction
7316-1977	601602	587845	Same extraction
7316-1978	731883	729725	Same extraction
7316-198	549592	470150	Same extraction
7316-1981	731872	728670	Same extraction
7316-1983	573153	570806	Same extraction
7316-1985	573160	571519	Same extraction
7316-1986	717155	587846	Same extraction
7316-1987	573161	571520	Same extraction
7316-20	564452	554631	Same extraction
7316-2005	573147	570517	Same extraction
7316-2006	601590	591126	Same extraction
7316-2009	470439	450683	Same extraction
7316-202	564467	559567	Same extraction
7316-204	398058	Not found	Different tissue aliquot
7316-205	570124	565704	Same extraction
7316-206	570125	565705	Same extraction
7316-2069	573154	571208	Same extraction
7316-207	570126	565706	Same extraction
7316-2071	717176	586309	Same extraction
7316-2075	588360	584282	Same extraction
7316-2079	731910	731100	Same extraction
7316-2084	731882	729724	Same extraction
7316-2085	577730	576850	Same extraction
7316-209	717114	565702	Same extraction
7316-2091	577718	574708	Same extraction
7316-2092	739928	606566	Same extraction
7316-2099	588369	584368	Same extraction
7316-2100	574551	573676	Same extraction
7316-2106	717162	582684	Same extraction
7316-2107	570102	560769	Same extraction
7316-2109	731893	730404	Same extraction
7316-2110	731931	731559	Same extraction
7316-2118	711663	650582	Same extraction
7316-2125	717167	584287	Same extraction
7316-2130	746069	541386	Same tissue aliquot
7316-2133	717125	569517	Same extraction
7316-2134	571441	569518	Same extraction
7316-2135	571442	569519	Same extraction
7316-2138	728297	727788	Same extraction
7316-2139	571430	569339	Same extraction
7316-214	717119	567503	Same extraction
7316-2140	470436	455490	Same extraction
7316-2141	571446	569683	Same extraction
7316-2142	588361	584283	Same extraction
7316-2144	734532	677115	Same extraction
7316-2146	564445	548800	Same extraction
7316-2147	588305	581285	Same extraction
7316-2148	571431	569340	Same extraction
7316-2149	717161	582681	Same extraction
7316-215	571412	567502	Same extraction
7316-2150	571432	569341	Same extraction
7316-2151	711713	606900	Same extraction
7316-2152	574550	573675	Same extraction
7316-2153	571439	569515	Same extraction
7316-2154	549612	535907	Same tissue aliquot
7316-2155	564491	561569	Same extraction
7316-2156	588365	584288	Same extraction
7316-2157	588366	584289	Same extraction
7316-2158	588367	584290	Same extraction
7316-2159	571443	569520	Same extraction
7316-216	717116	565708	Same extraction
7316-2166	588368	584292	Same extraction
7316-2167	571444	569681	Same extraction
7316-2169	570101	560768	Same extraction
7316-217	734530	541516	Different tissue aliquot
7316-2170	728298	727789	Same extraction
7316-2171	571445	569682	Same extraction
7316-2172	571451	569988	Same extraction
7316-2174	588373	584372	Same extraction
7316-2176	588280	548802	Same extraction
7316-2177	571452	569989	Same extraction
7316-2178	564482	560770	Same extraction
7316-2180	588374	584373	Same extraction
7316-2181	588435	584374	Same extraction
7316-2182	734542	734369	Same tissue aliquot
7316-2183	571455	569993	Same extraction
7316-2184	571456	569994	Same extraction
7316-2186	654180	648541	Same extraction
7316-2187	608922	548881	Same extraction
7316-2189	734533	606559	Same tissue aliquot
7316-219	1030641	DNA and RNA listed as virtual	NA
7316-2191	588450	585520	Same extraction
7316-2193	588451	585521	Same extraction
7316-2195	573144	570513	Same extraction
7316-2197	731873	728671	Same extraction
7316-22	564485	560773	Same extraction
7316-220	571413	567504	Same extraction
7316-2203	731874	728672	Same extraction
7316-2204	731912	731102	Same extraction
7316-2208	731894	730405	Same extraction
7316-2215	731923	731332	Same extraction
7316-2216	731932	731560	Same extraction
7316-2217	731933	731561	Same extraction
7316-222	571414	567505	Same extraction
7316-2221	711677	655095	Same extraction
7316-2224	571449	569986	Same extraction
7316-2227	564492	561570	Same extraction
7316-223	717172	681545	Same extraction
7316-2230	564493	561571	Same extraction
7316-2237	731903	731068	Same extraction
7316-224	588336	582981	Same extraction
7316-2240	731904	731069	Same extraction
7316-2241	549573	508446	Same extraction
7316-2243	746082	743301	Same extraction
7316-2244	571453	569991	Same extraction
7316-2245	571454	569992	Same extraction
7316-2248	588282	570512	Same extraction
7316-2249	573155	571209	Same extraction
7316-2250	564483	560771	Same extraction
7316-2251	573149	570801	Same extraction
7316-2252	564484	560772	Same extraction
7316-2255	717166	612272	Same extraction
7316-226	601596	591580	Same extraction
7316-2266	717104	649220	Same extraction
7316-2267	711708	666255	Same extraction
7316-2268	717136	644953	Same extraction
7316-2269	717185	668172	Same extraction
7316-2271	717138	644954	Same extraction
7316-2274	728249	725631	Same extraction
7316-2275	724090	723505	Same extraction
7316-2276	711756	677368	Same extraction
7316-2278	654197	612338	Same extraction
7316-2285	717163	582685	Same extraction
7316-2287	711707	666254	Same extraction
7316-2288	577719	574709	Same extraction
7316-2291	731905	731070	Same extraction
7316-23	717107	554630	Same extraction
7316-230	588314	582038	Same extraction
7316-2300	571450	569987	Same extraction
7316-2305	588436	584375	Same extraction
7316-2306	731881	729723	Same extraction
7316-2307	731934	731562	Same extraction
7316-2308	731861	728443	Same extraction
7316-2309	564494	561572	Same extraction
7316-231	549571	478004	Different tissue aliquot
7316-2310	588437	584376	Same extraction
7316-2311	731913	731103	Same extraction
7316-2313	717126	569995	Same extraction
7316-2322	564495	561573	Same extraction
7316-2324	717147	685566	Same extraction
7316-2329	746072	741114	Same extraction
7316-234	717141	580762	Same extraction
7316-235	564458	555703	Same extraction
7316-238	1030655	Not found	Same tissue aliquot
7316-240	746085	743304	Same extraction
7316-242	750189	744904	Same extraction
7316-245	711727	665958	Same extraction
7316-247	588291	580763	Same extraction
7316-249	577724	575894	Same extraction
7316-2536	574557	573682	Same extraction
7316-255	994697	924320	Same tissue aliquot
7316-255	401560	Not found	Same extraction
7316-2554	564449	548805	Same extraction
7316-2556	728254	725581	Same extraction
7316-2557	731862	728444	Same extraction
7316-2558	654219	645104	Same extraction
7316-2561	577720	574710	Same extraction
7316-2562	728255	725582	Same extraction
7316-2566	717134	571500	Same extraction
7316-2567	570103	561563	Same extraction
7316-2569	717168	612276	Same extraction
7316-257	711729	667627	Same extraction
7316-2571	588452	585523	Same extraction
7316-2572	588453	585524	Same extraction
7316-2575	654215	645186	Same extraction
7316-2576	654181	648542	Same extraction
7316-2577	601591	591127	Same extraction
7316-2578	588462	586310	Same extraction
7316-258	717112	562101	Same extraction
7316-2581	573156	571210	Same extraction
7316-2582	573157	571211	Same extraction
7316-2583	573158	571212	Same extraction
7316-2588	588463	586311	Same extraction
7316-2589	739960	705319	Same tissue aliquot
7316-259	588315	582040	Same extraction
7316-2590	717130	570800	Different tissue aliquot
7316-2591	717151	587840	Same extraction
7316-2594	574553	573678	Same extraction
7316-2599	711766	607874	Same extraction
7316-2608	717177	586312	Same extraction
7316-2609	573159	571213	Same extraction
7316-261	750191	744907	Same extraction
7316-2610	577721	574711	Same extraction
7316-2614	717175	585522	Same extraction
7316-262	750190	744906	Same extraction
7316-2622	717178	586313	Same extraction
7316-2626	728290	727868	Same extraction
7316-263	711706	666252	Same extraction
7316-2632	711748	668177	Same extraction
7316-264	549616	534723	Same extraction
7316-2640	573150	570802	Same extraction
7316-2641	717129	570683	Same tissue aliquot
7316-2647	717152	587841	Same extraction
7316-2648	573151	570803	Same extraction
7316-265	549621	535803	Same tissue aliquot
7316-2653	717131	570804	Same extraction
7316-2658	654182	648543	Same extraction
7316-2659	717140	580684	Same extraction
7316-2660	577722	574712	Different tissue aliquot
7316-2661	731863	728445	Same extraction
7316-2662	717100	655140	Same extraction
7316-2663	601603	587847	Same extraction
7316-2664	711710	606893	Same extraction
7316-2665	717135	571521	Different tissue aliquot
7316-2666	711711	606895	Same extraction
7316-2667	549620	533753	Different tissue aliquot
7316-2668	573162	571522	Same extraction
7316-2669	601604	587848	Same extraction
7316-267	564455	555698	Same extraction
7316-2671	573164	571524	Same extraction
7316-2672	601592	591128	Same extraction
7316-2673	711749	668178	Same extraction
7316-2680	573163	571523	Same extraction
7316-2686	717179	645103	Same tissue aliquot
7316-2688	731924	731333	Same extraction
7316-2689	728291	727869	Same extraction
7316-2699	728275	727816	Same extraction
7316-2703	739972	603420	Same extraction
7316-2707	588356	583307	Same extraction
7316-2708	711753	677365	Same extraction
7316-2719	717132	571497	Same extraction
7316-272	588287	578426	Same extraction
7316-2720	717133	571498	Same extraction
7316-2723	601605	587849	Same extraction
7316-2724	717144	591583	Same tissue aliquot
7316-2725	601594	591130	Same extraction
7316-2729	728276	727817	Same extraction
7316-2732	654204	612273	Same extraction
7316-2737	711767	606564	Same extraction
7316-2743	654205	612274	Same extraction
7316-2744	654202	645177	Same extraction
7316-275	731866	728664	Same extraction
7316-2751	711698	658780	Same extraction
7316-2753	728292	727870	Same extraction
7316-2755	654207	612278	Same extraction
7316-2756	731915	731105	Same extraction
7316-2757	654206	612277	Same extraction
7316-2758	717153	658779	Same extraction
7316-2760	717164	658788	Same extraction
7316-2777	739968	600532	Same extraction
7316-278	257637	Not found	NA
7316-2780	608928	600530	Same extraction
7316-2782	711735	667636	Same extraction
7316-279	711726	665957	Same extraction
7316-280	549615	502645	Same extraction
7316-2809	717170	612279	Same extraction
7316-2810	739977	606565	Same extraction
7316-2811	711666	665658	Same extraction
7316-2856	717157	612335	Same extraction
7316-2857	654195	612336	Same extraction
7316-2858	654196	612337	Same extraction
7316-286	746103	744185	Same extraction
7316-2860	711754	677366	Same extraction
7316-2862	746097	743158	Same extraction
7316-2864	739952	644956	Same extraction
7316-2865	608924	600526	Same extraction
7316-287	398451	Not found	Same extraction
7316-288	398450	Not found	Same extraction
7316-2893	711702	658787	Same extraction
7316-2897	717105	649223	Same extraction
7316-2899	711700	658784	Same extraction
7316-29	564461	559558	Same extraction
7316-290	711705	666251	Same extraction
7316-2901	711701	658786	Same tissue aliquot
7316-291	739981	665956	Same extraction
7316-292	470438	459123	Same extraction
7316-2933	654194	612334	Same extraction
7316-2934	711703	666247	Same extraction
7316-2935	654210	645180	Same extraction
7316-2939	711667	665659	Same extraction
7316-294	746104	744186	Same extraction
7316-2959	711699	658783	Same extraction
7316-2962	654187	649222	Same extraction
7316-2966	739996	738043	Same extraction
7316-297	564469	560229	Same extraction
7316-2970	740003	738050	Same extraction
7316-2971	711720	651935	Same extraction
7316-2972	654186	649221	Same extraction
7316-2980	731864	728446	Same extraction
7316-2984	728277	727818	Same extraction
7316-2986	711762	677494	Same extraction
7316-2987	731906	731071	Same extraction
7316-2988	731876	728674	Same extraction
7316-2989	731916	731106	Same extraction
7316-2990	731925	731334	Same extraction
7316-3	470422	450677	Same extraction
7316-30	564453	554635	Same extraction
7316-3000	746068	608383	Same extraction
7316-3010	711679	652369	Same extraction
7316-3019	731877	729719	Same extraction
7316-302	1030642	Not found	Different tissue aliquot
7316-3020	654198	612339	Same extraction
7316-3022	734535	733616	Same extraction
7316-3023	654199	612340	Same extraction
7316-3025	711716	606903	Same extraction
7316-3028	717101	655142	Same extraction
7316-3029	654183	649215	Same extraction
7316-3030	731895	730406	Same extraction
7316-304	549598	468431	Same extraction
7316-3040	654200	612341	Same extraction
7316-3045	717158	658781	Same extraction
7316-3048	739978	606894	Same extraction
7316-305	711664	650583	Same extraction
7316-3052	711652	655143	Same extraction
7316-3054	739925	649219	Same extraction
7316-3055	711655	655146	Same extraction
7316-3057	711656	655147	Same extraction
7316-3058	739933	729926	Different tissue aliquot
7316-3058	739934	729927	Same extraction
7316-3058	746065	566828	Different tissue aliquot
7316-306	734529	667634	Same extraction
7316-3060	734511	655148	Same extraction
7316-3061	739956	689827	Same extraction
7316-3062	711697	658778	Same extraction
7316-3064	654220	645105	Same extraction
7316-3065	654221	645106	Same extraction
7316-3066	654222	645107	Same extraction
7316-3067	654176	648536	Same extraction
7316-3068	734528	606897	Same extraction
7316-3069	654177	648537	Same extraction
7316-307	549607	475622	Same extraction
7316-3070	734513	648533	Same extraction
7316-3071	711723	665953	Same extraction
7316-3072	711725	665954	Same extraction
7316-3073	711736	667945	Same extraction
7316-3074	711758	677370	Same extraction
7316-3075	717186	676941	Same extraction
7316-3076	731865	728447	Same extraction
7316-309	549595	470151	Same extraction
7316-310	549588	467896	Same extraction
7316-312	711657	650574	Same extraction
7316-3122	739929	685601	Same extraction
7316-313	549600	468960	Same extraction
7316-3132	654188	644958	Same extraction
7316-3138	711761	677490	Same extraction
7316-3139	739980	668381	Same extraction
7316-314	549608	475623	Same extraction
7316-3140	711719	668382	Same extraction
7316-3147	724091	723506	Same extraction
7316-3148	724075	720408	Same extraction
7316-3149	724076	720409	Same extraction
7316-315	549610	477330	Same extraction
7316-3150	724078	720411	Same extraction
7316-3151	724079	723249	Same extraction
7316-3152	724080	723250	Same extraction
7316-3153	724074	720407	Same extraction
7316-3154	724077	720410	Same extraction
7316-3169	728256	725584	Same extraction
7316-319	711734	667635	Same extraction
7316-3192	608929	600531	Same extraction
7316-32	734517	555695	Same extraction
7316-3202	711746	668173	Same extraction
7316-3203	711747	668174	Same extraction
7316-3204	728278	727819	Same extraction
7316-3206	728248	725630	Same extraction
7316-3208	728247	725629	Same extraction
7316-321	711728	667626	Same extraction
7316-322	564470	560230	Same extraction
7316-324	588292	580765	Same extraction
7316-325	577729	576849	Same extraction
7316-329	588308	581553	Same extraction
7316-3292	734527	658782	Different tissue aliquot
7316-3295	654175	648534	Same extraction
7316-3299	654178	648539	Same extraction
7316-330	728279	727820	Same extraction
7316-3300	711715	606902	Same extraction
7316-3303	734524	644955	Same extraction
7316-3306	711670	665662	Same extraction
7316-3308	711671	665664	Same extraction
7316-331	711724	665955	Same extraction
7316-3311	711752	672669	Same extraction
7316-3312	711712	606898	Same extraction
7316-3316	711737	667946	Same extraction
7316-3317	711738	667947	Same extraction
7316-3319	711675	607506	Same extraction
7316-332	571415	567506	Same extraction
7316-3323	711672	665665	Same extraction
7316-3326	711704	666250	Same extraction
7316-333	398057	Not found	Same extraction
7316-3336	739926	649224	Same extraction
7316-334	470437	456741	Same extraction
7316-3345	739993	677495	Same extraction
7316-340	549613	502643	Same extraction
7316-341	571435	569344	Same extraction
7316-343	401742	Not found	NA
7316-344	734525	580767	Same extraction
7316-345	571434	569343	Same extraction
7316-346	588362	584284	Same extraction
7316-347	549567	448064	Different tissue aliquot
7316-3485	724092	723507	Same extraction
7316-3488	724084	723254	Same extraction
7316-349	731867	728665	Same extraction
7316-3491	728257	725587	Same extraction
7316-350	588290	580687	Same extraction
7316-3504	711759	677371	Same extraction
7316-3510	724101	723825	Same extraction
7316-3511	717188	677117	Same extraction
7316-3513	739989	677372	Same extraction
7316-3515	717189	677118	Same extraction
7316-3516	728280	727821	Same extraction
7316-3519	717190	677119	Same extraction
7316-3520	739991	677374	Same extraction
7316-3521	739979	668379	Same extraction
7316-3522	724102	723826	Same extraction
7316-355	739954	580768	Same extraction
7316-3554	711739	667949	Same extraction
7316-3555	711740	667951	Same extraction
7316-3556	711741	667952	Same extraction
7316-3557	739984	667953	Same extraction
7316-3558	739985	667954	Same extraction
7316-356	570112	562102	Same extraction
7316-3566	711743	668168	Same extraction
7316-3567	728251	725633	Same extraction
7316-3570	711744	668169	Same extraction
7316-3571	711745	668170	Same extraction
7316-3572	734531	668175	Same extraction
7316-3574	711750	672667	Same extraction
7316-3575	711751	672668	Same extraction
7316-3576	739959	689834	Same extraction
7316-358	549577	440133	Different tissue aliquot
7316-359	588324	582351	Same extraction
7316-361	588328	582973	Same extraction
7316-362	570113	562103	Same extraction
7316-3621	711718	668380	Same extraction
7316-3622	711760	677375	Same extraction
7316-3623	724103	723827	Same extraction
7316-3624	724104	723828	Same extraction
7316-3625	728243	725624	Same tissue aliquot
7316-3626	728242	725623	Same tissue aliquot
7316-3627	724093	723508	Same extraction
7316-3628	724094	723509	Same extraction
7316-3629	724095	723510	Same extraction
7316-3630	724096	723511	Same extraction
7316-3631	724097	723512	Same extraction
7316-3632	724098	723513	Same extraction
7316-364	570114	562104	Same extraction
7316-365	739957	689831	Same extraction
7316-367	564487	561565	Same extraction
7316-368	734536	733617	Same tissue aliquot
7316-3680	739987	672670	Same extraction
7316-3689	728244	725626	Same extraction
7316-370	588329	582974	Same extraction
7316-371	734516	546524	Different tissue aliquot
7316-373	734518	562047	Same extraction
7316-375	588330	582975	Same extraction
7316-3751	728259	725680	Same extraction
7316-3755	728260	725681	Same extraction
7316-3756	728261	725682	Same extraction
7316-376	549569	441625	Different tissue aliquot
7316-3762	728272	725896	Same extraction
7316-3765	728273	725897	Same extraction
