Gene	cancer_group	count
AC005258.1	Acute Lymphoblastic Leukemia	4
AC244472.3	Acute Lymphoblastic Leukemia	4
ADAP1	Acute Lymphoblastic Leukemia	4
ADRM1	Acute Myeloid Leukemia	4
AKT1	Acute Lymphoblastic Leukemia	4
ANKRD11	Acute Myeloid Leukemia	4
ANP32E	Acute Myeloid Leukemia	4
ARHGEF2	Acute Myeloid Leukemia	4
BCL11A	Acute Myeloid Leukemia	4
BPTF	Acute Lymphoblastic Leukemia	4
BRD4	Acute Myeloid Leukemia	4
CLK1	Acute Lymphoblastic Leukemia	4
CLK3	Acute Myeloid Leukemia	4
COL1A2	Osteosarcoma	4
CSNK1G2	Acute Myeloid Leukemia	4
DAZAP1	Acute Lymphoblastic Leukemia	4
EEF1D	Acute Lymphoblastic Leukemia	4
ELF2	Acute Lymphoblastic Leukemia	4
ELL	Acute Myeloid Leukemia	4
EPB41	Acute Lymphoblastic Leukemia	4
EPS15	Acute Lymphoblastic Leukemia	4
FAM20C	Acute Lymphoblastic Leukemia	4
FLT3	Acute Lymphoblastic Leukemia	4
FOSL1	Acute Myeloid Leukemia	4
FYN	Diffuse midline glioma	4
GNA11	Acute Lymphoblastic Leukemia	4
GNA15	Acute Lymphoblastic Leukemia	4
HNRNPU	Acute Lymphoblastic Leukemia	4
ING1	Acute Lymphoblastic Leukemia	4
JAK2	Acute Lymphoblastic Leukemia	4
KLF10	Acute Myeloid Leukemia	4
KLF16	Acute Myeloid Leukemia	4
LFNG	Acute Myeloid Leukemia	4
LPCAT1	Acute Lymphoblastic Leukemia	4
MAD1L1	Wilms tumor	4
MKNK2	Acute Myeloid Leukemia	4
NACC2	Acute Myeloid Leukemia	4
NFKBIA	Acute Myeloid Leukemia	4
NR4A1	Acute Myeloid Leukemia	4
OAZ1	Acute Myeloid Leukemia	4
PLEKHO1	Acute Lymphoblastic Leukemia	4
PNRC1	Acute Myeloid Leukemia	4
PRDM16	Acute Myeloid Leukemia	4
PSPC1	Acute Lymphoblastic Leukemia	4
PTPN2	Acute Myeloid Leukemia	4
PTTG1IP	Acute Lymphoblastic Leukemia	4
PTTG1IP	Acute Myeloid Leukemia	4
RAF1	Low-grade glioma/astrocytoma	4
REV3L	Diffuse midline glioma	4
REXO1	Acute Lymphoblastic Leukemia	4
RNH1	Acute Myeloid Leukemia	4
ROS1	High-grade glioma/astrocytoma	4
RXRA	Acute Lymphoblastic Leukemia	4
SAP25	Acute Myeloid Leukemia	4
SH3TC1	Acute Lymphoblastic Leukemia	4
TCF25	Acute Lymphoblastic Leukemia	4
TCF7	Acute Lymphoblastic Leukemia	4
TIMP2	Acute Lymphoblastic Leukemia	4
TRBC2	Acute Lymphoblastic Leukemia	4
TSC2	Acute Lymphoblastic Leukemia	4
UHRF2	Acute Myeloid Leukemia	4
USP15	Acute Myeloid Leukemia	4
ZNF598	Acute Lymphoblastic Leukemia	4
