FusionName	broad_histology	count
PTPN12--WDR60	Diffuse astrocytic and oligodendroglial tumor	1
AUTS2--RNF216	Diffuse astrocytic and oligodendroglial tumor	1
DBNL--SLC26A4	Diffuse astrocytic and oligodendroglial tumor	1
SARAF--TUSC3	Diffuse astrocytic and oligodendroglial tumor	1
MAP4K5--MAP4K5	Ependymal tumor	1
ST7--MET	Diffuse astrocytic and oligodendroglial tumor	1
CARS--BRSK2	Diffuse astrocytic and oligodendroglial tumor	1
HIRA--IL17RA	Diffuse astrocytic and oligodendroglial tumor	1
C22orf39--IL17RA	Diffuse astrocytic and oligodendroglial tumor	1
TARSL2--WFS1	Diffuse astrocytic and oligodendroglial tumor	1
COPA--GPATCH4	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A7	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A3	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A1	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A10	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A4	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A6	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A5	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A9	Diffuse astrocytic and oligodendroglial tumor	1
KLHL15--UGT1A8	Diffuse astrocytic and oligodendroglial tumor	1
CINP--TDRD9	Diffuse astrocytic and oligodendroglial tumor	1
FREM1--FREM1	Ependymal tumor	1
GOLGA4--DCAF1	Diffuse astrocytic and oligodendroglial tumor	1
AUTS2--CARD11	Diffuse astrocytic and oligodendroglial tumor	1
DDHD1--WWC1	Diffuse astrocytic and oligodendroglial tumor	1
FNBP4--ASRGL1	Ependymal tumor	1
GRIK3--WIPI2	Diffuse astrocytic and oligodendroglial tumor	1
KIF21A--ROS1	Diffuse astrocytic and oligodendroglial tumor	1
CD83--STMND1	Diffuse astrocytic and oligodendroglial tumor	1
DENND5B--KRAS	NOS Embryonal tumor	1
SLC16A7--KNTC1	NOS Embryonal tumor	1
MPRIP--DRG2	Diffuse astrocytic and oligodendroglial tumor	1
CFAP43--CFAP43	Ependymal tumor	1
BCL11A--ALK	Diffuse astrocytic and oligodendroglial tumor	1
NF1--ACACB	Diffuse astrocytic and oligodendroglial tumor	1
LIPA--RGS2	Diffuse astrocytic and oligodendroglial tumor	1
MAD1L1--PHF2	Diffuse astrocytic and oligodendroglial tumor	1
NFKBID--ACTN4	Diffuse astrocytic and oligodendroglial tumor	1
MACF1--TMEM53	Diffuse astrocytic and oligodendroglial tumor	1
PDCD6--SLC9A3	Diffuse astrocytic and oligodendroglial tumor	1
PREX2--PREX2	Ependymal tumor	1
OSTM1--QKI	Diffuse astrocytic and oligodendroglial tumor	1
ZNF704--MRPS28	Diffuse astrocytic and oligodendroglial tumor	1
ABCC9--ABCC9	Ependymal tumor	1
ITFG2--ANO2	Diffuse astrocytic and oligodendroglial tumor	1
PEX5--SLCO1C1	Diffuse astrocytic and oligodendroglial tumor	1
SPATS2L--SLC25A12	Diffuse astrocytic and oligodendroglial tumor	1
EHMT1--MAN1B1	Diffuse astrocytic and oligodendroglial tumor	1
ANTXR1--BRAF	Low-grade astrocytic tumor	1
BRAF--ANTXR1	Low-grade astrocytic tumor	1
OPCML--ADGRL1	NOS Embryonal tumor	1
JAKMIP1--JAKMIP1	Low-grade astrocytic tumor	1
GNAQ--SETX	Ependymal tumor	1
ARAP2--ARAP2	Diffuse astrocytic and oligodendroglial tumor	1
EWSR1--PLAGL1	NOS Embryonal tumor	1
LPA--QKI	NOS Embryonal tumor	1
MAML2--YAP1	Ependymal tumor	1
HTRA1--SH3PXD2A	Tumor of cranial and paraspinal nerves	1
PLEKHA8--PLEKHA8	Other tumor	1
INTS6--TPT1	Embryonal tumor	1
HEY1--NCOA2	Mesenchymal non-meningothelial tumor	1
TNPO3--SRPK1	Diffuse astrocytic and oligodendroglial tumor	1
CDK18--PHLDB1	Diffuse astrocytic and oligodendroglial tumor	1
YAP1--FAM118B	Meningioma	1
GAB2--CYB561A3	Diffuse astrocytic and oligodendroglial tumor	1
NTRK2--KCTD8	Neuronal and mixed neuronal-glial tumor	1
KCTD8--NTRK2	Neuronal and mixed neuronal-glial tumor	1
WRN--WRN	Embryonal tumor	1
CCSER1--PTPN13	Embryonal tumor	1
BCR--SLC2A11	Embryonal tumor	1
COL11A1--COL11A1	Embryonal tumor	1
BCR--AP000350.4	Embryonal tumor	1
JAKMIP1--JAKMIP1	Pre-cancerous lesion	1
YAP1--MAML2	Meningioma	1
MAML2--YAP1	Meningioma	1
QKI--ARID1B	Ependymal tumor	1
ARID1B--PLAGL1	Ependymal tumor	1
GTF2B--KIF18B	Tumor of cranial and paraspinal nerves	1
JAKMIP1--JAKMIP1	Diffuse astrocytic and oligodendroglial tumor	1
ARHGEF10--ARHGEF10	Low-grade astrocytic tumor	1
MARK2--STK33	Low-grade astrocytic tumor	1
ST13--ROS1	Low-grade astrocytic tumor	1
BCAS1--RAF1	Low-grade astrocytic tumor	1
MET--PTPRZ1	Diffuse astrocytic and oligodendroglial tumor	1
TANC1--HTRA1	Tumor of cranial and paraspinal nerves	1
HTRA1--TANC1	Tumor of cranial and paraspinal nerves	1
MSI2--AC015813.2	Diffuse astrocytic and oligodendroglial tumor	1
MSI2--AC015813.1	Diffuse astrocytic and oligodendroglial tumor	1
MBNL1--BRAF	Histiocytic tumor	1
TRIM24--BRAF	Diffuse astrocytic and oligodendroglial tumor	1
DNTTIP1--SPO11	Diffuse astrocytic and oligodendroglial tumor	1
IGF1R--HNRNPM	Diffuse astrocytic and oligodendroglial tumor	1
RELA--C11orf95	Ependymal tumor	1
ABHD2--SGMS1	Diffuse astrocytic and oligodendroglial tumor	1
TMEM260--VRK1	Diffuse astrocytic and oligodendroglial tumor	1
EWSR1--PATZ1	Diffuse astrocytic and oligodendroglial tumor	1
MET--GCK	Diffuse astrocytic and oligodendroglial tumor	1
GRID1--CCAR1	Diffuse astrocytic and oligodendroglial tumor	1
MET--CAMK2B	Diffuse astrocytic and oligodendroglial tumor	1
UBE2D2--CDC23	Diffuse astrocytic and oligodendroglial tumor	1
ZCCHC8--ROS1	Diffuse astrocytic and oligodendroglial tumor	1
PFKFB3--ZMIZ1	Low-grade astrocytic tumor	1
TBPL1--HBS1L	Diffuse astrocytic and oligodendroglial tumor	1
JARID2--CAGE1	Diffuse astrocytic and oligodendroglial tumor	1
TNS3--BRAF	Neuronal and mixed neuronal-glial tumor	1
AHCYL2--ZNF746	Neuronal and mixed neuronal-glial tumor	1
TCF4--TCP10	Diffuse astrocytic and oligodendroglial tumor	1
EPHA5--EPHA5	Low-grade astrocytic tumor	1
RNF10--SIRT4	Embryonal tumor	1
GNA12--NXPH1	Diffuse astrocytic and oligodendroglial tumor	1
MET--MET	Diffuse astrocytic and oligodendroglial tumor	1
SSBP1--CADPS2	Diffuse astrocytic and oligodendroglial tumor	1
PIAS1--SENP8	Diffuse astrocytic and oligodendroglial tumor	1
SLC29A4--ZNF735	Diffuse astrocytic and oligodendroglial tumor	1
KIAA1549--TNRC18	Diffuse astrocytic and oligodendroglial tumor	1
PTPRN2--GNA12	Diffuse astrocytic and oligodendroglial tumor	1
CHD2--TBC1D2B	Diffuse astrocytic and oligodendroglial tumor	1
PIAS1--MARCH6	Diffuse astrocytic and oligodendroglial tumor	1
PTPRN2--ZNF786	Diffuse astrocytic and oligodendroglial tumor	1
IKZF1--CNTNAP2	Diffuse astrocytic and oligodendroglial tumor	1
SCFD2--IGFBP7	Diffuse astrocytic and oligodendroglial tumor	1
ST7--ZNF3	Diffuse astrocytic and oligodendroglial tumor	1
TSPAN12--MET	Diffuse astrocytic and oligodendroglial tumor	1
ST7--CTTNBP2	Diffuse astrocytic and oligodendroglial tumor	1
SND1--IQUB	Tumor of cranial and paraspinal nerves	1
CREBBP--APP	Tumor of cranial and paraspinal nerves	1
FN1--FASTKD2	Tumor of cranial and paraspinal nerves	1
ASRGL1--RHOG	Ependymal tumor	1
GPR176--TAF1	Diffuse astrocytic and oligodendroglial tumor	1
EPHA3--TSKU	Diffuse astrocytic and oligodendroglial tumor	1
AKAP13--TMBIM6	Diffuse astrocytic and oligodendroglial tumor	1
PPP4R3B--ZIC5	Meningioma	1
NF2--PISD	Meningioma	1
TMEM132E--ETV4	Diffuse astrocytic and oligodendroglial tumor	1
C11orf95--NCOA1	Ependymal tumor	1
LRGUK--LRGUK	Ependymal tumor	1
RFX3--RFX3	Ependymal tumor	1
ADAMTS2--CLK4	Ependymal tumor	1
PBRM1--PBRM1	Ependymal tumor	1
FRYL--FRYL	Ependymal tumor	1
UBR5--UBR5	Ependymal tumor	1
UBE3C--EXOC4	Diffuse astrocytic and oligodendroglial tumor	1
KIAA1549--KIAA1549	Neuronal and mixed neuronal-glial tumor	1
MAP4--CNTN4	Embryonal tumor	1
CCND2--NINJ2	Embryonal tumor	1
DUSP5--DOCK1	Diffuse astrocytic and oligodendroglial tumor	1
NF2--PSMD9	Meningioma	1
NF2--AC069503.2	Meningioma	1
PMPCB--CNTNAP2	Meningioma	1
TFCP2--TMPRSS12	Meningioma	1
PATJ--PRF1	Meningioma	1
FARSA--ERCC2	Diffuse astrocytic and oligodendroglial tumor	1
TMEM165--CHIC2	Diffuse astrocytic and oligodendroglial tumor	1
LCORL--SCFD2	Diffuse astrocytic and oligodendroglial tumor	1
HNRNPA2B1--MET	Diffuse astrocytic and oligodendroglial tumor	1
MYH9--EIF3D	Embryonal tumor	1
MICALL2--HIPK2	Low-grade astrocytic tumor	1
PHLPP1--GDAP1	Metastatic secondary tumors	1
KMT2A--MLLT10	Metastatic secondary tumors	1
SIK3--MLLT10	Metastatic secondary tumors	1
KNTC1--CLIP1	Embryonal tumor	1
CCDC88A--ALK	Diffuse astrocytic and oligodendroglial tumor	1
CCND2--ADARB2	Diffuse astrocytic and oligodendroglial tumor	1
EHMT1--C9orf135	Diffuse astrocytic and oligodendroglial tumor	1
TMEFF1--PRRC2B	Diffuse astrocytic and oligodendroglial tumor	1
RAB3GAP2--PLCH2	Embryonal tumor	1
PLEKHA8--PLEKHA8	Pre-cancerous lesion	1
PID1--RAF1	Low-grade astrocytic tumor	1
CHD7--MYBL1	Diffuse astrocytic and oligodendroglial tumor	1
DNAJA4--HMG20A	Mesenchymal non-meningothelial tumor	1
NECTIN2--SEMA4B	Mesenchymal non-meningothelial tumor	1
SEPT11--FAM172A	Diffuse astrocytic and oligodendroglial tumor	1
SCFD2--PDGFRA	Diffuse astrocytic and oligodendroglial tumor	1
CHIC2--PDGFRA	Diffuse astrocytic and oligodendroglial tumor	1
INPP4B--GAB1	Other tumor	1
SPARC--LTBP4	Tumor of cranial and paraspinal nerves	1
POU2F1--POU2F1	Tumor of cranial and paraspinal nerves	1
EWSR1--FLI1	Metastatic secondary tumors	1
BRAF--PID1	Low-grade astrocytic tumor	1
PID1--BRAF	Low-grade astrocytic tumor	1
PPARD--PHACTR1	Diffuse astrocytic and oligodendroglial tumor	1
ARHGEF2--CCT3	Diffuse astrocytic and oligodendroglial tumor	1
NTRK2--NTRK2	Diffuse astrocytic and oligodendroglial tumor	1
AC005324.4--FOXO3	Embryonal tumor	1
ATXN7--FLNB	Embryonal tumor	1
ZNF286A--FOXO3	Embryonal tumor	1
VTI1A--LRMDA	Tumors of sellar region	1
ADAMTS18--ADAMTS18	Low-grade astrocytic tumor	1
ZFHX4--ZFHX4	Low-grade astrocytic tumor	1
FGFR2--INA	Neuronal and mixed neuronal-glial tumor	1
SRGAP3--RAF1	Low-grade astrocytic tumor	1
CLIP1--ROS1	Diffuse astrocytic and oligodendroglial tumor	1
MTOR--MTOR	Ependymal tumor	1
CHKA--SPTY2D1	Ependymal tumor	1
SYTL2--CHKA	Ependymal tumor	1
PDGFB--LRP1	Neuronal and mixed neuronal-glial tumor	1
COBL--ZNF852	Tumors of sellar region	1
CLIP1--ROS1	Low-grade astrocytic tumor	1
ICAM1--QTRT1	Embryonal tumor	1
THADA--THADA	Neuronal and mixed neuronal-glial tumor	1
DST--USP24	Low-grade astrocytic tumor	1
QKI--CDC5L	Low-grade astrocytic tumor	1
CDC5L--MYB	Low-grade astrocytic tumor	1
RNF130--BRAF	Low-grade astrocytic tumor	1
NTRK2--DIAPH2	Low-grade astrocytic tumor	1
DIAPH2--NTRK2	Low-grade astrocytic tumor	1
GAB1--SYK	Mesenchymal non-meningothelial tumor	1
CSMD1--MAP4	Low-grade astrocytic tumor	1
IFT88--IFT88	Ependymal tumor	1
TP53BP1--TP53BP1	Ependymal tumor	1
ELL--ZFP28	Embryonal tumor	1
ABCC1--WWOX	Diffuse astrocytic and oligodendroglial tumor	1
GOPC--ROS1	Neuronal and mixed neuronal-glial tumor	1
ERC2--ATP1B3	Neuronal and mixed neuronal-glial tumor	1
LRIG1--FYTTD1	Neuronal and mixed neuronal-glial tumor	1
SRGAP3--TM4SF18	Neuronal and mixed neuronal-glial tumor	1
PTPRG--ATP13A4	Neuronal and mixed neuronal-glial tumor	1
PTPRG--OSBPL10	Neuronal and mixed neuronal-glial tumor	1
SUMF1--BFSP2	Neuronal and mixed neuronal-glial tumor	1
ROR1--DNAJC6	Embryonal tumor	1
NCOR2--SCARB1	Tumor of cranial and paraspinal nerves	1
EED--ADGRB3	Ependymal tumor	1
ZEB2--ARHGAP15	CNS neuroblastoma	1
KBTBD11-OT1--ARHGEF10	Ependymal tumor	1
RELA--MACROD1	Ependymal tumor	1
ARHGEF10--KBTBD11-OT1	Ependymal tumor	1
UBE2L3--MET	Diffuse astrocytic and oligodendroglial tumor	1
KIT--KDR	Diffuse astrocytic and oligodendroglial tumor	1
MET--UBE2L3	Diffuse astrocytic and oligodendroglial tumor	1
WWOX--CDYL2	Diffuse astrocytic and oligodendroglial tumor	1
EPS15--DMD	Diffuse astrocytic and oligodendroglial tumor	1
REV3L--FYN	Low-grade astrocytic tumor	1
ARID1B--QKI	Ependymal tumor	1
ATP1B1--DNMT3A	Diffuse astrocytic and oligodendroglial tumor	1
LPGAT1--ZNF704	Diffuse astrocytic and oligodendroglial tumor	1
ZFHX4--NDUFA9	Diffuse astrocytic and oligodendroglial tumor	1
TAX1BP1--BRAF	Low-grade astrocytic tumor	1
CAPZA2--BRAF	Low-grade astrocytic tumor	1
TRIM24--BRAF	Low-grade astrocytic tumor	1
WWP1--CCDC25	Embryonal tumor	1
HOOK3--CHRAC1	Embryonal tumor	1
AGO2--NRBP2	Embryonal tumor	1
MSRA--WWP1	Embryonal tumor	1
C11orf95--MAML2	Ependymal tumor	1
ZBTB44--TTC28	Ependymal tumor	1
CNTN6--CNTN6	Embryonal tumor	1
ALDH7A1--SMARCC1	Mesenchymal non-meningothelial tumor	1
AFAP1--NTRK2	Low-grade astrocytic tumor	1
HMGCR--SH3YL1	NOS Embryonal tumor	1
THOC5--WDR27	NOS Embryonal tumor	1
ZNF586--SMTN	NOS Embryonal tumor	1
CTNND1--KHDRBS1	Tumor of cranial and paraspinal nerves	1
TMSB10--GNAS	Embryonal tumor	1
MACF1--SLC6A18	Embryonal tumor	1
TRIM33--SIKE1	Diffuse astrocytic and oligodendroglial tumor	1
AFF2--SND1	Embryonal tumor	1
SND1--AFF2	Embryonal tumor	1
EWSR1--FLI1	Tumors of sellar region	1
MAST1--GRXCR1	Diffuse astrocytic and oligodendroglial tumor	1
PSMA2--ABCB1	Diffuse astrocytic and oligodendroglial tumor	1
SMARCA4--WIZ	Diffuse astrocytic and oligodendroglial tumor	1
AC010132.3--ABCB1	Diffuse astrocytic and oligodendroglial tumor	1
KHSRP--SH3GL1	Diffuse astrocytic and oligodendroglial tumor	1
NCOA2--PAX3	Embryonal tumor	1
PAX3--NCOA2	Embryonal tumor	1
ANKHD1-EIF4EBP3--SPARC	Diffuse astrocytic and oligodendroglial tumor	1
ANKHD1--SPARC	Diffuse astrocytic and oligodendroglial tumor	1
ITGB3--SEPT9	Diffuse astrocytic and oligodendroglial tumor	1
FRMD8--ME3	Ependymal tumor	1
DKK3--CSTF3	Ependymal tumor	1
CADM1--CASP5	Ependymal tumor	1
STX5--HTATIP2	Ependymal tumor	1
CARS--PAFAH1B2	Ependymal tumor	1
ST5--MUC5AC	Tumor of cranial and paraspinal nerves	1
SMG5--DDR2	Tumor of cranial and paraspinal nerves	1
MN1--CXXC5	Ependymal tumor	1
MN1--PSD2	Ependymal tumor	1
BCAS3--SEL1L3	Embryonal tumor	1
VPS53--AL022318.4	Neuronal and mixed neuronal-glial tumor	1
ZNF57--SF3A2	Neuronal and mixed neuronal-glial tumor	1
VPS53--APOBEC3D	Neuronal and mixed neuronal-glial tumor	1
ZZEF1--USP6	Diffuse astrocytic and oligodendroglial tumor	1
NCOR1--YWHAE	Diffuse astrocytic and oligodendroglial tumor	1
CRK--ITGAE	Diffuse astrocytic and oligodendroglial tumor	1
ABR--ZZEF1	Diffuse astrocytic and oligodendroglial tumor	1
RPA1--SMTNL2	Diffuse astrocytic and oligodendroglial tumor	1
ZNF385D--ZNF385D	Neuronal and mixed neuronal-glial tumor	1
C1orf61--PCDHGC3	Low-grade astrocytic tumor	1
SATB2--STAG2	Pre-cancerous lesion	1
FANCC--FANCC	Diffuse astrocytic and oligodendroglial tumor	1
MAP2--MAP2	Diffuse astrocytic and oligodendroglial tumor	1
PHACTR1--HRASLS2	Diffuse astrocytic and oligodendroglial tumor	1
ITGA9--CLASP2	Diffuse astrocytic and oligodendroglial tumor	1
DCHS1--ABTB2	Diffuse astrocytic and oligodendroglial tumor	1
STIM1--DLG1	Diffuse astrocytic and oligodendroglial tumor	1
C11orf95--RELA	Low-grade astrocytic tumor	1
ERC2--RAF1	Low-grade astrocytic tumor	1
HMGA2--NCOR2	Mesenchymal non-meningothelial tumor	1
NCOR2--HMGA2	Mesenchymal non-meningothelial tumor	1
MAST4--MAST4	Ependymal tumor	1
LNX1--RNF216	Diffuse astrocytic and oligodendroglial tumor	1
NFIA--TM2D1	Ependymal tumor	1
NCOR1--DNAH9	Metastatic secondary tumors	1
CHCHD3--EXOC4	Metastatic secondary tumors	1
ZNF451--CPNE5	Metastatic secondary tumors	1
WDR70--CTNND2	Metastatic secondary tumors	1
NRCAM--ZNF532	Low-grade astrocytic tumor	1
TTC39B--TTC39B	Neuronal and mixed neuronal-glial tumor	1
EXOC4--CHCHD3	Diffuse astrocytic and oligodendroglial tumor	1
NEK10--NEK10	Germ cell tumor	1
RAB6A--SRF	Low-grade astrocytic tumor	1
ERC1--EPB41	Embryonal tumor	1
YAP1--FAM118B	Low-grade astrocytic tumor	1
PPP1CB--ALK	Neuronal and mixed neuronal-glial tumor	1
SPDYA--ALK	Neuronal and mixed neuronal-glial tumor	1
BRAF--KIAA1549	Neuronal and mixed neuronal-glial tumor	1
TJP1--UBE3A	Diffuse astrocytic and oligodendroglial tumor	1
CREBBP--SMG1	Diffuse astrocytic and oligodendroglial tumor	1
THADA--THADA	Diffuse astrocytic and oligodendroglial tumor	1
PRKCB--NRCAM	Neuronal and mixed neuronal-glial tumor	1
EWSR1--ATF1	Other tumor	1
ATF1--EWSR1	Other tumor	1
FGF12--CCDC50	Diffuse astrocytic and oligodendroglial tumor	1
CCDC50--FGF12	Diffuse astrocytic and oligodendroglial tumor	1
TNPO2--IER2	Embryonal tumor	1
CRK--MICU2	Diffuse astrocytic and oligodendroglial tumor	1
NETO1--DYM	Diffuse astrocytic and oligodendroglial tumor	1
WASF3--DNAH9	Diffuse astrocytic and oligodendroglial tumor	1
KIF14--SRGAP2	Diffuse astrocytic and oligodendroglial tumor	1
ZC3H11A--CENPF	Diffuse astrocytic and oligodendroglial tumor	1
ZBED6--CENPF	Diffuse astrocytic and oligodendroglial tumor	1
IL1RAPL1--ADAMTS9	Ependymal tumor	1
COL11A1--COL11A1	Low-grade astrocytic tumor	1
ZFAT--WRN	Embryonal tumor	1
IGF1R--TTC23	Diffuse astrocytic and oligodendroglial tumor	1
IGF1R--MEF2A	Diffuse astrocytic and oligodendroglial tumor	1
FBXW7--DCLK2	Diffuse astrocytic and oligodendroglial tumor	1
MARCH1--DCLK2	Diffuse astrocytic and oligodendroglial tumor	1
DAP--CTNND2	Diffuse astrocytic and oligodendroglial tumor	1
NEDD4L--MBP	Diffuse astrocytic and oligodendroglial tumor	1
NCOR2--SCARB1	Meningioma	1
MID1--CC2D2A	Diffuse astrocytic and oligodendroglial tumor	1
PSMB2--PATJ	Diffuse astrocytic and oligodendroglial tumor	1
ECE1--TNFRSF8	Diffuse astrocytic and oligodendroglial tumor	1
SULF2--ZHX3	Diffuse astrocytic and oligodendroglial tumor	1
DCTN1--ALK	Low-grade astrocytic tumor	1
PRKAR1A--PRKCA	Low-grade astrocytic tumor	1
HELZ2--CDH4	Diffuse astrocytic and oligodendroglial tumor	1
TRIM24--ROS1	Diffuse astrocytic and oligodendroglial tumor	1
NTRK2--AFAP1	Low-grade astrocytic tumor	1
FKBP4--ERC1	Diffuse astrocytic and oligodendroglial tumor	1
LRIG3--SOX5	Diffuse astrocytic and oligodendroglial tumor	1
HACE1--BVES	Embryonal tumor	1
C11orf95--RELA	NOS Embryonal tumor	1
RRAS2--INSC	Diffuse astrocytic and oligodendroglial tumor	1
GAB2--SERPING1	Diffuse astrocytic and oligodendroglial tumor	1
ZC3HAV1--CNTNAP2	Diffuse astrocytic and oligodendroglial tumor	1
SARS2--PBX4	Diffuse astrocytic and oligodendroglial tumor	1
NTRK2--CTNND2	Diffuse astrocytic and oligodendroglial tumor	1
SETD1B--GYS1	Diffuse astrocytic and oligodendroglial tumor	1
WNK3--WNK3	Ependymal tumor	1
DDX6--XRRA1	Diffuse astrocytic and oligodendroglial tumor	1
DIP2B--TEAD4	Diffuse astrocytic and oligodendroglial tumor	1
ADNP2--EXOC6	Diffuse astrocytic and oligodendroglial tumor	1
YAP1--MAMLD1	Ependymal tumor	1
NCAM1--CADM1	Embryonal tumor	1
DLD--NRCAM	Embryonal tumor	1
C2CD3--MACROD1	Ependymal tumor	1
FGF14--UBAC2	Ependymal tumor	1
CHD9--PHKB	Ependymal tumor	1
VGLL3--CHD9	Tumor of cranial and paraspinal nerves	1
CHD9--VGLL3	Tumor of cranial and paraspinal nerves	1
GTF2F2--PCDH17	Embryonal tumor	1
ZNF564--PRKACA	Diffuse astrocytic and oligodendroglial tumor	1
RGS2--PTEN	Diffuse astrocytic and oligodendroglial tumor	1
AC008758.1--PRKACA	Diffuse astrocytic and oligodendroglial tumor	1
SHB--PSIP1	Low-grade astrocytic tumor	1
AL138752.2--PSIP1	Low-grade astrocytic tumor	1
E2F6--PDIA6	Diffuse astrocytic and oligodendroglial tumor	1
ASPH--LRBA	Diffuse astrocytic and oligodendroglial tumor	1
EP300--BCOR	Ependymal tumor	1
CREB3L2--TSC22D4	Diffuse astrocytic and oligodendroglial tumor	1
KMT2C--TSC22D4	Diffuse astrocytic and oligodendroglial tumor	1
CABIN1--MIF	Diffuse astrocytic and oligodendroglial tumor	1
CUX1--SSPO	Diffuse astrocytic and oligodendroglial tumor	1
KMT2C--PTPRS	Diffuse astrocytic and oligodendroglial tumor	1
PTPN12--PLXNA4	Diffuse astrocytic and oligodendroglial tumor	1
ASAP1--NDRG1	Tumor of pineal region	1
RNF139--NSMCE2	Tumor of pineal region	1
MTSS1--ZFAT	Tumor of pineal region	1
PATJ--PATJ	Neuronal and mixed neuronal-glial tumor	1
OBSCN--OBSCN	Germ cell tumor	1
TEX11--NONO	Germ cell tumor	1
ZNF704--AC036214.3	Diffuse astrocytic and oligodendroglial tumor	1
VEZT--ANKS1B	Diffuse astrocytic and oligodendroglial tumor	1
SEPT9--SRP68	Diffuse astrocytic and oligodendroglial tumor	1
SNRNP70--AXL	Diffuse astrocytic and oligodendroglial tumor	1
NFATC1--SALL3	Diffuse astrocytic and oligodendroglial tumor	1
RIOK3--TMEM186	Diffuse astrocytic and oligodendroglial tumor	1
WWTR1--LHPP	Diffuse astrocytic and oligodendroglial tumor	1
KIAA1191--SOX30	NOS Embryonal tumor	1
GTF2I--BRAF	Neuronal and mixed neuronal-glial tumor	1
MBP--QKI	Diffuse astrocytic and oligodendroglial tumor	1
YPEL2--PRKAR1A	Diffuse astrocytic and oligodendroglial tumor	1
ABR--YWHAE	Diffuse astrocytic and oligodendroglial tumor	1
DPF3--TLE1	Diffuse astrocytic and oligodendroglial tumor	1
HNRNPD--LIN54	Diffuse astrocytic and oligodendroglial tumor	1
ABR--ANKS1B	Tumor of cranial and paraspinal nerves	1
CCDC144A--USP32	NOS Embryonal tumor	1
PTPRG--PTPRG	Neuronal and mixed neuronal-glial tumor	1
TRRAP--NRXN3	Diffuse astrocytic and oligodendroglial tumor	1
GPHN--FAM19A5	Low-grade astrocytic tumor	1
BCR--FERMT2	Low-grade astrocytic tumor	1
MN1--PATZ1	Low-grade astrocytic tumor	1
PCNX1--MNAT1	Low-grade astrocytic tumor	1
NPAS3--SMARCB1	Low-grade astrocytic tumor	1
CHFR--CHFR	Embryonal tumor	1
