Sample	C11orf95--RELA	EWSR1--FLI1	KIAA1549--BRAF	No_rec_fusion	REV3L--FYN
BS_3X8GAQ2M	0	0	0	1	0
BS_3X9WMZGJ	0	0	0	1	0
BS_3XY76V8T	0	0	0	1	0
BS_3Y0QXZQB	0	0	0	1	0
BS_3Y44RJXS	0	0	0	1	0
BS_3YXGSTJ7	0	0	0	1	0
BS_3Z40EZHD	0	0	0	1	0
BS_3ZASRA3A	0	0	0	1	0
BS_3ZMH8578	0	0	0	1	0
BS_401R3KV0	0	0	0	1	0
BS_402W79TS	0	0	0	1	0
BS_408757Q1	0	0	0	1	0
BS_40FX713C	0	0	0	1	0
BS_40MP5BWR	0	0	0	1	0
BS_40QCA1MC	0	0	0	1	0
BS_40SJZGT2	0	0	0	1	0
BS_41SWNWAG	0	0	0	1	0
BS_41TD9XET	0	0	0	1	0
BS_42A66SH4	0	0	0	1	0
BS_42DY6WS7	0	0	1	0	0
BS_42Y3YANN	0	0	1	0	0
BS_43F0DV8Y	0	0	0	1	0
BS_44A3ES23	0	0	0	1	0
BS_44WJZ1HP	0	0	0	1	0
BS_44WMSY17	0	0	0	1	0
BS_45913DTA	0	0	0	1	0
BS_45J79YTF	0	0	0	1	0
BS_45N760PZ	0	0	0	1	0
BS_45VHDFRD	0	0	0	1	0
BS_46BZ2NNN	0	0	0	1	0
BS_470DYRJQ	0	0	1	0	0
BS_47454JJ6	0	0	0	1	0
BS_475X9707	0	0	0	1	0
BS_478TN841	0	0	0	1	0
BS_479S95Q6	0	0	0	1	0
BS_47SJZ3PH	0	0	0	1	0
BS_47X3VAM0	0	0	0	1	0
BS_49852ZBH	0	0	1	0	0
BS_49BQS7Z6	0	0	0	1	0
BS_49CJNZ06	0	0	0	1	0
BS_49F4RAA4	0	0	0	1	0
BS_49FQXT2E	0	0	0	1	0
BS_49JD1V3S	0	0	0	1	0
BS_49VCQD19	0	0	0	1	0
BS_49Z8WJP2	0	0	0	1	0
BS_4A45GGSW	0	0	0	1	0
BS_4AM9C504	0	0	0	1	0
BS_4B0BAVTX	0	0	0	1	0
BS_4BWB0FA0	0	0	0	1	0
BS_4C4MZ4NT	0	0	1	0	0
BS_4CP4T22V	0	0	0	1	0
BS_4CVBQP6X	0	0	0	1	0
BS_4D9DD103	0	0	0	1	0
