samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_A3EV6FXK	WGS	2719487222	514	0.1890062199380321
BS_A4KYP5H0	WGS	2719487222	600	0.22062982872143827
BS_A70G7S2W	WGS	2719487222	664	0.24416367711839168
BS_A94A7EJ4	WGS	2719487222	1080	0.39713369169858886
BS_ABENB1H2	WGS	2719487222	210	0.07722044005250339
BS_ACE6QKVF	WGS	2719487222	334	0.12281727132160063
BS_AEMRNSQX	WGS	2719487222	208	0.07648500729009859
BS_AG0BZN6F	WGS	2719487222	364	0.13384876275767255
BS_AG6M7TJE	WGS	2719487222	546	0.20077314413650882
BS_AGAW7M7W	WGS	2719487222	496	0.18238732507638897
BS_AGGH3QGS	WGS	2719487222	566	0.20812747176055676
BS_AHAXPFG3	WGS	2719487222	638	0.23460305120712935
BS_AJ0T7DJ7	WGS	2719487222	316	0.11619837645995748
BS_AJAH8KG5	WGS	2719487222	2526	0.9288515789172551
BS_APAQ2X2S	WGS	2719487222	786	0.2890250756250841
BS_AQECMDPP	WGS	2719487222	198	0.07280784347807463
BS_AR2BH0Z4	WGS	2719487222	354	0.1301715989456486
BS_ARE4EM81	WGS	2719487222	768	0.282406180763441
BS_AWV1EDYB	WGS	2719487222	722	0.26549122722813073
BS_AXM96K20	WGS	2719487222	508	0.18679992165081774
BS_AXW0XBH8	WGS	2719487222	302	0.11105034712312392
BS_AYPBAHJ6	WGS	2719487222	2138	0.786177623010725
BS_B4P1NP87	WGS	2719487222	576	0.21180463557258072
BS_B558FJXC	WGS	2719487222	296	0.10884404883590955
BS_B5Z2XV03	WGS	2719487222	536	0.19709598032448486
BS_B6K0N6HS	WGS	2719487222	658	0.2419573788311773
BS_B73JK7T1	WGS	2719487222	266	0.09781255739983763
BS_B91XGSA5	WGS	2719487222	580	0.21327550109739032
BS_B9QP40ER	WGS	2719487222	582	0.2140109338597951
BS_BA0M71QZ	WGS	2719487222	470	0.17282669916512663
BS_BBCM52QE	WGS	2719487222	728	0.2676975255153451
BS_BBTT7DH4	WGS	2719487222	722	0.26549122722813073
BS_BD4RQ1G0	WGS	2719487222	316	0.11619837645995748
BS_BFDEZK1C	WGS	2719487222	234	0.08604563320136092
BS_BQ81D2BP	WGS	2719487222	564	0.20739203899815198
BS_BQWMQM2Y	WGS	2719487222	998	0.3669809484399923
BS_BWZTMWTM	WGS	2719487222	660	0.24269281159358208
BS_BX8AR74E	WGS	2719487222	528	0.19415424927486566
BS_BYJDRXMK	WGS	2719487222	440	0.16179520772905473
BS_BZ4GKDP4	WGS	2719487222	300	0.11031491436071914
BS_BZWM455T	WGS	2719487222	384	0.1412030903817205
BS_C0YDDQKB	WGS	2719487222	626	0.23019045463270058
BS_C19DFVR5	WGS	2719487222	1694	0.6229115497568607
BS_C1RRDNF5	WGS	2719487222	906	0.3331510413693718
BS_C2NH5FDT	WGS	2719487222	610	0.22430699253346223
BS_C3X4AEK5	WGS	2719487222	444	0.1632660732538643
BS_C6GBYR17	WGS	2719487222	966	0.3552140242415156
BS_C6NB914B	WGS	2719487222	282	0.10369601949907599
BS_C9TNGEA0	WGS	2719487222	244	0.0897227970133849
BS_CBMAWSAR	WGS	2719487222	1712	0.6295304446185038
BS_CDKC1E2B	WGS	2719487222	522	0.1919479509876513
BS_CFPWSZB5	WGS	2719487222	678	0.24931170645522524
BS_CHAFNK64	WGS	2719487222	268	0.09854799016224243
BS_CK7CPM73	WGS	2719487222	558	0.2051857407109376
BS_CKY2TTXG	WGS	2719487222	1892	0.6957193932349354
BS_CP435MAC	WGS	2719487222	516	0.1897416527004369
BS_CPYV7AHD	WGS	2719487222	224	0.08236846938933695
BS_CPZZR2R7	WGS	2719487222	380	0.1397322248569109
BS_CQ8C6X4X	WGS	2719487222	346	0.12722986789602939
BS_CSY11X7E	WGS	2719487222	382	0.1404676576193157
BS_CWQ35N2K	WGS	2719487222	956	0.3515368604294916
BS_CXCKHP3Z	WGS	2719487222	426	0.15664717839222117
BS_CXDKK6KS	WGS	2719487222	638	0.23460305120712935
BS_D2BZ25FW	WGS	2719487222	554	0.203714875186128
BS_D368BNRD	WGS	2719487222	1126	0.4140486452338991
BS_D3KVGMRJ	WGS	2719487222	408	0.150028283530578
BS_D3XVXF05	WGS	2719487222	324	0.11914010750957667
BS_D3ZV6MMY	WGS	2719487222	776	0.28534791181306013
BS_D59VEERR	WGS	2719487222	294	0.10810861607350475
BS_D6XHKZDZ	WGS	2719487222	362	0.13311332999526776
BS_DAEM3WRX	WGS	2719487222	468	0.17209126640272185
BS_DE26D072	WGS	2719487222	302	0.11105034712312392
BS_DGG7YE8R	WGS	2719487222	544	0.20003771137410403
BS_DH86PF5A	WGS	2719487222	452	0.1662078043034835
BS_DJEVCH34	WGS	2719487222	442	0.16253064049145952
BS_DT92H1MJ	WGS	2719487222	484	0.1779747285019602
BS_DVQYQSVW	WGS	2719487222	572	0.21033377004777115
BS_DW1CYEXP	WGS	2719487222	654	0.2404865133063677
BS_E0AAK0V0	WGS	2719487222	644	0.23680934949434373
BS_E0S2Y0TS	WGS	2719487222	3218	1.183311314709314
BS_E1VJCEWB	WGS	2719487222	396	0.14561568695614927
BS_E2RXQ3JW	WGS	2719487222	364	0.13384876275767255
BS_E42SSQGJ	WGS	2719487222	636	0.23386761844472456
BS_E5B2YZJH	WGS	2719487222	400	0.14708655248095884
BS_E5H6CFYT	WGS	2719487222	292	0.10737318331109995
BS_E7HEQZ1K	WGS	2719487222	338	0.12428813684641023
BS_E9M7TDB6	WGS	2719487222	630	0.23166132015751018
BS_EDZCAHR2	WGS	2719487222	908	0.3338864741317766
BS_EHBH0NYX	WGS	2719487222	250	0.09192909530059927
BS_EJ1H9PZY	WGS	2719487222	908	0.3338864741317766
BS_EJV0N3BX	WGS	2719487222	1926	0.7082217501958168
BS_EKR4NSNW	WGS	2719487222	712	0.26181406341610675
