samples	experimental_strategy	genome_size	breaks_count	breaks_density
BS_6FYTRKJJ	WGS	2719487222	82	0.030152743258596564
BS_6GN1FGTB	WGS	2719487222	8	0.0029417310496191768
BS_6GTKRGNK	WGS	2719487222	4	0.0014708655248095884
BS_6GV08HTE	WGS	2719487222	2	7.354327624047942e-4
BS_6HE8H9HY	WGS	2719487222	4	0.0014708655248095884
BS_6JBE0947	WGS	2719487222	0	0
BS_6KEYD1S4	WGS	2719487222	2	7.354327624047942e-4
BS_6NPSZJ4C	WGS	2719487222	0	0
BS_6Q9PMNWY	WGS	2719487222	4	0.0014708655248095884
BS_6SA5B35V	WGS	2719487222	10	0.003677163812023971
BS_6T87HSPX	WGS	2719487222	38	0.01397322248569109
BS_6TMPZKSZ	WGS	2719487222	10	0.003677163812023971
BS_6VKKMM6M	WGS	2719487222	4	0.0014708655248095884
BS_6X2BQQGE	WGS	2719487222	90	0.033094474308215736
BS_6X3Z0AVR	WGS	2719487222	4	0.0014708655248095884
BS_6XHDR1WS	WGS	2719487222	8	0.0029417310496191768
BS_6XP91JM2	WGS	2719487222	2	7.354327624047942e-4
BS_6Y7FX7QJ	WGS	2719487222	4	0.0014708655248095884
BS_6Z213H2V	WGS	2719487222	14	0.0051480293368335595
BS_6Z4WHYDG	WGS	2719487222	0	0
BS_6ZP2KRPW	WGS	2719487222	22	0.008089760386452736
BS_70FKSKM9	WGS	2719487222	2	7.354327624047942e-4
BS_71HPXFE7	WGS	2719487222	8	0.0029417310496191768
BS_742CDKAS	WGS	2719487222	0	0
BS_74A1TB03	WGS	2719487222	0	0
BS_75VHXMZN	WGS	2719487222	2	7.354327624047942e-4
BS_78TQS4Y3	WGS	2719487222	2	7.354327624047942e-4
BS_797V83YM	WGS	2719487222	0	0
BS_79NQJZ09	WGS	2719487222	0	0
BS_79SYEHY3	WGS	2719487222	0	0
BS_7BNQBB26	WGS	2719487222	0	0
BS_7F07M7JG	WGS	2719487222	0	0
BS_7GKF6M85	WGS	2719487222	4	0.0014708655248095884
BS_7HC4W4SA	WGS	2719487222	4	0.0014708655248095884
BS_7M5272WN	WGS	2719487222	16	0.0058834620992383535
BS_7M6F9GQD	WGS	2719487222	58	0.02132755010973903
BS_7M7JNG00	WGS	2719487222	34	0.012502356960881502
BS_7PF3C1P7	WGS	2719487222	0	0
BS_7PKPNFFK	WGS	2719487222	56	0.020592117347334238
BS_7RQCH5Y7	WGS	2719487222	30	0.011031491436071914
BS_7XZNDFV4	WGS	2719487222	64	0.023533848396953414
BS_7Y5E5KQW	WGS	2719487222	0	0
BS_80078QDG	WGS	2719487222	106	0.038977936407454096
BS_80X7AVCP	WGS	2719487222	8	0.0029417310496191768
BS_8226HD4X	WGS	2719487222	0	0
BS_823V5X6Z	WGS	2719487222	116	0.04265510021947806
BS_83MSWR59	WGS	2719487222	138	0.0507448606059308
BS_84AQCZE4	WGS	2719487222	14	0.0051480293368335595
BS_853PNV7P	WGS	2719487222	0	0
BS_859AV1DB	WGS	2719487222	2	7.354327624047942e-4
BS_85Q5P8GF	WGS	2719487222	36	0.013237789723286295
BS_85Y70BHE	WGS	2719487222	0	0
BS_86QSEFS7	WGS	2719487222	60	0.022062982872143828
BS_872Q3FK2	WGS	2719487222	54	0.019856684584929445
BS_886M7JMG	WGS	2719487222	0	0
BS_895FJ34T	WGS	2719487222	8	0.0029417310496191768
BS_89RCN9PF	WGS	2719487222	0	0
BS_8AY2GM4G	WGS	2719487222	48	0.01765038629771506
BS_8B1YF57H	WGS	2719487222	2	7.354327624047942e-4
BS_8BD8WD38	WGS	2719487222	0	0
BS_8BM1WTGR	WGS	2719487222	4	0.0014708655248095884
BS_8BS10XE2	WGS	2719487222	0	0
BS_8CA214YR	WGS	2719487222	6	0.0022062982872143827
BS_8D52JK1Q	WGS	2719487222	158	0.05809918822997874
BS_8EB1S8MK	WGS	2719487222	4	0.0014708655248095884
BS_8FSJDG2T	WGS	2719487222	28	0.010296058673667119
BS_8H2XX24V	WGS	2719487222	0	0
BS_8JFMP1T1	WGS	2719487222	8	0.0029417310496191768
BS_8Q8CAY84	WGS	2719487222	2	7.354327624047942e-4
BS_8Q8N6AHW	WGS	2719487222	0	0
BS_8S2CZBA6	WGS	2719487222	0	0
BS_8SETK1J4	WGS	2719487222	42	0.015444088010500678
BS_8SYN7GXG	WGS	2719487222	82	0.030152743258596564
BS_8TFBNHT0	WGS	2719487222	8	0.0029417310496191768
BS_8W0FNBWF	WGS	2719487222	4	0.0014708655248095884
BS_8WJR4AA3	WGS	2719487222	0	0
BS_8YQGSMDK	WGS	2719487222	34	0.012502356960881502
BS_922YMFYK	WGS	2719487222	0	0
BS_928HWFFM	WGS	2719487222	44	0.01617952077290547
BS_93B38HPS	WGS	2719487222	26	0.009560625911262324
BS_93BV8AY9	WGS	2719487222	8	0.0029417310496191768
BS_947CK40E	WGS	2719487222	0	0
BS_94AP61Q5	WGS	2719487222	0	0
BS_95RRF4NE	WGS	2719487222	2	7.354327624047942e-4
BS_969K7ZM1	WGS	2719487222	0	0
BS_96S0VQBN	WGS	2719487222	0	0
BS_99PPRCW4	WGS	2719487222	6	0.0022062982872143827
BS_9BF58P80	WGS	2719487222	82	0.030152743258596564
BS_9BGCH82S	WGS	2719487222	24	0.00882519314885753
BS_9BN45DFK	WGS	2719487222	0	0
BS_9CMJ3QF6	WGS	2719487222	6	0.0022062982872143827
BS_9D39MFHT	WGS	2719487222	20	0.007354327624047942
BS_9DM8H1RX	WGS	2719487222	NA	NA
BS_9E632VPJ	WGS	2719487222	18	0.006618894861643148
BS_9E6Q11G2	WGS	2719487222	0	0
BS_9F2J6VS1	WGS	2719487222	6	0.0022062982872143827
BS_9G7ETYHR	WGS	2719487222	2	7.354327624047942e-4
BS_9GJHMA3J	WGS	2719487222	0	0
BS_9GN1QA3Q	WGS	2719487222	10	0.003677163812023971
BS_9GSWPZ44	WGS	2719487222	70	0.025740146684167797
BS_9HDPJT21	WGS	2719487222	18	0.006618894861643148
BS_9HEMB7RK	WGS	2719487222	14	0.0051480293368335595
BS_9JVGXA2W	WGS	2719487222	0	0
BS_9KDA3HG6	WGS	2719487222	4	0.0014708655248095884
BS_9M49SGAQ	WGS	2719487222	0	0
BS_9N3B3HZB	WGS	2719487222	68	0.025004713921763004
BS_9NF39QAW	WGS	2719487222	20	0.007354327624047942
BS_9P4NDTKJ	WGS	2719487222	NA	NA
BS_9PQPZPGM	WGS	2719487222	16	0.0058834620992383535
BS_9QMVZ4C0	WGS	2719487222	6	0.0022062982872143827
BS_9R82A3VT	WGS	2719487222	0	0
BS_9SVMVJ45	WGS	2719487222	14	0.0051480293368335595
BS_9W6FK6X4	WGS	2719487222	0	0
BS_9X9E86DY	WGS	2719487222	0	0
BS_9YPJANGX	WGS	2719487222	2	7.354327624047942e-4
BS_9ZFXXJPK	WGS	2719487222	24	0.00882519314885753
BS_A1DV9T7G	WGS	2719487222	NA	NA
BS_A3EV6FXK	WGS	2719487222	86	0.03162360878340615
BS_A4KYP5H0	WGS	2719487222	94	0.03456533983302533
BS_A70G7S2W	WGS	2719487222	46	0.016914953535310268
BS_A94A7EJ4	WGS	2719487222	0	0
BS_A9S5HT6P	WGS	2719487222	NA	NA
BS_ABENB1H2	WGS	2719487222	14	0.0051480293368335595
BS_ABZ3BK38	WGS	2719487222	28	0.010296058673667119
BS_ACE6QKVF	WGS	2719487222	0	0
BS_ACTR13BQ	WGS	2719487222	2	7.354327624047942e-4
BS_AEMRNSQX	WGS	2719487222	14	0.0051480293368335595
BS_AF5D41PD	WGS	2719487222	0	0
BS_AFAHY6HP	WGS	2719487222	NA	NA
BS_AFBPM6CN	WGS	2719487222	0	0
BS_AG0BZN6F	WGS	2719487222	34	0.012502356960881502
BS_AG6M7TJE	WGS	2719487222	66	0.024269281159358207
BS_AGAW7M7W	WGS	2719487222	20	0.007354327624047942
BS_AGD2ATY1	WGS	2719487222	0	0
BS_AGGH3QGS	WGS	2719487222	2	7.354327624047942e-4
BS_AHAXPFG3	WGS	2719487222	34	0.012502356960881502
BS_AHT9PKVE	WGS	2719487222	NA	NA
BS_AJ0T7DJ7	WGS	2719487222	0	0
BS_AJAH8KG5	WGS	2719487222	20	0.007354327624047942
BS_AJFG2QDD	WGS	2719487222	0	0
BS_AK9BV52G	WGS	2719487222	0	0
BS_AM2TZPNS	WGS	2719487222	NA	NA
BS_APAQ2X2S	WGS	2719487222	4	0.0014708655248095884
BS_AQECMDPP	WGS	2719487222	4	0.0014708655248095884
BS_AQMKA8NC	WGS	2719487222	6	0.0022062982872143827
BS_AQQY8HMR	WGS	2719487222	2	7.354327624047942e-4
BS_AR2BH0Z4	WGS	2719487222	2	7.354327624047942e-4
BS_ARE4EM81	WGS	2719487222	24	0.00882519314885753
BS_ASXY97FK	WGS	2719487222	0	0
BS_AVS4DSZW	WGS	2719487222	0	0
BS_AWDQEKK1	WGS	2719487222	0	0
BS_AWV1EDYB	WGS	2719487222	22	0.008089760386452736
BS_AXM96K20	WGS	2719487222	2	7.354327624047942e-4
BS_AXW0XBH8	WGS	2719487222	4	0.0014708655248095884
BS_AYPBAHJ6	WGS	2719487222	0	0
BS_B1X2SB4P	WGS	2719487222	14	0.0051480293368335595
BS_B3RH9V17	WGS	2719487222	0	0
BS_B4DY7ET3	WGS	2719487222	4	0.0014708655248095884
BS_B4P1NP87	WGS	2719487222	20	0.007354327624047942
BS_B558FJXC	WGS	2719487222	0	0
BS_B5Z2XV03	WGS	2719487222	4	0.0014708655248095884
BS_B6K0N6HS	WGS	2719487222	28	0.010296058673667119
BS_B6KCJF2B	WGS	2719487222	20	0.007354327624047942
BS_B73JK7T1	WGS	2719487222	28	0.010296058673667119
BS_B91XGSA5	WGS	2719487222	0	0
BS_B94G701Q	WGS	2719487222	0	0
BS_B9QP40ER	WGS	2719487222	84	0.030888176021001357
BS_BA0M71QZ	WGS	2719487222	48	0.01765038629771506
BS_BAVWP5JG	WGS	2719487222	0	0
BS_BBCM52QE	WGS	2719487222	42	0.015444088010500678
BS_BBHFKBE7	WGS	2719487222	0	0
