gene_id	gene_symbol
ENSG00000181908.5	AP003774.1
ENSG00000181915.4	ADO
ENSG00000181924.6	COA4
ENSG00000181927.3	OR4P4
ENSG00000181929.11	PRKAG1
ENSG00000181938.13	GINS3
ENSG00000181939.3	OR4C15
ENSG00000181943.5	OR4A21P
ENSG00000181950.3	OR4A13P
ENSG00000181958.4	OR4A15
ENSG00000181961.4	OR4A16
ENSG00000181963.5	OR52K2
ENSG00000181965.5	NEUROG1
ENSG00000181977.3	PYY3
ENSG00000181982.18	CCDC149
ENSG00000181984.11	GOLGA8CP
ENSG00000181991.15	MRPS11
ENSG00000181995.11	LINC00301
ENSG00000181997.8	AQP7P2
ENSG00000182000.9	AC117395.1
ENSG00000182004.12	SNRPE
ENSG00000182010.10	RTKN2
ENSG00000182013.17	PNMA8A
ENSG00000182021.10	AL591379.1
ENSG00000182022.17	CHST15
ENSG00000182035.11	ADIG
ENSG00000182040.8	USH1G
ENSG00000182048.11	TRPC2
ENSG00000182050.13	MGAT4C
ENSG00000182053.12	TRIM49B
ENSG00000182054.9	IDH2
ENSG00000182057.4	OGFRP1
ENSG00000182070.5	OR52A1
ENSG00000182077.10	PTCHD3
ENSG00000182083.7	OR6B2
ENSG00000182087.12	TMEM259
ENSG00000182093.14	WRB
ENSG00000182095.14	TNRC18
ENSG00000182103.4	FAM181B
ENSG00000182107.6	TMEM30B
ENSG00000182108.9	DEXI
ENSG00000182109.7	AL365277.1
ENSG00000182111.8	ZNF716
ENSG00000182117.5	NOP10
ENSG00000182118.7	FAM89A
ENSG00000182132.13	KCNIP1
ENSG00000182134.15	TDRKH
ENSG00000182141.10	ZNF708
ENSG00000182149.20	IST1
ENSG00000182150.15	ERCC6L2
ENSG00000182154.7	MRPL41
ENSG00000182156.9	ENPP7
ENSG00000182158.14	CREB3L2
ENSG00000182162.10	P2RY8
ENSG00000182165.17	TP53TG1
ENSG00000182168.14	UNC5C
ENSG00000182170.3	MRGPRG
ENSG00000182173.12	TSEN54
ENSG00000182175.13	RGMA
ENSG00000182177.13	ASB18
ENSG00000182179.12	UBA7
ENSG00000182180.13	MRPS16
ENSG00000182183.14	FAM159A
ENSG00000182185.18	RAD51B
ENSG00000182187.3	CRYGB
ENSG00000182195.7	LDOC1
ENSG00000182196.13	ARL6IP4
ENSG00000182197.10	EXT1
ENSG00000182199.10	SHMT2
ENSG00000182208.13	MOB2
ENSG00000182218.9	HHIPL1
ENSG00000182220.14	ATP6AP2
ENSG00000182223.7	ZAR1
ENSG00000182224.11	CYB5D1
ENSG00000182230.11	FAM153B
ENSG00000182240.15	BACE2
ENSG00000182247.9	UBE2E2
ENSG00000182253.14	SYNM
ENSG00000182255.6	KCNA4
ENSG00000182256.12	GABRG3
ENSG00000182257.6	PRR34
ENSG00000182261.3	NLRP10
ENSG00000182263.13	FIGN
ENSG00000182264.8	IZUMO1
ENSG00000182271.12	TMIGD1
ENSG00000182272.11	B4GALNT4
ENSG00000182287.14	AP1S2
ENSG00000182307.12	C8orf33
ENSG00000182308.6	DCAF4L1
ENSG00000182310.13	SPACA6
ENSG00000182315.9	MBD3L3
ENSG00000182318.5	ZSCAN22
ENSG00000182324.6	KCNJ14
ENSG00000182325.10	FBXL6
ENSG00000182326.14	C1S
ENSG00000182327.7	GLTPD2
ENSG00000182329.12	KIAA2012
ENSG00000182330.10	PRAMEF8
ENSG00000182333.14	LIPF
ENSG00000182334.2	OR5P3
ENSG00000182346.18	DAOA
ENSG00000182347.10	PDSS1P1
ENSG00000182348.6	ZNF804B
ENSG00000182351.7	CRIP1P4
ENSG00000182352.8	C17orf77
ENSG00000182359.14	KBTBD3
ENSG00000182362.13	YBEY
ENSG00000182365.4	OR5F2P
ENSG00000182366.9	FAM87A
ENSG00000182372.9	CLN8
ENSG00000182376.2	AC138028.1
ENSG00000182378.13	PLCXD1
ENSG00000182379.9	NXPH4
ENSG00000182383.8	RPL27AP5
ENSG00000182389.19	CACNB4
ENSG00000182393.2	IFNL1
ENSG00000182397.14	DNM1P46
ENSG00000182400.14	TRAPPC6B
ENSG00000182405.5	PGBD4
ENSG00000182415.9	CDY2A
ENSG00000182446.13	NPLOC4
ENSG00000182447.4	OTOL1
ENSG00000182450.12	KCNK4
ENSG00000182459.4	TEX19
ENSG00000182463.15	TSHZ2
ENSG00000182472.8	CAPN12
ENSG00000182473.21	EXOC7
ENSG00000182477.5	OR2B8P
ENSG00000182481.8	KPNA2
ENSG00000182484.15	WASH6P
ENSG00000182487.12	NCF1B
ENSG00000182489.8	XKRX
ENSG00000182492.15	BGN
ENSG00000182504.10	CEP97
ENSG00000182508.13	LHFPL1
ENSG00000182511.11	FES
ENSG00000182512.4	GLRX5
ENSG00000182518.13	FAM104B
ENSG00000182521.5	TBPL2
ENSG00000182531.7	OR7E115P
ENSG00000182533.6	CAV3
ENSG00000182534.13	MXRA7
ENSG00000182541.17	LIMK2
ENSG00000182544.8	MFSD5
ENSG00000182545.6	RNASE10
ENSG00000182551.13	ADI1
ENSG00000182552.14	RWDD4
ENSG00000182557.7	SPNS3
ENSG00000182565.8	OR4C2P
ENSG00000182566.13	CLEC4G
ENSG00000182568.16	SATB1
ENSG00000182574.8	Z97985.1
ENSG00000182575.7	NXPH3
ENSG00000182578.13	CSF1R
ENSG00000182580.2	EPHB3
ENSG00000182583.12	VCX
ENSG00000182584.4	ACTL10
ENSG00000182585.9	EPGN
ENSG00000182586.8	LINC00334
ENSG00000182591.5	KRTAP11-1
ENSG00000182600.9	C2orf82
ENSG00000182601.6	HS3ST4
ENSG00000182606.14	TRAK1
ENSG00000182612.10	TSPAN10
ENSG00000182613.2	OR2V2
ENSG00000182621.17	PLCB1
ENSG00000182625.3	AC091046.1
ENSG00000182628.12	SKA2
ENSG00000182631.6	RXFP3
ENSG00000182632.15	CCNYL2
ENSG00000182634.8	OR10G7
ENSG00000182636.5	NDN
ENSG00000182645.5	CCDC172
ENSG00000182648.11	LINC01006
ENSG00000182652.2	OR4Q3
ENSG00000182667.14	NTM
ENSG00000182670.13	TTC3
ENSG00000182674.5	KCNB2
ENSG00000182676.4	PPP1R27
ENSG00000182685.7	BRICD5
ENSG00000182687.3	GALR2
ENSG00000182698.11	RESP18
ENSG00000182700.4	IGIP
ENSG00000182704.7	TSKU
ENSG00000182707.4	FXYD6P3
ENSG00000182712.15	CMC4
ENSG00000182718.16	ANXA2
ENSG00000182722.5	SEPHS1P1
ENSG00000182732.16	RGS6
ENSG00000182742.5	HOXB4
ENSG00000182747.4	SLC35D3
ENSG00000182749.5	PAQR7
ENSG00000182752.9	PAPPA
ENSG00000182759.3	MAFA
ENSG00000182768.8	NGRN
ENSG00000182771.18	GRID1
ENSG00000182774.10	RPS17
ENSG00000182776.4	AC239585.1
ENSG00000182782.7	HCAR2
ENSG00000182783.5	OR2T29
ENSG00000182791.4	CCDC87
ENSG00000182793.11	GSTA5
ENSG00000182795.12	C1orf116
ENSG00000182796.13	TMEM198B
ENSG00000182798.10	MAGEB17
ENSG00000182809.10	CRIP2
ENSG00000182810.6	DDX28
ENSG00000182814.7	FUNDC2P2
ENSG00000182816.8	KRTAP13-2
ENSG00000182824.7	LINC01662
ENSG00000182827.8	ACBD3
ENSG00000182831.11	C16orf72
ENSG00000182836.9	PLCXD3
ENSG00000182841.12	RRP7BP
ENSG00000182853.11	VMO1
ENSG00000182854.8	OR4F15
ENSG00000182858.13	ALG12
ENSG00000182866.16	LCK
ENSG00000182870.12	GALNT9
ENSG00000182871.14	COL18A1
ENSG00000182872.15	RBM10
ENSG00000182873.5	PRKCZ-AS1
ENSG00000182885.16	ADGRG3
ENSG00000182888.5	AC007685.1
ENSG00000182890.4	GLUD2
ENSG00000182896.12	TMEM95
ENSG00000182898.3	TCHHL1
ENSG00000182899.14	RPL35A
ENSG00000182901.16	RGS7
ENSG00000182902.13	SLC25A18
ENSG00000182903.15	ZNF721
ENSG00000182912.6	TSPEAR-AS2
ENSG00000182916.7	TCEAL7
ENSG00000182919.14	C11orf54
ENSG00000182921.9	CCDC75P1
ENSG00000182923.16	CEP63
ENSG00000182931.9	WFDC10B
ENSG00000182934.11	SRPRA
ENSG00000182938.4	OTOP3
ENSG00000182944.17	EWSR1
ENSG00000182950.2	ODF3L1
ENSG00000182952.4	HMGN4
ENSG00000182957.15	SPATA13
ENSG00000182963.9	GJC1
ENSG00000182965.6	NPM1P14
ENSG00000182968.4	SOX1
ENSG00000182973.18	CNOT10
ENSG00000182974.3	AC135068.1
ENSG00000182979.17	MTA1
ENSG00000182983.14	ZNF662
ENSG00000182985.17	CADM1
ENSG00000182986.12	ZNF320
ENSG00000182993.3	C12orf60
ENSG00000183010.16	PYCR1
ENSG00000183011.13	NAA38
ENSG00000183018.8	SPNS2
ENSG00000183019.7	MCEMP1
ENSG00000183020.13	AP2A2
ENSG00000183022.5	TPM3P8
ENSG00000183023.18	SLC8A1
ENSG00000183024.3	OR1G1
ENSG00000183032.11	SLC25A21
ENSG00000183034.12	OTOP2
ENSG00000183035.12	CYLC1
ENSG00000183036.10	PCP4
ENSG00000183044.11	ABAT
ENSG00000183048.11	SLC25A10
ENSG00000183049.12	CAMK1D
ENSG00000183054.11	RGPD6
ENSG00000183055.5	FAM133CP
ENSG00000183060.15	LYSMD4
ENSG00000183066.14	WBP2NL
ENSG00000183067.5	IGSF5
ENSG00000183072.9	NKX2-5
ENSG00000183077.15	AFMID
ENSG00000183087.14	GAS6
ENSG00000183090.5	FREM3
ENSG00000183091.19	NEB
ENSG00000183092.16	BEGAIN
ENSG00000183098.10	GPC6
ENSG00000183111.11	ARHGEF37
ENSG00000183114.7	FAM43B
ENSG00000183117.18	CSMD1
ENSG00000183122.5	OR2A3P
ENSG00000183128.7	CALHM3
ENSG00000183134.4	PTGDR2
ENSG00000183137.14	CEP57L1
ENSG00000183145.8	RIPPLY3
ENSG00000183146.4	PRORY
ENSG00000183148.6	ANKRD20A2
ENSG00000183150.7	GPR19
ENSG00000183153.6	GJD3
ENSG00000183154.1	AC138356.1
ENSG00000183155.4	RABIF
ENSG00000183160.8	TMEM119
ENSG00000183161.4	FANCF
ENSG00000183166.10	CALN1
ENSG00000183169.6	POM121L1P
ENSG00000183171.5	BX322650.1
ENSG00000183172.8	SMDT1
ENSG00000183185.9	GABRR3
ENSG00000183186.7	C2CD4C
ENSG00000183196.8	CHST6
ENSG00000183199.6	AC093768.1
ENSG00000183206.17	POTEC
ENSG00000183207.13	RUVBL2
ENSG00000183208.12	GDPGP1
ENSG00000183230.16	CTNNA3
ENSG00000183239.5	AL109615.1
ENSG00000183242.11	WT1-AS
ENSG00000183246.6	RIMBP3C
ENSG00000183248.11	PRR36
ENSG00000183249.8	NF1P3
ENSG00000183250.11	LINC01547
ENSG00000183251.4	OR51B4
ENSG00000183255.11	PTTG1IP
ENSG00000183258.11	DDX41
ENSG00000183260.7	ABHD16B
ENSG00000183269.5	OR52E8
ENSG00000183273.6	CCDC60
ENSG00000183281.14	PLGLB1
ENSG00000183283.15	DAZAP2
ENSG00000183287.13	CCBE1
ENSG00000183291.15	SELENOF
ENSG00000183292.12	TISP43
ENSG00000183298.5	RPSAP19
ENSG00000183303.2	OR5P2
ENSG00000183304.10	FAM9A
ENSG00000183305.13	MAGEA2B
ENSG00000183307.3	TMEM121B
ENSG00000183308.6	AC005037.1
ENSG00000183309.11	ZNF623
ENSG00000183310.3	OR2T34
ENSG00000183313.4	OR52L1
ENSG00000183317.16	EPHA10
ENSG00000183318.11	SPDYE4
ENSG00000183323.12	CCDC125
ENSG00000183324.10	REC114
ENSG00000183336.8	BOLA2
ENSG00000183337.16	BCOR
ENSG00000183340.6	JRKL
ENSG00000183346.6	C10orf107
ENSG00000183347.14	GBP6
ENSG00000183354.11	KIAA2026
ENSG00000183378.11	OVCH2
ENSG00000183379.8	SYNDIG1L
ENSG00000183385.9	TTTY8
ENSG00000183386.9	FHL3
ENSG00000183389.5	OR56A4
ENSG00000183395.4	PMCH
ENSG00000183396.3	TMEM89
ENSG00000183397.5	C19orf71
ENSG00000183401.11	CCDC159
ENSG00000183421.11	RIPK4
ENSG00000183423.11	LRIT3
ENSG00000183426.16	NPIPA1
ENSG00000183431.11	SF3A3
ENSG00000183432.6	ZBTB8OSP1
ENSG00000183434.9	TFDP3
ENSG00000183439.7	TRIM61
ENSG00000183444.10	OR7E38P
ENSG00000183454.16	GRIN2A
ENSG00000183458.13	AC138932.1
ENSG00000183463.5	URAD
ENSG00000183470.9	FLJ40288
ENSG00000183474.15	GTF2H2C
ENSG00000183475.12	ASB7
ENSG00000183476.12	SH2D7
ENSG00000183479.12	TREX2
ENSG00000183484.11	GPR132
ENSG00000183486.12	MX2
ENSG00000183495.13	EP400
ENSG00000183496.5	MEX3B
ENSG00000183506.17	PI4KAP2
ENSG00000183508.4	FAM46C
ENSG00000183513.8	COA5
ENSG00000183514.4	TDGF1P2
ENSG00000183520.11	UTP11
ENSG00000183527.11	PSMG1
ENSG00000183530.13	PRR14L
ENSG00000183535.9	COL18A1-AS1
ENSG00000183542.5	KLRC4
ENSG00000183549.10	ACSM5
ENSG00000183559.11	C10orf120
ENSG00000183560.9	IZUMO1R
ENSG00000183562.3	AC131971.1
ENSG00000183566.10	BPIFA4P
ENSG00000183569.17	SERHL2
ENSG00000183570.16	PCBP3
ENSG00000183571.10	PGPEP1L
ENSG00000183576.12	SETD3
ENSG00000183578.6	TNFAIP8L3
ENSG00000183579.15	ZNRF3
ENSG00000183580.9	FBXL7
ENSG00000183586.8	HMGN3P1
ENSG00000183597.15	TANGO2
ENSG00000183598.3	HIST2H3D
ENSG00000183604.14	SMG1P5
ENSG00000183605.16	SFXN4
ENSG00000183607.9	GKN2
ENSG00000183615.5	FAM167B
ENSG00000183617.4	MRPL54
ENSG00000183621.15	ZNF438
ENSG00000183624.13	HMCES
ENSG00000183625.14	CCR3
ENSG00000183628.12	DGCR6
ENSG00000183629.13	GOLGA8G
ENSG00000183631.4	PRR32
ENSG00000183632.14	TP53TG3
ENSG00000183638.5	RP1L1
ENSG00000183640.5	KRTAP8-1
ENSG00000183643.4	C15orf32
ENSG00000183644.13	C11orf88
ENSG00000183647.10	ZNF530
ENSG00000183648.9	NDUFB1
ENSG00000183654.8	MARCH11
ENSG00000183655.12	KLHL25
ENSG00000183662.10	FAM19A1
ENSG00000183663.6	AC007992.1
ENSG00000183665.5	TRMT12
ENSG00000183666.16	GUSBP1
ENSG00000183668.17	PSG9
ENSG00000183671.12	GPR1
ENSG00000183674.11	LINC00518
ENSG00000183682.7	BMP8A
ENSG00000183684.7	ALYREF
ENSG00000183688.4	RFLNB
ENSG00000183690.12	EFHC2
ENSG00000183691.4	NOG
ENSG00000183695.2	MRGPRX2
ENSG00000183696.13	UPP1
ENSG00000183704.7	SLC9B1P1
ENSG00000183706.4	OR4N4
ENSG00000183709.7	IFNL2
ENSG00000183715.13	OPCML
ENSG00000183718.5	TRIM52
ENSG00000183722.7	LHFPL6
ENSG00000183723.12	CMTM4
ENSG00000183726.10	TMEM50A
ENSG00000183729.3	NPBWR1
ENSG00000183733.6	FIGLA
ENSG00000183734.4	ASCL2
ENSG00000183735.9	TBK1
ENSG00000183741.11	CBX6
ENSG00000183742.12	MACC1
ENSG00000183747.11	ACSM2A
ENSG00000183751.14	TBL3
ENSG00000183753.10	BPY2
ENSG00000183760.10	ACP7
ENSG00000183762.12	KREMEN1
ENSG00000183763.8	TRAIP
ENSG00000183765.20	CHEK2
ENSG00000183770.5	FOXL2
ENSG00000183773.15	AIFM3
ENSG00000183775.10	KCTD16
ENSG00000183778.17	B3GALT5
ENSG00000183779.6	ZNF703
ENSG00000183780.12	SLC35F3
ENSG00000183783.6	KCTD8
ENSG00000183784.6	C9orf66
ENSG00000183785.14	TUBA8
ENSG00000183791.4	ELOA3
ENSG00000183793.13	NPIPA5
ENSG00000183795.8	BPY2B
ENSG00000183798.4	EMILIN3
ENSG00000183801.7	OLFML1
ENSG00000183807.7	FAM162B
ENSG00000183808.11	RBM12B
ENSG00000183813.6	CCR4
ENSG00000183814.15	LIN9
ENSG00000183822.3	NCF4-AS1
ENSG00000183826.16	BTBD9
ENSG00000183828.14	NUDT14
ENSG00000183831.6	ANKRD45
ENSG00000183833.16	MAATS1
ENSG00000183837.9	PNMA3
ENSG00000183840.6	GPR39
ENSG00000183844.16	FAM3B
ENSG00000183850.13	ZNF730
ENSG00000183853.17	KIRREL1
ENSG00000183856.10	IQGAP3
ENSG00000183862.5	CNGA2
ENSG00000183864.4	TOB2
ENSG00000183873.15	SCN5A
ENSG00000183876.8	ARSI
ENSG00000183878.15	UTY
ENSG00000183888.4	C1orf64
ENSG00000183889.12	AC138969.1
ENSG00000183891.5	TTC32
ENSG00000183908.5	LRRC55
ENSG00000183909.6	OR4G2P
ENSG00000183911.7	RPL21P132
ENSG00000183914.14	DNAH2
ENSG00000183918.15	SH2D1A
ENSG00000183921.7	SDR42E2
ENSG00000183929.7	DUSP5P1
ENSG00000183935.5	HTR7P1
ENSG00000183938.5	TRBV21OR9-2
ENSG00000183943.5	PRKX
ENSG00000183955.12	KMT5A
ENSG00000183960.8	KCNH8
ENSG00000183963.18	SMTN
ENSG00000183971.6	NPW
ENSG00000183977.13	PP2D1
ENSG00000183978.7	COA3
ENSG00000183979.7	NPB
ENSG00000183981.8	MAGEA13P
ENSG00000184005.10	ST6GALNAC3
ENSG00000184007.18	PTP4A2
ENSG00000184009.9	ACTG1
ENSG00000184012.11	TMPRSS2
ENSG00000184014.7	DENND5A
ENSG00000184022.4	OR2T10
ENSG00000184029.9	DSCR4
ENSG00000184032.2	KRTAP20-2
ENSG00000184033.13	CTAG1B
ENSG00000184047.16	DIABLO
ENSG00000184055.4	OR7E87P
ENSG00000184056.14	VPS33B
ENSG00000184058.13	TBX1
ENSG00000184060.10	ADAP2
ENSG00000184068.2	AL021453.1
ENSG00000184076.13	UQCR10
ENSG00000184083.11	FAM120C
ENSG00000184084.7	AC091868.1
ENSG00000184100.6	BRD7P2
ENSG00000184106.8	TREML3P
ENSG00000184108.7	TRIML1
ENSG00000184110.14	EIF3C
ENSG00000184111.6	RPL11P4
ENSG00000184113.9	CLDN5
ENSG00000184115.17	AC112229.1
ENSG00000184117.11	NIPSNAP1
ENSG00000184139.8	RPL7AP28
ENSG00000184140.6	OR4F6
ENSG00000184144.11	CNTN2
ENSG00000184148.3	SPRR4
ENSG00000184154.13	LRTOMT
ENSG00000184155.8	OR10J5
ENSG00000184156.16	KCNQ3
ENSG00000184160.7	ADRA2C
ENSG00000184162.14	NR2C2AP
ENSG00000184163.3	C1QTNF12
ENSG00000184164.14	CRELD2
ENSG00000184166.2	OR1D2
ENSG00000184178.15	SCFD2
ENSG00000184182.18	UBE2F
ENSG00000184185.9	KCNJ12
ENSG00000184188.6	AC026410.1
ENSG00000184194.5	GPR173
ENSG00000184203.7	PPP1R2
ENSG00000184205.14	TSPYL2
ENSG00000184206.11	GOLGA6L4
ENSG00000184207.8	PGP
ENSG00000184208.10	C22orf46
ENSG00000184209.14	SNRNP35
ENSG00000184210.5	DGAT2L6
ENSG00000184216.13	IRAK1
ENSG00000184220.11	CMSS1
ENSG00000184221.12	OLIG1
ENSG00000184224.3	C11orf72
ENSG00000184226.14	PCDH9
ENSG00000184227.7	ACOT1
ENSG00000184232.8	OAF
ENSG00000184254.16	ALDH1A3
ENSG00000184258.6	CDR1
ENSG00000184260.5	HIST2H2AC
ENSG00000184261.4	KCNK12
ENSG00000184270.4	HIST2H2AB
ENSG00000184271.16	POU6F1
ENSG00000184274.3	LINC00315
ENSG00000184276.2	DEFB108B
ENSG00000184277.12	TM2D3
ENSG00000184281.14	TSSC4
ENSG00000184292.6	TACSTD2
ENSG00000184293.7	CLECL1
ENSG00000184302.6	SIX6
ENSG00000184303.5	DRD5P1
ENSG00000184304.14	PRKD1
ENSG00000184305.14	CCSER1
ENSG00000184307.14	ZDHHC23
ENSG00000184313.19	MROH7
ENSG00000184319.15	RPL23AP82
ENSG00000184321.1	OR51J1
ENSG00000184330.11	S100A7A
ENSG00000184343.10	SRPK3
ENSG00000184344.3	GDF3
ENSG00000184345.4	IQCF2
ENSG00000184347.14	SLIT3
ENSG00000184349.12	EFNA5
ENSG00000184350.9	MRGPRE
ENSG00000184351.7	KRTAP19-1
ENSG00000184357.4	HIST1H1B
ENSG00000184361.12	SPATA32
ENSG00000184363.9	PKP3
ENSG00000184368.15	MAP7D2
ENSG00000184371.13	CSF1
ENSG00000184374.2	COLEC10
ENSG00000184378.2	ACTRT3
ENSG00000184381.18	PLA2G6
ENSG00000184384.13	MAML2
ENSG00000184385.2	UMODL1-AS1
ENSG00000184388.5	PABPC1L2B
ENSG00000184389.9	A3GALT2
ENSG00000184394.2	OR4N5
ENSG00000184402.14	SS18L1
ENSG00000184408.9	KCND2
ENSG00000184414.2	IRS3P
ENSG00000184423.5	RPL23AP38
ENSG00000184428.12	TOP1MT
ENSG00000184432.9	COPB2
ENSG00000184434.7	LRRC19
ENSG00000184436.11	THAP7
ENSG00000184441.4	AP001062.1
ENSG00000184445.11	KNTC1
ENSG00000184451.5	CCR10
ENSG00000184454.6	NCMAP
ENSG00000184459.8	BPIFC
ENSG00000184465.15	WDR27
ENSG00000184470.20	TXNRD2
ENSG00000184471.7	C1QTNF8
ENSG00000184478.7	OR56A3
ENSG00000184481.16	FOXO4
ENSG00000184486.9	POU3F2
ENSG00000184489.11	PTP4A3
ENSG00000184492.6	FOXD4L1
ENSG00000184497.12	TMEM255B
ENSG00000184500.14	PROS1
ENSG00000184502.3	GAST
ENSG00000184507.15	NUTM1
ENSG00000184508.10	HDDC3
ENSG00000184515.10	BEX5
ENSG00000184517.11	ZFP1
ENSG00000184523.3	PTGER4P2
ENSG00000184524.5	CEND1
ENSG00000184530.8	C6orf58
ENSG00000184544.11	DHRS7C
ENSG00000184545.10	DUSP8
ENSG00000184557.4	SOCS3
ENSG00000184560.7	C17orf74
ENSG00000184564.8	SLITRK6
ENSG00000184566.3	AC132216.1
ENSG00000184571.13	PIWIL3
ENSG00000184574.9	LPAR5
ENSG00000184575.11	XPOT
ENSG00000184584.12	TMEM173
ENSG00000184588.17	PDE4B
ENSG00000184599.13	FAM19A3
ENSG00000184601.10	C14orf180
ENSG00000184602.5	SNN
ENSG00000184608.8	FAM167A-AS1
ENSG00000184611.11	KCNH7
ENSG00000184612.8	RPL7P26
ENSG00000184613.10	NELL2
ENSG00000184616.8	SPDYE12P
ENSG00000184617.10	ZNF840P
ENSG00000184619.3	KRBA2
ENSG00000184624.4	ZNF72P
ENSG00000184634.15	MED12
ENSG00000184635.15	ZNF93
ENSG00000184640.17	SEPT9
ENSG00000184647.10	PRSS55
ENSG00000184650.10	ODF4
ENSG00000184659.5	FOXD4L4
ENSG00000184661.13	CDCA2
ENSG00000184669.8	OR7E14P
ENSG00000184672.11	RALYL
ENSG00000184675.9	AMER1
ENSG00000184677.16	ZBTB40
ENSG00000184678.10	HIST2H2BE
ENSG00000184697.6	CLDN6
ENSG00000184698.5	OR51M1
ENSG00000184702.18	SEPT5
ENSG00000184708.17	EIF4ENIF1
ENSG00000184709.7	LRRC26
ENSG00000184716.13	SERINC4
ENSG00000184719.11	RNLS
ENSG00000184724.5	KRTAP6-1
ENSG00000184730.10	APOBR
ENSG00000184731.5	FAM110C
ENSG00000184735.6	DDX53
ENSG00000184741.6	OR5AQ1P
ENSG00000184743.12	ATL3
ENSG00000184752.12	NDUFA12
ENSG00000184761.7	AC013269.1
ENSG00000184774.9	MGAT4EP
ENSG00000184785.5	SMIM10
ENSG00000184786.5	TCTE3
ENSG00000184787.18	UBE2G2
ENSG00000184788.12	SATL1
ENSG00000184789.6	OR4C10P
ENSG00000184792.15	OSBP2
ENSG00000184795.9	UNC93B5
ENSG00000184809.12	B3GALT5-AS1
ENSG00000184811.3	TUSC5
ENSG00000184814.5	PRR23B
ENSG00000184828.9	ZBTB7C
ENSG00000184831.13	APOO
ENSG00000184838.14	PRR16
ENSG00000184840.11	TMED9
ENSG00000184844.6	CYCSP45
ENSG00000184845.3	DRD1
ENSG00000184856.6	LINC00308
ENSG00000184857.7	TMEM186
ENSG00000184860.9	SDR42E1
ENSG00000184863.10	RBM33
ENSG00000184867.13	ARMCX2
ENSG00000184887.13	BTBD6
ENSG00000184895.7	SRY
ENSG00000184897.5	H1FX
ENSG00000184898.6	RBM43
ENSG00000184900.15	SUMO3
ENSG00000184903.9	IMMP2L
ENSG00000184905.8	TCEAL2
ENSG00000184906.10	AMYH02020865.1
ENSG00000184908.17	CLCNKB
ENSG00000184911.14	DMRTC1B
ENSG00000184916.8	JAG2
ENSG00000184922.13	FMNL1
ENSG00000184923.12	NUTM2A
ENSG00000184924.5	PTRHD1
ENSG00000184925.11	LCN12
ENSG00000184933.5	OR6A2
ENSG00000184937.13	WT1
ENSG00000184939.15	ZFP90
ENSG00000184945.13	AQP12A
ENSG00000184949.15	FAM227A
ENSG00000184954.4	OR6C70
ENSG00000184956.15	MUC6
ENSG00000184961.5	RPL7AP49
ENSG00000184967.6	NOC4L
ENSG00000184979.9	USP18
ENSG00000184983.9	NDUFA6
ENSG00000184984.9	CHRM5
ENSG00000184985.16	SORCS2
ENSG00000184986.10	TMEM121
ENSG00000184988.8	TMEM106A
ENSG00000184990.12	SIVA1
ENSG00000184991.2	TTTY13
ENSG00000184992.10	BRI3BP
ENSG00000184995.7	IFNE
ENSG00000184999.11	SLC22A10
ENSG00000185000.11	DGAT1
ENSG00000185002.9	RFX6
ENSG00000185008.17	ROBO2
ENSG00000185009.12	AP3M1
ENSG00000185010.13	F8
ENSG00000185013.16	NT5C1B
ENSG00000185015.7	CA13
ENSG00000185019.16	UBOX5
ENSG00000185022.11	MAFF
ENSG00000185024.16	BRF1
ENSG00000185028.3	LRRC14B
ENSG00000185031.6	SLC2A3P2
ENSG00000185033.14	SEMA4B
ENSG00000185037.9	ZNF733P
ENSG00000185038.14	MROH2A
ENSG00000185040.13	SPDYE16
ENSG00000185043.10	CIB1
ENSG00000185046.18	ANKS1B
ENSG00000185049.14	NELFA
ENSG00000185052.11	SLC24A3
ENSG00000185053.13	SGCZ
ENSG00000185055.10	EFCAB10
ENSG00000185056.9	C5orf47
ENSG00000185065.6	AC000068.1
ENSG00000185069.2	KRT76
ENSG00000185070.10	FLRT2
ENSG00000185074.7	OR7E31P
ENSG00000185078.3	AC093698.1
ENSG00000185085.2	INTS5
ENSG00000185088.13	RPS27L
ENSG00000185090.14	MANEAL
ENSG00000185100.10	ADSSL1
ENSG00000185101.12	ANO9
ENSG00000185104.19	FAF1
ENSG00000185105.5	MYADML2
ENSG00000185112.5	FAM43A
ENSG00000185115.5	NSMCE3
ENSG00000185122.10	HSF1
ENSG00000185127.6	C6orf120
ENSG00000185129.5	PURA
ENSG00000185130.5	HIST1H2BL
ENSG00000185133.13	INPP5J
ENSG00000185149.5	NPY2R
ENSG00000185155.11	MIXL1
ENSG00000185156.5	MFSD6L
ENSG00000185158.12	LRRC37B
ENSG00000185163.9	DDX51
ENSG00000185164.14	NOMO2
ENSG00000185168.5	LINC00482
ENSG00000185176.12	AQP12B
ENSG00000185177.12	ZNF479
ENSG00000185182.14	GOLGA8DP
ENSG00000185186.8	LINC00313
ENSG00000185187.12	SIGIRR
ENSG00000185189.17	NRBP2
ENSG00000185198.11	PRSS57
ENSG00000185201.16	IFITM2
ENSG00000185203.12	WASIR1
ENSG00000185215.8	TNFAIP2
ENSG00000185219.16	ZNF445
ENSG00000185220.11	PGBD2
ENSG00000185221.6	GAPDHP24
ENSG00000185222.8	TCEAL9
ENSG00000185231.4	MC2R
ENSG00000185236.11	RAB11B
ENSG00000185238.12	PRMT3
ENSG00000185245.7	GP1BA
ENSG00000185246.17	PRPF39
