sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-2724	717144	RNA [591583]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-2725	601594	RNA [591130]	Has DNA that shipped from the same extraction	Same Extraction
7316-2729	728276	RNA [727817]	Has DNA that shipped from the same extraction	Same Extraction
7316-2732	654204	RNA [612273]	Has DNA that shipped from the same extraction	Same Extraction
7316-2737	711767	RNA [606564]	Has DNA that shipped from the same extraction	Same Extraction
7316-2743	654205	RNA [612274]	Has DNA that shipped from the same extraction	Same Extraction
7316-2744	654202	RNA [645177]	Has DNA that shipped from the same extraction	Same Extraction
7316-275	731866	RNA [728664]	Has DNA that shipped from the same extraction	Same Extraction
7316-2751	711698	RNA [658780]	Has DNA that shipped from the same extraction	Same Extraction
7316-2753	728292	RNA [727870]	Has DNA that shipped from the same extraction	Same Extraction
7316-2755	654207	RNA [612278]	Has DNA that shipped from the same extraction	Same Extraction
7316-2756	731915	RNA [731105]	Has DNA that shipped from the same extraction	Same Extraction
7316-2757	654206	RNA [612277]	Has DNA that shipped from the same extraction	Same Extraction
7316-2758	717153	RNA [658779]	Has DNA that shipped from the same extraction	Same Extraction
7316-2760	717164	RNA [658788]	Has DNA that shipped from the same extraction	Same Extraction
7316-2777	739968	RNA [600532]	Has DNA that shipped from the same extraction	Same Extraction
7316-278	257637		Aliquot does not exist in Nautilus	#N/A
7316-2780	608928	RNA [600530]	Has DNA that shipped from the same extraction	Same Extraction
7316-2782	711735	RNA [667636]	Has DNA that shipped from the same extraction	Same Extraction
7316-279	711726	RNA [665957]	Has DNA that shipped from the same extraction	Same Extraction
7316-280	549615	RNA [502645]	Has DNA that shipped from the same extraction	Same Extraction
7316-2809	717170	RNA [612279]	Has DNA that shipped from the same extraction	Same Extraction
7316-2810	739977	RNA [606565]	Has DNA that shipped from the same extraction	Same Extraction
7316-2811	711666	RNA [665658]	Has DNA that shipped from the same extraction	Same Extraction
7316-2856	717157	RNA [612335]	Has DNA that shipped from the same extraction	Same Extraction
7316-2857	654195	RNA [612336]	Has DNA that shipped from the same extraction	Same Extraction
7316-2858	654196	RNA [612337]	Has DNA that shipped from the same extraction	Same Extraction
7316-286	746103	RNA [744185]	Has DNA that shipped from the same extraction	Same Extraction
7316-2860	711754	RNA [677366]	Has DNA that shipped from the same extraction	Same Extraction
7316-2862	746097	RNA [743158]	Has DNA that shipped from the same extraction	Same Extraction
7316-2864	739952	RNA [644956]	Has DNA that shipped from the same extraction	Same Extraction
7316-2865	608924	RNA [600526]	Has DNA that shipped from the same extraction	Same Extraction
7316-287	398451	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-288	398450	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-2893	711702	RNA [658787]	Has DNA that shipped from the same extraction	Same Extraction
7316-2897	717105	RNA [649223]	Has DNA that shipped from the same extraction	Same Extraction
7316-2899	711700	RNA [658784]	Has DNA that shipped from the same extraction	Same Extraction
7316-29	564461	RNA [559558]	Has DNA that shipped from the same extraction	Same Extraction
7316-290	711705	RNA [666251]	Has DNA that shipped from the same extraction	Same Extraction
7316-2901	711701	RNA [658786]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-291	739981	RNA [665956]	Has DNA that shipped from the same extraction	Same Extraction
7316-292	470438	RNA [459123]	Has DNA that shipped from the same extraction	Same Extraction
7316-2933	654194	RNA [612334]	Has DNA that shipped from the same extraction	Same Extraction
7316-2934	711703	RNA [666247]	Has DNA that shipped from the same extraction	Same Extraction
7316-2935	654210	RNA [645180]	Has DNA that shipped from the same extraction	Same Extraction
7316-2939	711667	RNA [665659]	Has DNA that shipped from the same extraction	Same Extraction
7316-294	746104	RNA [744186]	Has DNA that shipped from the same extraction	Same Extraction
7316-2959	711699	RNA [658783]	Has DNA that shipped from the same extraction	Same Extraction
7316-2962	654187	RNA [649222]	Has DNA that shipped from the same extraction	Same Extraction
7316-2966	739996	RNA [738043]	Has DNA that shipped from the same extraction	Same Extraction
7316-297	564469	RNA [560229]	Has DNA that shipped from the same extraction	Same Extraction
7316-2970	740003	RNA [738050]	Has DNA that shipped from the same extraction	Same Extraction
7316-2971	711720	RNA [651935]	Has DNA that shipped from the same extraction	Same Extraction
7316-2972	654186	RNA [649221]	Has DNA that shipped from the same extraction	Same Extraction
7316-2980	731864	RNA [728446]	Has DNA that shipped from the same extraction	Same Extraction
7316-2984	728277	RNA [727818]	Has DNA that shipped from the same extraction	Same Extraction
7316-2986	711762	RNA [677494]	Has DNA that shipped from the same extraction	Same Extraction
7316-2987	731906	RNA [731071]	Has DNA that shipped from the same extraction	Same Extraction
7316-2988	731876	RNA [728674]	Has DNA that shipped from the same extraction	Same Extraction
7316-2989	731916	RNA [731106]	Has DNA that shipped from the same extraction	Same Extraction
7316-2990	731925	RNA [731334]	Has DNA that shipped from the same extraction	Same Extraction
7316-3	470422	RNA [450677]	Has DNA that shipped from the same extraction	Same Extraction
7316-30	564453	RNA [554635]	Has DNA that shipped from the same extraction	Same Extraction
7316-3000	746068	RNA [608383]	Has DNA that shipped from the same extraction	Same Extraction
7316-3010	711679	RNA [652369]	Has DNA that shipped from the same extraction	Same Extraction
7316-3019	731877	RNA [729719]	Has DNA that shipped from the same extraction	Same Extraction
7316-302	1030642	Not found	Different TISS aliquot	Different TISS Aliquot
7316-3020	654198	RNA [612339]	Has DNA that shipped from the same extraction	Same Extraction
7316-3022	734535	RNA [733616]	Has DNA that shipped from the same extraction	Same Extraction
7316-3023	654199	RNA [612340]	Has DNA that shipped from the same extraction	Same Extraction
7316-3025	711716	RNA [606903]	Has DNA that shipped from the same extraction	Same Extraction
7316-3028	717101	RNA [655142]	Has DNA that shipped from the same extraction	Same Extraction
7316-3029	654183	RNA [649215]	Has DNA that shipped from the same extraction	Same Extraction
7316-3030	731895	RNA [730406]	Has DNA that shipped from the same extraction	Same Extraction
7316-304	549598	RNA [468431]	Has DNA that shipped from the same extraction	Same Extraction
7316-3040	654200	RNA [612341]	Has DNA that shipped from the same extraction	Same Extraction
7316-3045	717158	RNA [658781]	Has DNA that shipped from the same extraction	Same Extraction
7316-3048	739978	RNA [606894]	Has DNA that shipped from the same extraction	Same Extraction
7316-305	711664	RNA [650583]	Has DNA that shipped from the same extraction	Same Extraction
7316-3052	711652	RNA [655143]	Has DNA that shipped from the same extraction	Same Extraction
7316-3054	739925	RNA [649219]	Has DNA that shipped from the same extraction	Same Extraction
7316-3055	711655	RNA [655146]	Has DNA that shipped from the same extraction	Same Extraction
7316-3057	711656	RNA [655147]	Has DNA that shipped from the same extraction	Same Extraction
7316-3058	739933	RNA [729926]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-3058	739934	RNA [729927]	Has DNA that shipped from the same extraction	Same Extraction
7316-3058	746065	RNA [566828]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-306	734529	RNA [667634]	Has DNA that shipped from the same extraction	Same Extraction
7316-3060	734511	RNA [655148]	Has DNA that shipped from the same extraction	Same Extraction
7316-3061	739956	RNA [689827]	Has DNA that shipped from the same extraction	Same Extraction
7316-3062	711697	RNA [658778]	Has DNA that shipped from the same extraction	Same Extraction
7316-3064	654220	RNA [645105]	Has DNA that shipped from the same extraction	Same Extraction
7316-3065	654221	RNA [645106]	Has DNA that shipped from the same extraction	Same Extraction
7316-3066	654222	RNA [645107]	Has DNA that shipped from the same extraction	Same Extraction
7316-3067	654176	RNA [648536]	Has DNA that shipped from the same extraction	Same Extraction
7316-3068	734528	RNA [606897]	Has DNA that shipped from the same extraction	Same Extraction
7316-3069	654177	RNA [648537]	Has DNA that shipped from the same extraction	Same Extraction
7316-307	549607	RNA [475622]	Has DNA that shipped from the same extraction	Same Extraction
7316-3070	734513	RNA [648533]	Has DNA that shipped from the same extraction	Same Extraction
7316-3071	711723	RNA [665953]	Has DNA that shipped from the same extraction	Same Extraction
7316-3072	711725	RNA [665954]	Has DNA that shipped from the same extraction	Same Extraction
7316-3073	711736	RNA [667945]	Has DNA that shipped from the same extraction	Same Extraction
7316-3074	711758	RNA [677370]	Has DNA that shipped from the same extraction	Same Extraction
7316-3075	717186	RNA [676941]	Has DNA that shipped from the same extraction	Same Extraction
7316-3076	731865	RNA [728447]	Has DNA that shipped from the same extraction	Same Extraction
7316-309	549595	RNA [470151]	Has DNA that shipped from the same extraction	Same Extraction
7316-310	549588	RNA [467896]	Has DNA that shipped from the same extraction	Same Extraction
7316-312	711657	RNA [650574]	Has DNA that shipped from the same extraction	Same Extraction
7316-3122	739929	RNA [685601]	Has DNA that shipped from the same extraction	Same Extraction
7316-313	549600	RNA [468960]	Has DNA that shipped from the same extraction	Same Extraction
7316-3132	654188	RNA [644958]	Has DNA that shipped from the same extraction	Same Extraction
7316-3138	711761	RNA [677490]	Has DNA that shipped from the same extraction	Same Extraction
7316-3139	739980	RNA [668381]	Has DNA that shipped from the same extraction	Same Extraction
7316-314	549608	RNA [475623]	Has DNA that shipped from the same extraction	Same Extraction
7316-3140	711719	RNA [668382]	Has DNA that shipped from the same extraction	Same Extraction
7316-3147	724091	RNA [723506]	Has DNA that shipped from the same extraction	Same Extraction
7316-3148	724075	RNA [720408]	Has DNA that shipped from the same extraction	Same Extraction
7316-3149	724076	RNA [720409]	Has DNA that shipped from the same extraction	Same Extraction
7316-315	549610	RNA [477330]	Has DNA that shipped from the same extraction	Same Extraction
7316-3150	724078	RNA [720411]	Has DNA that shipped from the same extraction	Same Extraction
7316-3151	724079	RNA [723249]	Has DNA that shipped from the same extraction	Same Extraction
7316-3152	724080	RNA [723250]	Has DNA that shipped from the same extraction	Same Extraction
7316-3153	724074	RNA [720407]	Has DNA that shipped from the same extraction	Same Extraction
7316-3154	724077	RNA [720410]	Has DNA that shipped from the same extraction	Same Extraction
7316-3169	728256	RNA [725584]	Has DNA that shipped from the same extraction	Same Extraction
7316-319	711734	RNA [667635]	Has DNA that shipped from the same extraction	Same Extraction
7316-3192	608929	RNA [600531]	Has DNA that shipped from the same extraction	Same Extraction
7316-32	734517	RNA [555695]	Has DNA that shipped from the same extraction	Same Extraction
7316-3202	711746	RNA [668173]	Has DNA that shipped from the same extraction	Same Extraction
7316-3203	711747	RNA [668174]	Has DNA that shipped from the same extraction	Same Extraction
7316-3204	728278	RNA [727819]	Has DNA that shipped from the same extraction	Same Extraction
7316-3206	728248	RNA [725630]	Has DNA that shipped from the same extraction	Same Extraction
7316-3208	728247	RNA [725629]	Has DNA that shipped from the same extraction	Same Extraction
7316-321	711728	RNA [667626]	Has DNA that shipped from the same extraction	Same Extraction
7316-322	564470	RNA [560230]	Has DNA that shipped from the same extraction	Same Extraction
7316-324	588292	RNA [580765]	Has DNA that shipped from the same extraction	Same Extraction
7316-325	577729	RNA [576849]	Has DNA that shipped from the same extraction	Same Extraction
7316-329	588308	RNA [581553]	Has DNA that shipped from the same extraction	Same Extraction
7316-3292	734527	RNA [658782]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-3295	654175	RNA [648534]	Has DNA that shipped from the same extraction	Same Extraction
7316-3299	654178	RNA [648539]	Has DNA that shipped from the same extraction	Same Extraction
7316-330	728279	RNA [727820]	Has DNA that shipped from the same extraction	Same Extraction
7316-3300	711715	RNA [606902]	Has DNA that shipped from the same extraction	Same Extraction
7316-3303	734524	RNA [644955]	Has DNA that shipped from the same extraction	Same Extraction
7316-3306	711670	RNA [665662]	Has DNA that shipped from the same extraction	Same Extraction
7316-3308	711671	RNA [665664]	Has DNA that shipped from the same extraction	Same Extraction
7316-331	711724	RNA [665955]	Has DNA that shipped from the same extraction	Same Extraction
7316-3311	711752	RNA [672669]	Has DNA that shipped from the same extraction	Same Extraction
7316-3312	711712	RNA [606898]	Has DNA that shipped from the same extraction	Same Extraction
7316-3316	711737	RNA [667946]	Has DNA that shipped from the same extraction	Same Extraction
7316-3317	711738	RNA [667947]	Has DNA that shipped from the same extraction	Same Extraction
7316-3319	711675	RNA [607506]	Has DNA that shipped from the same extraction	Same Extraction
7316-332	571415	RNA [567506]	Has DNA that shipped from the same extraction	Same Extraction
7316-3323	711672	RNA [665665]	Has DNA that shipped from the same extraction	Same Extraction
7316-3326	711704	RNA [666250]	Has DNA that shipped from the same extraction	Same Extraction
7316-333	398057	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-3336	739926	RNA [649224]	Has DNA that shipped from the same extraction	Same Extraction
7316-334	470437	RNA [456741]	Has DNA that shipped from the same extraction	Same Extraction
7316-3345	739993	RNA [677495]	Has DNA that shipped from the same extraction	Same Extraction
7316-340	549613	RNA [502643]	Has DNA that shipped from the same extraction	Same Extraction
7316-341	571435	RNA [569344]	Has DNA that shipped from the same extraction	Same Extraction
7316-343	401742		This is disposed RNA aliquot	#N/A
7316-344	734525	RNA [580767]	Has DNA that shipped from the same extraction	Same Extraction
7316-345	571434	RNA [569343]	Has DNA that shipped from the same extraction	Same Extraction
7316-346	588362	RNA [584284]	Has DNA that shipped from the same extraction	Same Extraction
7316-347	549567	RNA [448064]	Different TISS aliquot	Different TISS Aliquot
7316-3485	724092	RNA [723507]	Has DNA that shipped from the same extraction	Same Extraction
7316-3488	724084	RNA [723254]	Has DNA that shipped from the same extraction	Same Extraction
7316-349	731867	RNA [728665]	Has DNA that shipped from the same extraction	Same Extraction
7316-3491	728257	RNA [725587]	Has DNA that shipped from the same extraction	Same Extraction
7316-350	588290	RNA [580687]	Has DNA that shipped from the same extraction	Same Extraction
7316-3504	711759	RNA [677371]	Has DNA that shipped from the same extraction	Same Extraction
7316-3510	724101	RNA [723825]	Has DNA that shipped from the same extraction	Same Extraction
7316-3511	717188	RNA [677117]	Has DNA that shipped from the same extraction	Same Extraction
7316-3513	739989	RNA [677372]	Has DNA that shipped from the same extraction	Same Extraction
7316-3515	717189	RNA [677118]	Has DNA that shipped from the same extraction	Same Extraction
7316-3516	728280	RNA [727821]	Has DNA that shipped from the same extraction	Same Extraction
7316-3519	717190	RNA [677119]	Has DNA that shipped from the same extraction	Same Extraction
7316-3520	739991	RNA [677374]	Has DNA that shipped from the same extraction	Same Extraction
7316-3521	739979	RNA [668379]	Has DNA that shipped from the same extraction	Same Extraction
7316-3522	724102	RNA [723826]	Has DNA that shipped from the same extraction	Same Extraction
7316-355	739954	RNA [580768]	Has DNA that shipped from the same extraction	Same Extraction
7316-3554	711739	RNA [667949]	Has DNA that shipped from the same extraction	Same Extraction
7316-3555	711740	RNA [667951]	Has DNA that shipped from the same extraction	Same Extraction
7316-3556	711741	RNA [667952]	Has DNA that shipped from the same extraction	Same Extraction
7316-3557	739984	RNA [667953]	Has DNA that shipped from the same extraction	Same Extraction
7316-3558	739985	RNA [667954]	Has DNA that shipped from the same extraction	Same Extraction
7316-356	570112	RNA [562102]	Has DNA that shipped from the same extraction	Same Extraction
7316-3566	711743	RNA [668168]	Has DNA that shipped from the same extraction	Same Extraction
7316-3567	728251	RNA [725633]	Has DNA that shipped from the same extraction	Same Extraction
7316-3570	711744	RNA [668169]	Has DNA that shipped from the same extraction	Same Extraction
7316-3571	711745	RNA [668170]	Has DNA that shipped from the same extraction	Same Extraction
7316-3572	734531	RNA [668175]	Has DNA that shipped from the same extraction	Same Extraction
7316-3574	711750	RNA [672667]	Has DNA that shipped from the same extraction	Same Extraction
7316-3575	711751	RNA [672668]	Has DNA that shipped from the same extraction	Same Extraction
7316-3576	739959	RNA [689834]	Has DNA that shipped from the same extraction	Same Extraction
7316-358	549577	RNA [440133]	Different TISS aliquot	Different TISS Aliquot
7316-359	588324	RNA [582351]	Has DNA that shipped from the same extraction	Same Extraction
7316-361	588328	RNA [582973]	Has DNA that shipped from the same extraction	Same Extraction
7316-362	570113	RNA [562103]	Has DNA that shipped from the same extraction	Same Extraction
7316-3621	711718	RNA [668380]	Has DNA that shipped from the same extraction	Same Extraction
7316-3622	711760	RNA [677375]	Has DNA that shipped from the same extraction	Same Extraction
7316-3623	724103	RNA [723827]	Has DNA that shipped from the same extraction	Same Extraction
7316-3624	724104	RNA [723828]	Has DNA that shipped from the same extraction	Same Extraction
7316-3625	728243	RNA [725624]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-3626	728242	RNA [725623]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-3627	724093	RNA [723508]	Has DNA that shipped from the same extraction	Same Extraction
7316-3628	724094	RNA [723509]	Has DNA that shipped from the same extraction	Same Extraction
7316-3629	724095	RNA [723510]	Has DNA that shipped from the same extraction	Same Extraction
7316-3630	724096	RNA [723511]	Has DNA that shipped from the same extraction	Same Extraction
7316-3631	724097	RNA [723512]	Has DNA that shipped from the same extraction	Same Extraction
7316-3632	724098	RNA [723513]	Has DNA that shipped from the same extraction	Same Extraction
7316-364	570114	RNA [562104]	Has DNA that shipped from the same extraction	Same Extraction
7316-365	739957	RNA [689831]	Has DNA that shipped from the same extraction	Same Extraction
7316-367	564487	RNA [561565]	Has DNA that shipped from the same extraction	Same Extraction
7316-368	734536	RNA [733617]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-3680	739987	RNA [672670]	Has DNA that shipped from the same extraction	Same Extraction
7316-3689	728244	RNA [725626]	Has DNA that shipped from the same extraction	Same Extraction
7316-370	588329	RNA [582974]	Has DNA that shipped from the same extraction	Same Extraction
7316-371	734516	RNA [546524]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-373	734518	RNA [562047]	Has DNA that shipped from the same extraction	Same Extraction
7316-375	588330	RNA [582975]	Has DNA that shipped from the same extraction	Same Extraction
7316-3751	728259	RNA [725680]	Has DNA that shipped from the same extraction	Same Extraction
7316-3755	728260	RNA [725681]	Has DNA that shipped from the same extraction	Same Extraction
7316-3756	728261	RNA [725682]	Has DNA that shipped from the same extraction	Same Extraction
7316-376	549569	RNA [441625]	Has DNA that shipped from the same TISS Aliquot	Different TISS Aliquot
7316-3762	728272	RNA [725896]	Has DNA that shipped from the same extraction	Same Extraction
7316-3765	728273	RNA [725897]	Has DNA that shipped from the same extraction	Same Extraction
7316-3768	728250	RNA [725632]	Has DNA that shipped from the same extraction	Same Extraction
7316-3769	728271	RNA [725895]	Has DNA that shipped from the same extraction	Same Extraction
7316-377	588293	RNA [580766]	Has DNA that shipped from the same extraction	Same Extraction
7316-3771	728245	RNA [725627]	Has DNA that shipped from the same extraction	Same Extraction
7316-3773	717191	RNA [677120]	Has DNA that shipped from the same extraction	Same Extraction
7316-3774	728246	RNA [725628]	Has DNA that shipped from the same extraction	Same Extraction
7316-3775	711757	RNA [677369]	Has DNA that shipped from the same extraction	Same Extraction
7316-3776	739992	RNA [677492]	Has DNA that shipped from the same extraction	Same Extraction
7316-38	564486	RNA [561564]	Has DNA that shipped from the same extraction	Same Extraction
7316-380	573168	RNA [571292]	Has DNA that shipped from the same extraction	Same Extraction
7316-3809	724081	RNA [723251]	Has DNA that shipped from the same extraction	Same Extraction
7316-381	746070	RNA [534725]	Has DNA that shipped from the same extraction	Same Extraction
7316-3817	724088	RNA [723258]	Has DNA that shipped from the same extraction	Same Extraction
7316-382	588337	RNA [582982]	Has DNA that shipped from the same extraction	Same Extraction
7316-384	549606	RNA [475809]	Has DNA that shipped from the same extraction	Same Extraction
7316-3844	728262	RNA [725683]	Has DNA that shipped from the same extraction	Same Extraction
7316-3846	728263	RNA [725684]	Has DNA that shipped from the same extraction	Same Extraction
7316-3856	724082	RNA [723252]	Has DNA that shipped from the same extraction	Same Extraction
7316-3857	724083	RNA [723253]	Has DNA that shipped from the same extraction	Same Extraction
7316-386	549563	RNA [447478]	Has DNA that shipped from the same extraction	Same Extraction
7316-387	711730	RNA [667628]	Has DNA that shipped from the same extraction	Same Extraction
7316-388	398449		This is disposed RNA aliquot	#N/A
7316-389	588295	RNA [580770]	Has DNA that shipped from the same extraction	Same Extraction
7316-3890	724085	RNA [723255]	Has DNA that shipped from the same extraction	Same Extraction
7316-3891	724086	RNA [723256]	Has DNA that shipped from the same extraction	Same Extraction
7316-3892	724087	RNA [723257]	Has DNA that shipped from the same extraction	Same Extraction
7316-3893	728258	RNA [725588]	Has DNA that shipped from the same extraction	Same Extraction
7316-39	739964	RNA [581552]	Has DNA that shipped from the same extraction	Same Extraction
7316-390	588438	RNA [585469]	Has DNA that shipped from the same extraction	Same Extraction
7316-391	549604	RNA [468962]	Has DNA that shipped from the same extraction	Same Extraction
7316-3917	728265	RNA [725687]	Has DNA that shipped from the same extraction	Same Extraction
7316-3919	728266	RNA [725688]	Has DNA that shipped from the same extraction	Same Extraction
7316-392	401743	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-3922	728268	RNA [725690]	Has DNA that shipped from the same extraction	Same Extraction
7316-3923	728269	RNA [725892]	Has DNA that shipped from the same extraction	Same Extraction
7316-393	588332	RNA [582977]	Has DNA that shipped from the same extraction	Same Extraction
7316-3935	724105	RNA [723831]	Has DNA that shipped from the same extraction	Same Extraction
7316-3936	724106	RNA [723832]	Has DNA that shipped from the same extraction	Same Extraction
7316-3937	724107	RNA [723833]	Has DNA that shipped from the same extraction	Same Extraction
7316-394	549591	RNA [468963]	Has DNA that shipped from the same extraction	Same Extraction
7316-395	739961	RNA [705323]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-3963	734537	RNA [733618]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-397	588320	RNA [582347]	Has DNA that shipped from the same extraction	Same Extraction
7316-398	570104	RNA [562048]	Has DNA that shipped from the same extraction	Same Extraction
7316-399	588294	RNA [580769]	Has DNA that shipped from the same extraction	Same Extraction
7316-400	588331	RNA [582976]	Has DNA that shipped from the same extraction	Same Extraction
7316-4028	724089	RNA [723259]	Has DNA that shipped from the same extraction	Same Extraction
7316-4033	724099	RNA [723514]	Has DNA that shipped from the same extraction	Same Extraction
7316-4034	724100	RNA [723515]	Has DNA that shipped from the same extraction	Same Extraction
7316-4035	724108	RNA [723835]	Has DNA that shipped from the same extraction	Same Extraction
7316-405	728293	RNA [727871]	Has DNA that shipped from the same extraction	Same Extraction
7316-406	571403	RNA [568277]	Has DNA that shipped from the same extraction	Same Extraction
7316-4062	728270	RNA [725894]	Has DNA that shipped from the same extraction	Same Extraction
7316-407	588283	RNA [578422]	Has DNA that shipped from the same extraction	Same Extraction
7316-408	739947	RNA [568271]	Has DNA that shipped from the same extraction	Same Extraction
7316-409	398448	Not found	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-41	549586	RNA [468271]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-423	470419	RNA [455920]	Has DNA that shipped from the same extraction	Same Extraction
7316-425	470441	RNA [456742]	Has DNA that shipped from the same extraction	Same Extraction
7316-429	570127	RNA [566829]	Has DNA that shipped from the same extraction	Same Extraction
7316-430	470019	RNA [415509]	Has DNA that shipped from the same extraction	Same Extraction
7316-431	570128	RNA [566830]	Has DNA that shipped from the same extraction	Same Extraction
7316-4341	734538	RNA [733619]	Has DNA that shipped from the same extraction	Same Extraction
7316-435	549589	RNA [467898]	Has DNA that shipped from the same extraction	Same Extraction
7316-436	564451	RNA [554625]	Has DNA that shipped from the same extraction	Same Extraction
7316-437	731868	RNA [728666]	Has DNA that shipped from the same extraction	Same Extraction
7316-438	588284	RNA [578423]	Has DNA that shipped from the same extraction	Same Extraction
7316-440	746066	RNA [551468]	Has DNA that shipped from the same extraction	Same Extraction
7316-441	588439	RNA [585470]	Has DNA that shipped from the same extraction	Same Extraction
7316-442	549597	RNA [470153]	Has DNA that shipped from the same extraction	Same Extraction
7316-443	571398	RNA [568272]	Has DNA that shipped from the same extraction	Same Extraction
7316-445	401741	Not found	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-447	588300	RNA [581279]	Has DNA that shipped from the same extraction	Same Extraction
7316-448	571402	RNA [568276]	Has DNA that shipped from the same extraction	Same Extraction
7316-449	564468	RNA [559568]	Has DNA that shipped from the same extraction	Same Extraction
7316-451	571397	RNA [568270]	Has DNA that shipped from the same extraction	Same Extraction
7316-452	571401	RNA [568275]	Has DNA that shipped from the same extraction	Same Extraction
7316-455	588317	RNA [582342]	Has DNA that shipped from the same extraction	Same Extraction
7316-456	570107	RNA [562051]	Has DNA that shipped from the same extraction	Same Extraction
7316-458	571399	RNA [568273]	Has DNA that shipped from the same extraction	Same Extraction
7316-459	549601	RNA [468433]	Has DNA that shipped from the same extraction	Same Extraction
7316-460	574548	RNA [568278]	Has DNA that shipped from the same extraction	Same Extraction
7316-461	739958	RNA [689832]	Has DNA that shipped from the same extraction	Same Extraction
7316-462	588301	RNA [581281]	Has DNA that shipped from the same extraction	Same Extraction
7316-464	746062	RNA [416629]	Has DNA that shipped from the same extraction	Same Extraction
7316-466	401561	Not found	Has DNA that shipped from the same extraction	Same Extraction
7316-47	549602	RNA [470148]	Has DNA that shipped from the same extraction	Same Extraction
7316-470	549594	RNA [468964]	Has DNA that shipped from the same extraction	Same Extraction
7316-471	564471	RNA [560232]	Has DNA that shipped from the same extraction	Same Extraction
7316-472	571400	RNA [568274]	Has DNA that shipped from the same extraction	Same Extraction
7316-474	564472	RNA [560233]	Has DNA that shipped from the same extraction	Same Extraction
