sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-968	1030646	DNA and RNA are listed as virtual	"DNA and RNA are listed as virtual, but are under the same tissue aliquot that was shipped 2for CBTTC_0004a/b"	#N/A
7316-97	588350	RNA [583301]	Has DNA that shipped from the same extraction	Same Extraction
7316-974	549622	RNA [535807]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-3214-A07083	A07098	A07083	Same extraction	Same Extraction
7316-4998	A15266	A15247	NA	#N/A
A03942	A04020	A03942	Same extraction	Same Extraction
A05262	A05266	A05262	Same extraction	Same Extraction
A07150	A07170	A07150	Same extraction	Same Extraction
A08692	A08715	A08692	Same extraction	Same Extraction
A08732	A08736	A08732	Same extraction	Same Extraction
A08768	A08776	A08768	Same extraction	Same Extraction
A08958	A08972	A08958	Same extraction	Same Extraction
A09410	A09418	A09410	Same extraction	Same Extraction
A09446	A09450	A09446	Same extraction	Same Extraction
A09576	A09595	A09576	Same extraction	Same Extraction
A09689	A09827	A09689	Same extraction	Same Extraction
A09985	A10006	A09985	Same extraction	Same Extraction
A12398	A12404	A12398	Same extraction	Same Extraction
A12748	A12764	A12748	Same extraction	Same Extraction
A12911	A12929	A12911	Same extraction	Same Extraction
A14449	A14458	A14449	Same extraction	Same Extraction
A14565	A14585	A14565	Same extraction	Same Extraction
A14567	A14587	A14567	Same extraction	Same Extraction
A14709	A14715	A14709	Same extraction	Same Extraction
A15170	A15183	A15170	Same extraction	Same Extraction
A15726	A15740	A15726	Same extraction	Same Extraction
A16405	A16423	A16405	Same extraction	Same Extraction
A16538	A16548	A16538	Same extraction	Same Extraction
A16915	A16919	A16915	Same extraction	Same Extraction
A17096	A17100	A17096	Same extraction	Same Extraction
A17997	A18004	A17997	Same extraction	Same Extraction
A18552	A18557	A18552	Same extraction	Same Extraction
A18777	A18808	A18777	Same extraction	Same Extraction
A19015	A19020	A19015	Same extraction	Same Extraction
A19649	A19683	A19649	Same extraction	Same Extraction
A20091	A20096	A20091	Same extraction	Same Extraction
