FusionName	file	type
ACVR1--NFATC1	pancanfus.txt	TCGAFusion
ACVR1B--CS	pancanfus.txt	TCGAFusion
ACVR1B--SUPT16H	pancanfus.txt	TCGAFusion
ACVR2A--AKT3	pancanfus.txt	TCGAFusion
ACVR2A--CASP8	pancanfus.txt	TCGAFusion
ACVR2A--KANK1	pancanfus.txt	TCGAFusion
ACVR2A--SUMO1	pancanfus.txt	TCGAFusion
ADAL--C15orf43	pancanfus.txt	TCGAFusion
ADAM10--C15orf43	pancanfus.txt	TCGAFusion
ADAM10--PLAC9	pancanfus.txt	TCGAFusion
ADAM10--ZNF770	pancanfus.txt	TCGAFusion
ADAM15--CHD1L	pancanfus.txt	TCGAFusion
ADAM15--DCST1	pancanfus.txt	TCGAFusion
ADAM15--DCST1	pancanfus.txt	TCGAFusion
ADAM17--YWHAQ	pancanfus.txt	TCGAFusion
ADAM18--LSM1	pancanfus.txt	TCGAFusion
ADAM2--MTMR2	pancanfus.txt	TCGAFusion
ADAM22--ASB4	pancanfus.txt	TCGAFusion
ADAM22--RUNDC3B	pancanfus.txt	TCGAFusion
ADAM23--CERKL	pancanfus.txt	TCGAFusion
ADAM23--PPAP2A	pancanfus.txt	TCGAFusion
ADAM32--ZNF251	pancanfus.txt	TCGAFusion
ADAM9--CLYBL	pancanfus.txt	TCGAFusion
ADAM9--HTRA4	pancanfus.txt	TCGAFusion
ADAM9--MTL5	pancanfus.txt	TCGAFusion
ADAM9--PROSC	pancanfus.txt	TCGAFusion
ADAM9--RGS20	pancanfus.txt	TCGAFusion
ADAM9--RNF170	pancanfus.txt	TCGAFusion
ADAM9--RNF170	pancanfus.txt	TCGAFusion
ADAM9--TACC1	pancanfus.txt	TCGAFusion
ADAM9--UNC5D	pancanfus.txt	TCGAFusion
ADAMTS10--MLLT1	pancanfus.txt	TCGAFusion
ADAMTS12--C1QTNF3	pancanfus.txt	TCGAFusion
ADAMTS12--RAI14	pancanfus.txt	TCGAFusion
ADAMTS12--ZFR	pancanfus.txt	TCGAFusion
ADAMTS13--LHX2	pancanfus.txt	TCGAFusion
ADAMTS16--ETV6	pancanfus.txt	TCGAFusion
ADAMTS16--TERT	pancanfus.txt	TCGAFusion
ADAMTS17--AKAP13	pancanfus.txt	TCGAFusion
ADAMTS17--LPAR1	pancanfus.txt	TCGAFusion
ADAMTS17--NCF4	pancanfus.txt	TCGAFusion
ADAMTS17--PCDHA8	pancanfus.txt	TCGAFusion
ADAMTS17--RTKN2	pancanfus.txt	TCGAFusion
ADAMTS17--SLC12A1	pancanfus.txt	TCGAFusion
ADAMTS7--TMEM135	pancanfus.txt	TCGAFusion
ADAMTS9--CHL1	pancanfus.txt	TCGAFusion
ADAMTS9--SYNPR	pancanfus.txt	TCGAFusion
ADAMTS9--ULK4	pancanfus.txt	TCGAFusion
ADAMTSL1--WNT5B	pancanfus.txt	TCGAFusion
ADAMTSL2--MAPKAP1	pancanfus.txt	TCGAFusion
ADAP1--C8orf38	pancanfus.txt	TCGAFusion
ADAP1--COX19	pancanfus.txt	TCGAFusion
ADAP1--GET4	pancanfus.txt	TCGAFusion
ADAP1--MAD1L1	pancanfus.txt	TCGAFusion
ADAP1--SUN1	pancanfus.txt	TCGAFusion
ADAR--CCT5	pancanfus.txt	TCGAFusion
ADAR--GPATCH4	pancanfus.txt	TCGAFusion
ADAR--KRTCAP2	pancanfus.txt	TCGAFusion
ADAR--UBE2J2	pancanfus.txt	TCGAFusion
ADAT1--KARS	pancanfus.txt	TCGAFusion
ADAT2--VTA1	pancanfus.txt	TCGAFusion
ADC--PHIP	pancanfus.txt	TCGAFusion
ADCK2--DPP6	pancanfus.txt	TCGAFusion
ADCK2--TBXAS1	pancanfus.txt	TCGAFusion
ADCK4--AKAP8	pancanfus.txt	TCGAFusion
ADCK5--CPSF1	pancanfus.txt	TCGAFusion
ADCK5--HEATR7A	pancanfus.txt	TCGAFusion
ADCK5--HSF1	pancanfus.txt	TCGAFusion
ADCY1--EYA4	pancanfus.txt	TCGAFusion
ADCY2--CLPTM1L	pancanfus.txt	TCGAFusion
ADCY2--PARP8	pancanfus.txt	TCGAFusion
ADCY2--RPAP2	pancanfus.txt	TCGAFusion
ADCY5--PTPLB	pancanfus.txt	TCGAFusion
ADCY9--CLUAP1	pancanfus.txt	TCGAFusion
ADCY9--FAHD1	pancanfus.txt	TCGAFusion
ADCY9--FAM65C	pancanfus.txt	TCGAFusion
ADCY9--GLYR1	pancanfus.txt	TCGAFusion
ADCY9--NMRAL1	pancanfus.txt	TCGAFusion
ADCY9--PHF16	pancanfus.txt	TCGAFusion
ADCY9--PRKCB	pancanfus.txt	TCGAFusion
ADCY9--PRSS27	pancanfus.txt	TCGAFusion
ADCY9--RASSF8	pancanfus.txt	TCGAFusion
ADCY9--SPG20	pancanfus.txt	TCGAFusion
ADCY9--TEAD4	pancanfus.txt	TCGAFusion
ADCY9--TFAP4	pancanfus.txt	TCGAFusion
ADCY9--VASN	pancanfus.txt	TCGAFusion
ADCYAP1R1--AQP1	pancanfus.txt	TCGAFusion
ADCYAP1R1--DFNA5	pancanfus.txt	TCGAFusion
ADCYAP1R1--TYK2	pancanfus.txt	TCGAFusion
ADD1--ADK	pancanfus.txt	TCGAFusion
ADD1--ATP2B4	pancanfus.txt	TCGAFusion
ADD1--FAM193A	pancanfus.txt	TCGAFusion
ADD1--FAM193A	pancanfus.txt	TCGAFusion
ADD1--PCGF3	pancanfus.txt	TCGAFusion
ADD1--SH3BP2	pancanfus.txt	TCGAFusion
ADD1--SH3BP2	pancanfus.txt	TCGAFusion
ADD3--XPNPEP1	pancanfus.txt	TCGAFusion
ADH7--CXCR5	pancanfus.txt	TCGAFusion
ADI1--DPY30	pancanfus.txt	TCGAFusion
ADI1--KHDRBS3	pancanfus.txt	TCGAFusion
ADI1--ZFP91	pancanfus.txt	TCGAFusion
ADIPOR1--CYB5R1	pancanfus.txt	TCGAFusion
ADIPOR1--RGS8	pancanfus.txt	TCGAFusion
ADIPOR2--DCP1B	pancanfus.txt	TCGAFusion
ADIPOR2--ERC1	pancanfus.txt	TCGAFusion
ADIPOR2--FOXJ2	pancanfus.txt	TCGAFusion
ADIPOR2--NINJ2	pancanfus.txt	TCGAFusion
ADIPOR2--SLC2A13	pancanfus.txt	TCGAFusion
ADK--C10orf11	pancanfus.txt	TCGAFusion
ADK--C10orf11	pancanfus.txt	TCGAFusion
ADK--FAM149B1	pancanfus.txt	TCGAFusion
ADK--KCNMA1	pancanfus.txt	TCGAFusion
ADK--KCNMA1	pancanfus.txt	TCGAFusion
ADK--LRRTM3	pancanfus.txt	TCGAFusion
ADK--SIRT1	pancanfus.txt	TCGAFusion
ADK--SPTAN1	pancanfus.txt	TCGAFusion
ADK--TTC23	pancanfus.txt	TCGAFusion
ADNP--BMP7	pancanfus.txt	TCGAFusion
ADNP--DDX27	pancanfus.txt	TCGAFusion
ADNP--DPM1	pancanfus.txt	TCGAFusion
ADNP--GHRH	pancanfus.txt	TCGAFusion
ADNP--KCNG1	pancanfus.txt	TCGAFusion
ADNP--KCNG1	pancanfus.txt	TCGAFusion
ADNP--MMP24	pancanfus.txt	TCGAFusion
ADNP--NFATC2	pancanfus.txt	TCGAFusion
ADNP--PCIF1	pancanfus.txt	TCGAFusion
ADNP--SCCPDH	pancanfus.txt	TCGAFusion
ADNP--SYCP2	pancanfus.txt	TCGAFusion
ADNP2--L3MBTL4	pancanfus.txt	TCGAFusion
ADNP2--PARD6G	pancanfus.txt	TCGAFusion
ADNP2--PQLC1	pancanfus.txt	TCGAFusion
ADORA2B--SYN3	pancanfus.txt	TCGAFusion
ADPRHL2--SHPK	pancanfus.txt	TCGAFusion
ADRBK1--BAIAP2	pancanfus.txt	TCGAFusion
ADRBK1--POLD4	pancanfus.txt	TCGAFusion
ADRBK1--STAT6	pancanfus.txt	TCGAFusion
ADRBK2--AP1B1	pancanfus.txt	TCGAFusion
ADRBK2--EP300	pancanfus.txt	TCGAFusion
ADRBK2--RHBDL3	pancanfus.txt	TCGAFusion
ADRBK2--SF3A1	pancanfus.txt	TCGAFusion
ADRBK2--ZNRF3	pancanfus.txt	TCGAFusion
ADRM1--CCT5	pancanfus.txt	TCGAFusion
ADSL--CDH18	pancanfus.txt	TCGAFusion
ADSL--PVALB	pancanfus.txt	TCGAFusion
ADSS--AZIN1	pancanfus.txt	TCGAFusion
ADSS--BPNT1	pancanfus.txt	TCGAFusion
ADSS--CAPRIN2	pancanfus.txt	TCGAFusion
ADSS--SERTAD4	pancanfus.txt	TCGAFusion
AEBP1--ANKS1A	pancanfus.txt	TCGAFusion
AEBP1--NDUFV1	pancanfus.txt	TCGAFusion
AEBP1--SLC38A5	pancanfus.txt	TCGAFusion
AEBP2--GYS2	pancanfus.txt	TCGAFusion
AEBP2--LMO3	pancanfus.txt	TCGAFusion
AEBP2--PLEKHA5	pancanfus.txt	TCGAFusion
AEBP2--PLEKHA5	pancanfus.txt	TCGAFusion
AEBP2--PRLR	pancanfus.txt	TCGAFusion
AEBP2--ST8SIA1	pancanfus.txt	TCGAFusion
AES--ELK3	pancanfus.txt	TCGAFusion
AES--FOXP1	pancanfus.txt	TCGAFusion
AES--TNNT1	pancanfus.txt	TCGAFusion
AFAP1--ABLIM2	pancanfus.txt	TCGAFusion
AFAP1--ABLIM2	pancanfus.txt	TCGAFusion
AFAP1--ABLIM2	pancanfus.txt	TCGAFusion
AFAP1--ABLIM2	pancanfus.txt	TCGAFusion
AFAP1--AKR1C1	pancanfus.txt	TCGAFusion
AFAP1--AKR1C1	pancanfus.txt	TCGAFusion
AFAP1--NTRK2	pancanfus.txt	TCGAFusion
AFAP1--SLC45A1	pancanfus.txt	TCGAFusion
AFF1--C4orf36	pancanfus.txt	TCGAFusion
AFF1--GAST	pancanfus.txt	TCGAFusion
AFF1--GPRIN3	pancanfus.txt	TCGAFusion
AFF1--KLHL8	pancanfus.txt	TCGAFusion
AFF1--PAQR3	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--PTPN13	pancanfus.txt	TCGAFusion
AFF1--WWOX	pancanfus.txt	TCGAFusion
AFF3--ASZ1	pancanfus.txt	TCGAFusion
AFF3--HDAC5	pancanfus.txt	TCGAFusion
AFF3--NPAS2	pancanfus.txt	TCGAFusion
AFF3--TMEM182	pancanfus.txt	TCGAFusion
AFF4--FSTL4	pancanfus.txt	TCGAFusion
AFF4--SNTG2	pancanfus.txt	TCGAFusion
AFF4--SPATA21	pancanfus.txt	TCGAFusion
AFG3L2--TIAM1	pancanfus.txt	TCGAFusion
AFMID--TMC8	pancanfus.txt	TCGAFusion
AFMID--TNRC6C	pancanfus.txt	TCGAFusion
AFTPH--ELF1	pancanfus.txt	TCGAFusion
AFTPH--GLYATL3	pancanfus.txt	TCGAFusion
AFTPH--KIAA1841	pancanfus.txt	TCGAFusion
AFTPH--THRB	pancanfus.txt	TCGAFusion
AGAP1--AANAT	pancanfus.txt	TCGAFusion
AGAP1--ADAMTS2	pancanfus.txt	TCGAFusion
AGAP1--ATG4B	pancanfus.txt	TCGAFusion
AGAP1--C1orf115	pancanfus.txt	TCGAFusion
AGAP1--CIR1	pancanfus.txt	TCGAFusion
