sample_id	frac_unmapped_of_total	frac_multi_mapped_of_mapped	frac_dupe_of_mapped	frac_non_exonic_of_non_dupe	MEND_depth_bin	summary_flag_status
BS_FJWZ3M7V						not flagged
BS_FJZPQZ2C		above_limit				MM
BS_FKDQJJB5						not flagged
BS_FQX1PRAJ						not flagged
BS_FRM9TG02						not flagged
BS_FRZ76GEG						not flagged
BS_FTKPQ5FZ						not flagged
BS_FW5ECXXK						not flagged
BS_FWMJPKCV						not flagged
BS_FX2P2WEG				above_limit		NE
BS_FYRDYBMZ						not flagged
BS_G00FHF3Q						not flagged
BS_G1Y281HX			above_limit			D
BS_G23JJAZY						not flagged
BS_G3RJTBZD						not flagged
BS_G5QBBHDV				above_limit		NE
BS_G63HYD6N						not flagged
BS_G7AGNB5G						not flagged
BS_G9XE3N9T						not flagged
BS_GAGRGSSX						not flagged
BS_GC3CH9TY						not flagged
BS_GCA4GET3						not flagged
BS_GCQFGDTX						not flagged
BS_GDHH6T5A			above_limit		10-20 MEND_reads	D, 10-20M
BS_GE2RVZE6						not flagged
BS_GFM6EA61						not flagged
BS_GG9W3J9Y						not flagged
BS_GHNJ4CYC						not flagged
BS_GJNCYABP						not flagged
BS_GM9Y3AZ5	above_limit	above_limit	above_limit		<10M_MEND_reads	NM, MM, D, <10M
BS_GMDQK06Q						not flagged
BS_GMJBGBWB						not flagged
BS_GNV89A5P						not flagged
BS_GPEGRCCT						not flagged
BS_GR46VD0Q						not flagged
BS_GS1KR5PK						not flagged
BS_GSVCN2XC				above_limit		NE
BS_GTZCFGRZ						not flagged
BS_GV3NZ9QD						not flagged
BS_GW0GKWMS						not flagged
BS_GWCRMKE6						not flagged
BS_GXTFW99H						not flagged
BS_GYA4V1RD						not flagged
BS_GYXSDZ56						not flagged
BS_H0QWRJE2						not flagged
BS_H1XPVS9A						not flagged
BS_H1ZS5FMZ						not flagged
BS_H3FE3TH9						not flagged
BS_H3Y8FWHV						not flagged
BS_H4B5Y6S0						not flagged
BS_H4NXBD2D						not flagged
BS_H8A9PSYA						not flagged
BS_HA20Y4XY						not flagged
BS_HB03GSHF						not flagged
BS_HBJZR69P						not flagged
BS_HC44ZA0V						not flagged
BS_HC5M8JTC						not flagged
BS_HCP5C912						not flagged
BS_HD4EJYE3						not flagged
BS_HE57E1RP						not flagged
BS_HF3RNN2T						not flagged
BS_HHPA8NJ2				above_limit		NE
BS_HJRTC9JQ						not flagged
BS_HKZENFDA						not flagged
BS_HQ5BJ6MW						not flagged
BS_HSHN8PBB						not flagged
BS_HTEPAKCM						not flagged
BS_HV8PFRBR						not flagged
BS_HX0S30NE						not flagged
BS_HZ707C55						not flagged
BS_HZE3KYZ1						not flagged
BS_HZRM07TW						not flagged
BS_J1AB8PMA						not flagged
BS_J483EMFP						not flagged
BS_J4GQPZS0						not flagged
BS_J60G8DMK						not flagged
