Kids_First_Biospecimen_ID	sample_id	KIAA_BRAF_fus	MAPK_fus	RTK_fus	FGFR_fus	MYB_fus
BS_4C4MZ4NT	7316-476	Yes	No	No	No	No
BS_K5802F84	7316-923	No	No	No	No	No
BS_M8WP5T16	7316-2989	No	No	No	No	No
BS_17WYVEEC	7316-332	Yes	No	No	No	No
BS_C6SKJG3N	7316-3751	Yes	No	No	No	No
BS_4Z2F4P9N	7316-1678	No	No	No	No	No
BS_WCRKYV0T	7316-152	No	No	No	No	No
BS_KEA474HN	7316-3922	Yes	No	No	No	No
BS_HSHN8PBB	7316-1081	Yes	No	No	No	No
BS_JFR750KD	7316-344	No	No	Yes	No	No
BS_NS7GSHB9	7316-2275	No	No	No	No	No
BS_S50KQEXV	7316-2172	Yes	No	No	No	No
BS_401R3KV0	7316-275	No	Yes	No	No	No
BS_GYA4V1RD	7316-3556	Yes	No	No	No	No
BS_258RRGDM	7316-2195	No	No	No	No	No
BS_HQ5BJ6MW	7316-134	Yes	No	No	No	No
BS_NRPG5K4K	7316-2744	Yes	No	No	No	No
BS_QTSXW7DA	7316-3323	No	No	No	No	No
BS_RVSEDNJ4	7316-2300	Yes	No	No	No	No
BS_52DAPP1Y	7316-345	Yes	No	No	No	No
BS_ZVX2GRD6	7316-9	No	No	No	No	No
BS_DEHJF4C7	7316-2310	No	No	No	No	No
BS_7Z93ZYMS	7316-3622	Yes	No	No	No	No
BS_3G3KWY18	7316-1866	No	No	No	No	No
BS_N210XMKR	7316-869	No	No	No	No	No
BS_BPSTSCBJ	7316-3308	Yes	No	No	No	No
BS_55P8HPYD	7316-1668	Yes	No	No	No	No
BS_ARBQDTT5	7316-1972	No	No	No	No	No
BS_FJZPQZ2C	7316-3923	No	No	No	No	No
BS_ERJAJ0KA	7316-2809	No	No	No	No	Yes
BS_VARR255N	7316-3522	Yes	No	No	No	No
BS_3PYESPHA	7316-91	No	No	No	No	No
BS_MBSTWZA6	7316-3555	Yes	No	No	No	No
BS_TG93XC55	7316-321	No	No	No	No	No
BS_RWJZFTP9	7316-1805	Yes	No	No	No	No
BS_Z0AVVB1V	7316-146	Yes	No	No	No	No
BS_VW85Q4XJ	7316-2962	Yes	No	No	No	No
BS_R634WKN7	7316-1681	No	No	No	No	No
BS_EHVYJAVA	7316-741	No	No	No	No	No
BS_ZTWGFWTX	7316-3054	Yes	No	No	No	No
BS_JVA2NQFF	7316-3566	Yes	No	No	No	No
BS_B6M763JS	7316-1977	No	No	No	No	No
BS_49852ZBH	7316-2689	Yes	No	No	No	No
BS_3W07B2TG	7316-3554	No	No	Yes	No	No
BS_6NTXGQAC	7316-395	No	No	No	No	No
BS_B7GEH89C	7316-2324	No	No	No	No	No
BS_WG203ECV	7316-896	Yes	No	No	No	No
BS_S9929Z8B	7316-2216	No	No	No	No	No
BS_775HDFNY	7316-3919	Yes	No	No	No	No
BS_A46RDWGM	7316-1113	No	No	No	No	No
BS_QF5VVZX5	7316-2005	No	No	No	No	No
BS_QRNSKFMS	7316-488	Yes	No	No	No	No
BS_T2QPMZCM	7316-2174	No	No	No	No	No
BS_9Q6Z6VJC	7316-475	Yes	No	No	No	No
BS_GPEGRCCT	7316-934	No	No	No	No	No
BS_E4GC9EXR	7316-893	No	No	No	No	No
BS_Y0PCBNJV	7316-643	Yes	No	No	No	No
BS_T0RKFEKR	7316-612	Yes	No	No	No	No
BS_4EN8D8Y4	7316-3139	No	No	No	No	No
BS_PQ7CQFYR	7316-905	Yes	No	No	No	No
BS_Q3TBCK4V	7316-2669	Yes	No	No	No	No
BS_K7MVS0Z7	7316-1664	Yes	No	No	No	No
BS_4A45GGSW	7316-562	Yes	No	No	No	No
BS_M4TTKPNR	7316-441	Yes	No	No	No	No
BS_D3YBV7KB	7316-1943	No	No	Yes	No	No
BS_FAQQ0GCQ	7316-2571	No	No	No	No	No
BS_JWSR581E	7316-2729	Yes	No	No	No	No
BS_B7X8VXQ3	7316-120	Yes	No	No	No	No
BS_N6NE6B3W	7316-1679	No	No	No	No	No
BS_55JW3HFM	7316-1965	No	No	No	No	No
BS_NT9NZYFD	7316-3572	No	No	No	No	No
BS_A13BMEF5	7316-2663	Yes	No	No	No	No
BS_XKKB4MZV	7316-262	Yes	No	No	No	No
BS_7XRN3CFX	7316-375	No	No	No	No	No
BS_ME3HKN2C	7316-70	No	No	No	No	No
BS_PEP9NZXN	7316-2755	Yes	No	No	No	No
BS_3Q0GTSYH	7316-206	Yes	No	No	No	No
BS_A1VEGWTR	7316-1851	Yes	No	No	No	No
BS_2AR3AP0N	7316-1854	No	No	Yes	No	No
BS_47SJZ3PH	7316-3627	No	No	No	No	No
BS_YG0A13JH	7316-2897	No	No	No	No	No
BS_H8A9PSYA	7316-495	Yes	No	No	No	No
BS_8VAZSJEN	7316-459	Yes	No	No	No	No
BS_SDZY6RZ3	7316-168	Yes	No	No	No	No
BS_RGSMX7QD	7316-1952	Yes	No	No	No	No
BS_6N3AFF66	7316-516	Yes	No	No	No	No
BS_H3FE3TH9	7316-3203	Yes	No	No	No	No
BS_912NX4Y0	7316-3917	No	No	No	No	No
BS_Y7F9E2E9	7316-2723	No	No	No	No	No
BS_9BJARSX3	7316-884	No	No	No	No	No
BS_5JM573JC	7316-2255	No	No	No	No	No
BS_6P50QTPP	7316-2154	No	No	No	No	No
BS_DSS3S5XD	7316-247	Yes	No	No	No	No
BS_7P83Z28P	7316-666	Yes	No	No	No	No
BS_769BDPDB	7316-917	No	No	No	No	No
BS_8Z3SCKB5	7316-936	No	No	No	No	No
BS_24AHZ9ZW	7316-361	No	No	No	No	No
BS_YEQVW4ND	7316-2135	No	No	Yes	No	No
BS_GCA4GET3	7316-162	Yes	No	No	No	No
BS_QH82PBMB	7316-222	Yes	No	No	No	No
BS_3H71BH6Q	7316-2203	No	No	No	No	No
BS_1ZVXF5FE	7316-2167	Yes	No	No	No	No
BS_2EMW8ZG3	7316-932	No	No	No	No	No
BS_77CDMEY4	7316-259	No	No	No	No	No
BS_94MT16N2	7316-437	No	No	No	No	No
BS_HA20Y4XY	7316-2667	No	No	No	No	No
BS_9HSGV9TJ	7316-692	No	No	No	No	No
BS_PQ6QEVE8	7316-156	No	No	Yes	No	No
BS_8J3B6ZB6	7316-1975	Yes	No	No	No	No
BS_1G3WYEN3	7316-193	No	No	No	No	No
BS_470DYRJQ	7316-3491	Yes	No	No	No	No
BS_AP0SZ364	7316-946	No	Yes	No	No	No
BS_EBMCTR80	7316-1845	No	No	Yes	No	No
BS_5PV5N4HQ	7316-2305	Yes	No	No	No	No
BS_ET8CJXSF	7316-1643	Yes	No	No	No	No
BS_68BW2163	7316-2245	No	No	No	No	No
BS_13CGKADW	7316-148	No	No	No	No	No
BS_BN986DF6	7316-368	Yes	No	No	No	No
BS_1JDG6JV5	7316-329	No	No	No	No	No
BS_QC3XCE6X	7316-1086	No	No	No	No	No
BS_YVMEEBKC	7316-3055	Yes	No	No	No	No
BS_V72GX2AZ	7316-472	Yes	No	No	No	No
BS_W4HGV6E7	7316-3040	No	No	No	No	Yes
BS_2YCJV2VV	7316-235	No	No	No	No	No
BS_7H4RFCW9	7316-3150	No	No	No	No	No
BS_4NF35AF6	7316-1660	No	No	Yes	No	No
BS_S7CZY2CH	7316-381	No	No	No	No	No
BS_4HQ3T2NC	7316-3169	Yes	No	No	No	No
BS_F8N6CFQE	7316-3154	Yes	No	No	No	No
BS_NB5XWMJT	7316-346	Yes	No	No	No	No
BS_JKXA3FQC	7316-50	No	Yes	No	No	No
BS_SQX5E15Z	7316-2725	No	No	No	No	No
BS_27QE6BV7	7316-373	No	No	No	No	No
BS_23W9EPFE	7316-3345	No	No	No	No	No
BS_DPF1CX0G	7316-117	Yes	No	No	No	No
BS_T4JFN54G	7316-957	No	No	No	No	No
BS_AKRHBPNZ	7316-1077	No	No	No	No	No
BS_C7A2TYAC	7316-874	Yes	No	No	No	No
BS_YZ2Z1Q6Y	7316-3068	Yes	No	No	No	No
BS_KPT2WPHW	7316-359	No	No	No	No	No
BS_JG9JZTA9	7316-663	No	No	No	No	No
BS_044XZ8ST	7316-3570	No	Yes	No	No	No
BS_M4NVX721	7316-1108	No	No	No	No	No
BS_EXYHZ6D4	7316-2622	No	No	No	No	No
BS_9DFBHHB5	7316-944	No	No	No	No	No
BS_ZZMYDZJW	7316-436	Yes	No	No	No	No
BS_699TN5RN	7316-1793	No	No	No	No	No
BS_KX6J8TRK	7316-3762	No	No	No	No	No
BS_YA8RBGD8	7316-1661	No	No	No	No	No
BS_V0Q1G94N	7316-485	Yes	No	No	No	No
BS_014EVM2D	7316-362	No	Yes	No	No	No
BS_GYXSDZ56	7316-390	Yes	No	No	No	No
BS_25T139TX	7316-2130	No	No	No	No	No
BS_E4QK839R	7316-167	No	No	No	No	No
BS_G7AGNB5G	7316-77	No	No	No	No	No
BS_FJWZ3M7V	7316-1779	Yes	No	No	No	No
BS_NRFQEQKP	7316-20	Yes	No	No	No	No
BS_KVV7001W	7316-324	No	No	No	No	No
BS_ZV9Z3SY6	7316-1794	Yes	No	No	No	No
BS_G5QBBHDV	7316-184	No	No	No	No	No
BS_NPQJ20KX	7316-1711	Yes	No	No	No	No
