cell_type	sample	score	type
NK cell	BS_063ERW0R	0.020146570075915173	stranded
T cell CD4+ (non-regulatory)	BS_063ERW0R	0	stranded
T cell CD8+	BS_063ERW0R	0	stranded
T cell regulatory (Tregs)	BS_063ERW0R	0.0036071415181225604	stranded
Myeloid dendritic cell	BS_063ERW0R	0.01045536187982309	stranded
uncharacterized cell	BS_063ERW0R	0.9206351024893249	stranded
B cell	BS_06AMMCXR	0.005880728307301637	stranded
Macrophage M1	BS_06AMMCXR	0.02622229924177509	stranded
Macrophage M2	BS_06AMMCXR	0.011532886327177621	stranded
Monocyte	BS_06AMMCXR	0	stranded
Neutrophil	BS_06AMMCXR	0	stranded
NK cell	BS_06AMMCXR	0.010378599473035452	stranded
T cell CD4+ (non-regulatory)	BS_06AMMCXR	0	stranded
T cell CD8+	BS_06AMMCXR	0	stranded
T cell regulatory (Tregs)	BS_06AMMCXR	0.0024352367476612293	stranded
Myeloid dendritic cell	BS_06AMMCXR	0.05987116828395205	stranded
uncharacterized cell	BS_06AMMCXR	0.8836790816190969	stranded
B cell	BS_06XH7EVF	0.005348023691117949	stranded
Macrophage M1	BS_06XH7EVF	0.029000467488946684	stranded
Macrophage M2	BS_06XH7EVF	0.019340876478743062	stranded
Monocyte	BS_06XH7EVF	0	stranded
Neutrophil	BS_06XH7EVF	0.013244013960035704	stranded
NK cell	BS_06XH7EVF	0.007436395544130976	stranded
T cell CD4+ (non-regulatory)	BS_06XH7EVF	8.2601382846344e-4	stranded
T cell CD8+	BS_06XH7EVF	0	stranded
T cell regulatory (Tregs)	BS_06XH7EVF	0.0028157263396134265	stranded
Myeloid dendritic cell	BS_06XH7EVF	0.003773608797056827	stranded
uncharacterized cell	BS_06XH7EVF	0.9182148738718919	stranded
B cell	BS_07ANYSYQ	0.022437462492024256	stranded
Macrophage M1	BS_07ANYSYQ	0	stranded
Macrophage M2	BS_07ANYSYQ	0.0016555227487954941	stranded
Monocyte	BS_07ANYSYQ	0.02159032927980351	stranded
Neutrophil	BS_07ANYSYQ	0	stranded
NK cell	BS_07ANYSYQ	0.010862338166301208	stranded
T cell CD4+ (non-regulatory)	BS_07ANYSYQ	0	stranded
T cell CD8+	BS_07ANYSYQ	0	stranded
T cell regulatory (Tregs)	BS_07ANYSYQ	0	stranded
Myeloid dendritic cell	BS_07ANYSYQ	0.016982817494346596	stranded
uncharacterized cell	BS_07ANYSYQ	0.9264715298187289	stranded
B cell	BS_09R7GDA7	0.024944226909698965	stranded
Macrophage M1	BS_09R7GDA7	0	stranded
Macrophage M2	BS_09R7GDA7	0	stranded
Monocyte	BS_09R7GDA7	0.04622955237487344	stranded
Neutrophil	BS_09R7GDA7	0	stranded
NK cell	BS_09R7GDA7	0.022859039945973356	stranded
T cell CD4+ (non-regulatory)	BS_09R7GDA7	0	stranded
T cell CD8+	BS_09R7GDA7	0	stranded
T cell regulatory (Tregs)	BS_09R7GDA7	0.0017992238491516621	stranded
Myeloid dendritic cell	BS_09R7GDA7	0.018163285729097388	stranded
uncharacterized cell	BS_09R7GDA7	0.8860046711912052	stranded
B cell	BS_0C7VZC0A	0.010131334149266107	stranded
Macrophage M1	BS_0C7VZC0A	8.573185427752296e-5	stranded
Macrophage M2	BS_0C7VZC0A	0.010319759159508094	stranded
Monocyte	BS_0C7VZC0A	0	stranded
Neutrophil	BS_0C7VZC0A	0	stranded
NK cell	BS_0C7VZC0A	0.012742329327035519	stranded
T cell CD4+ (non-regulatory)	BS_0C7VZC0A	0	stranded
T cell CD8+	BS_0C7VZC0A	0	stranded
T cell regulatory (Tregs)	BS_0C7VZC0A	0	stranded
Myeloid dendritic cell	BS_0C7VZC0A	0.05122711888809379	stranded
uncharacterized cell	BS_0C7VZC0A	0.9154937266218189	stranded
B cell	BS_0BXY0F9N	0.0016437446671486462	stranded
Macrophage M1	BS_0BXY0F9N	0	stranded
Macrophage M2	BS_0BXY0F9N	0.0036525341830633273	stranded
Monocyte	BS_0BXY0F9N	0	stranded
Neutrophil	BS_0BXY0F9N	0	stranded
NK cell	BS_0BXY0F9N	0.0206313790271638	stranded
T cell CD4+ (non-regulatory)	BS_0BXY0F9N	0	stranded
T cell CD8+	BS_0BXY0F9N	0	stranded
T cell regulatory (Tregs)	BS_0BXY0F9N	0	stranded
Myeloid dendritic cell	BS_0BXY0F9N	0.012333627867364368	stranded
uncharacterized cell	BS_0BXY0F9N	0.9617387142552599	stranded
B cell	BS_0RQ4P069	0.006074466258043516	stranded
Macrophage M1	BS_0RQ4P069	0.0187195230367623	stranded
Macrophage M2	BS_0RQ4P069	0	stranded
Monocyte	BS_0RQ4P069	0	stranded
Neutrophil	BS_0RQ4P069	0	stranded
NK cell	BS_0RQ4P069	0.0017709194781096308	stranded
T cell CD4+ (non-regulatory)	BS_0RQ4P069	0	stranded
T cell CD8+	BS_0RQ4P069	0	stranded
T cell regulatory (Tregs)	BS_0RQ4P069	0.006117376999702704	stranded
Myeloid dendritic cell	BS_0RQ4P069	0	stranded
uncharacterized cell	BS_0RQ4P069	0.967317714227382	stranded
B cell	BS_0GDJQANN	0.00220235916519256	stranded
Macrophage M1	BS_0GDJQANN	0	stranded
Macrophage M2	BS_0GDJQANN	0.01672131134058979	stranded
Monocyte	BS_0GDJQANN	0.00637648123793055	stranded
Neutrophil	BS_0GDJQANN	0	stranded
NK cell	BS_0GDJQANN	0.014021914815497317	stranded
T cell CD4+ (non-regulatory)	BS_0GDJQANN	0.014081745217202759	stranded
T cell CD8+	BS_0GDJQANN	0	stranded
T cell regulatory (Tregs)	BS_0GDJQANN	0.00923152021079148	stranded
Myeloid dendritic cell	BS_0GDJQANN	0.013029659610192758	stranded
uncharacterized cell	BS_0GDJQANN	0.9243350084026027	stranded
B cell	BS_0HW7W7SD	0.005539272816905101	stranded
Macrophage M1	BS_0HW7W7SD	0	stranded
Macrophage M2	BS_0HW7W7SD	0.0028839415939944683	stranded
Monocyte	BS_0HW7W7SD	0.024644052328220763	stranded
Neutrophil	BS_0HW7W7SD	0	stranded
NK cell	BS_0HW7W7SD	0.007658654840551117	stranded
T cell CD4+ (non-regulatory)	BS_0HW7W7SD	0.014361109221063406	stranded
T cell CD8+	BS_0HW7W7SD	0	stranded
T cell regulatory (Tregs)	BS_0HW7W7SD	9.145927089814132e-4	stranded
Myeloid dendritic cell	BS_0HW7W7SD	0	stranded
uncharacterized cell	BS_0HW7W7SD	0.9439983764902837	stranded
B cell	BS_0J9SHHSC	0.008105600761413811	stranded
Macrophage M1	BS_0J9SHHSC	0.003472292640452895	stranded
Macrophage M2	BS_0J9SHHSC	0.009826974462427807	stranded
Monocyte	BS_0J9SHHSC	8.512709142882147e-4	stranded
Neutrophil	BS_0J9SHHSC	0	stranded
NK cell	BS_0J9SHHSC	0.019391535340728783	stranded
T cell CD4+ (non-regulatory)	BS_0J9SHHSC	0	stranded
T cell CD8+	BS_0J9SHHSC	0	stranded
T cell regulatory (Tregs)	BS_0J9SHHSC	0.005011218257706274	stranded
Myeloid dendritic cell	BS_0J9SHHSC	0.031136779502362853	stranded
uncharacterized cell	BS_0J9SHHSC	0.9222043281206194	stranded
B cell	BS_0QYS36NR	0.003978703075929819	stranded
Macrophage M1	BS_0QYS36NR	0.05656815788790709	stranded
Macrophage M2	BS_0QYS36NR	0	stranded
Monocyte	BS_0QYS36NR	0	stranded
Neutrophil	BS_0QYS36NR	0	stranded
NK cell	BS_0QYS36NR	0.008879869972631476	stranded
T cell CD4+ (non-regulatory)	BS_0QYS36NR	0	stranded
T cell CD8+	BS_0QYS36NR	0	stranded
T cell regulatory (Tregs)	BS_0QYS36NR	0.0014529633431691802	stranded
Myeloid dendritic cell	BS_0QYS36NR	0	stranded
uncharacterized cell	BS_0QYS36NR	0.9291203057203624	stranded
B cell	BS_0RF0EZTV	0.005356151455980752	stranded
Macrophage M1	BS_0RF0EZTV	0.0016301808672724166	stranded
Macrophage M2	BS_0RF0EZTV	0.0018082155619503068	stranded
Monocyte	BS_0RF0EZTV	0.039378360278294985	stranded
Neutrophil	BS_0RF0EZTV	0	stranded
NK cell	BS_0RF0EZTV	0.008202289502753516	stranded
T cell CD4+ (non-regulatory)	BS_0RF0EZTV	0	stranded
T cell CD8+	BS_0RF0EZTV	7.220521872989917e-4	stranded
T cell regulatory (Tregs)	BS_0RF0EZTV	0.004131278877366567	stranded
Myeloid dendritic cell	BS_0RF0EZTV	0	stranded
uncharacterized cell	BS_0RF0EZTV	0.9387714712690824	stranded
B cell	BS_0SCXXM6N	0.010622909660021511	stranded
Macrophage M1	BS_0SCXXM6N	0.002821226533876535	stranded
Macrophage M2	BS_0SCXXM6N	0.01825490132998396	stranded
Monocyte	BS_0SCXXM6N	0	stranded
Neutrophil	BS_0SCXXM6N	0	stranded
NK cell	BS_0SCXXM6N	0.02027180371837534	stranded
T cell CD4+ (non-regulatory)	BS_0SCXXM6N	0	stranded
T cell CD8+	BS_0SCXXM6N	0	stranded
T cell regulatory (Tregs)	BS_0SCXXM6N	0.004304367657757183	stranded
Myeloid dendritic cell	BS_0SCXXM6N	0.04969517496353394	stranded
uncharacterized cell	BS_0SCXXM6N	0.8940296161364516	stranded
B cell	BS_0SPCTBZY	0.003024449785739065	stranded
Macrophage M1	BS_0SPCTBZY	0.010707643952568291	stranded
Macrophage M2	BS_0SPCTBZY	0.009123387746019902	stranded
Monocyte	BS_0SPCTBZY	0	stranded
Neutrophil	BS_0SPCTBZY	0.016401209844113616	stranded
NK cell	BS_0SPCTBZY	0.0031425584236629235	stranded
T cell CD4+ (non-regulatory)	BS_0SPCTBZY	0.0030965281949241644	stranded
T cell CD8+	BS_0SPCTBZY	0.0014111752446232062	stranded
T cell regulatory (Tregs)	BS_0SPCTBZY	0.003135852517195376	stranded
Myeloid dendritic cell	BS_0SPCTBZY	0.0024139889725875822	stranded
uncharacterized cell	BS_0SPCTBZY	0.9475432053185658	stranded
B cell	BS_0T17SY47	0.004220473328031498	stranded
Macrophage M1	BS_0T17SY47	0	stranded
Macrophage M2	BS_0T17SY47	0	stranded
Monocyte	BS_0T17SY47	0.019245449240339312	stranded
Neutrophil	BS_0T17SY47	0	stranded
NK cell	BS_0T17SY47	0.012439559074502627	stranded
T cell CD4+ (non-regulatory)	BS_0T17SY47	0	stranded
T cell CD8+	BS_0T17SY47	0	stranded
T cell regulatory (Tregs)	BS_0T17SY47	0	stranded
Myeloid dendritic cell	BS_0T17SY47	0.006717923924087615	stranded
uncharacterized cell	BS_0T17SY47	0.9573765944330389	stranded
B cell	BS_0VRSD9V3	0.002470381267319684	stranded
Macrophage M1	BS_0VRSD9V3	0	stranded
Macrophage M2	BS_0VRSD9V3	6.965278287474992e-4	stranded
Monocyte	BS_0VRSD9V3	0.025753665740427898	stranded
Neutrophil	BS_0VRSD9V3	0	stranded
NK cell	BS_0VRSD9V3	0.010782209790280536	stranded
T cell CD4+ (non-regulatory)	BS_0VRSD9V3	0	stranded
T cell CD8+	BS_0VRSD9V3	0	stranded
T cell regulatory (Tregs)	BS_0VRSD9V3	0.0056233833257846545	stranded
Myeloid dendritic cell	BS_0VRSD9V3	0	stranded
uncharacterized cell	BS_0VRSD9V3	0.9546738320474398	stranded
B cell	BS_0WQJP6ZG	0.010297785131823842	stranded
Macrophage M1	BS_0WQJP6ZG	0.005608496355997925	stranded
Macrophage M2	BS_0WQJP6ZG	0.009749034597667953	stranded
Monocyte	BS_0WQJP6ZG	0	stranded
Neutrophil	BS_0WQJP6ZG	0	stranded
NK cell	BS_0WQJP6ZG	0.004012564046348173	stranded
T cell CD4+ (non-regulatory)	BS_0WQJP6ZG	0	stranded
T cell CD8+	BS_0WQJP6ZG	0	stranded
T cell regulatory (Tregs)	BS_0WQJP6ZG	2.3520810542914872e-4	stranded
Myeloid dendritic cell	BS_0WQJP6ZG	0.023806162217420438	stranded
uncharacterized cell	BS_0WQJP6ZG	0.9462907495453126	stranded
B cell	BS_0WVJYM9R	0.004689048075850387	stranded
Macrophage M1	BS_0WVJYM9R	0.003001623495621002	stranded
Macrophage M2	BS_0WVJYM9R	0.009294927827276584	stranded
Monocyte	BS_0WVJYM9R	0.027270667949035314	stranded
Neutrophil	BS_0WVJYM9R	0	stranded
NK cell	BS_0WVJYM9R	0.012529589512318357	stranded
T cell CD4+ (non-regulatory)	BS_0WVJYM9R	0	stranded
T cell CD8+	BS_0WVJYM9R	0	stranded
T cell regulatory (Tregs)	BS_0WVJYM9R	0	stranded
Myeloid dendritic cell	BS_0WVJYM9R	0.006981396106748894	stranded
uncharacterized cell	BS_0WVJYM9R	0.9362327470331495	stranded
B cell	BS_0X9EGHY2	0.01044561851706485	stranded
Macrophage M1	BS_0X9EGHY2	0	stranded
Macrophage M2	BS_0X9EGHY2	0	stranded
Monocyte	BS_0X9EGHY2	0.0505524410965407	stranded
Neutrophil	BS_0X9EGHY2	0	stranded
NK cell	BS_0X9EGHY2	0.025178674418988068	stranded
T cell CD4+ (non-regulatory)	BS_0X9EGHY2	0	stranded
T cell CD8+	BS_0X9EGHY2	0	stranded
T cell regulatory (Tregs)	BS_0X9EGHY2	0.001624573982606488	stranded
Myeloid dendritic cell	BS_0X9EGHY2	0.001972311642240994	stranded
uncharacterized cell	BS_0X9EGHY2	0.910226380342559	stranded
B cell	BS_0XEG6SNV	0.026302440240597035	stranded
Macrophage M1	BS_0XEG6SNV	1.306311771554902e-4	stranded
Macrophage M2	BS_0XEG6SNV	2.4846157845602516e-4	stranded
Monocyte	BS_0XEG6SNV	0.05355005734508751	stranded
Neutrophil	BS_0XEG6SNV	0	stranded
NK cell	BS_0XEG6SNV	0.02539339873044489	stranded
T cell CD4+ (non-regulatory)	BS_0XEG6SNV	0	stranded
T cell CD8+	BS_0XEG6SNV	0	stranded
T cell regulatory (Tregs)	BS_0XEG6SNV	0	stranded
Myeloid dendritic cell	BS_0XEG6SNV	0.049471928074737666	stranded
uncharacterized cell	BS_0XEG6SNV	0.8449030828535214	stranded
B cell	BS_0Y66ZBWE	0.0097305894078939	stranded
Macrophage M1	BS_0Y66ZBWE	0	stranded
Macrophage M2	BS_0Y66ZBWE	0	stranded
Monocyte	BS_0Y66ZBWE	0.04106745995164364	stranded
Neutrophil	BS_0Y66ZBWE	0	stranded
NK cell	BS_0Y66ZBWE	0.018426268733643725	stranded
T cell CD4+ (non-regulatory)	BS_0Y66ZBWE	0	stranded
T cell CD8+	BS_0Y66ZBWE	0	stranded
T cell regulatory (Tregs)	BS_0Y66ZBWE	2.6304876738807436e-4	stranded
Myeloid dendritic cell	BS_0Y66ZBWE	0	stranded
uncharacterized cell	BS_0Y66ZBWE	0.9305126331394307	stranded
B cell	BS_1A6MQ9ZA	0.004144528902497682	stranded
Macrophage M1	BS_1A6MQ9ZA	0.0012113316132952533	stranded
Macrophage M2	BS_1A6MQ9ZA	0.003773721202588119	stranded
Monocyte	BS_1A6MQ9ZA	0.003910621093203414	stranded
Neutrophil	BS_1A6MQ9ZA	0	stranded
NK cell	BS_1A6MQ9ZA	0.013485569149924272	stranded
T cell CD4+ (non-regulatory)	BS_1A6MQ9ZA	0.002262780905397966	stranded
T cell CD8+	BS_1A6MQ9ZA	0	stranded
T cell regulatory (Tregs)	BS_1A6MQ9ZA	0.0035554592767312967	stranded
Myeloid dendritic cell	BS_1A6MQ9ZA	0.031731204540066296	stranded
uncharacterized cell	BS_1A6MQ9ZA	0.9359247833162957	stranded
B cell	BS_1021ZGQT	0.0041502667599860425	stranded
Macrophage M1	BS_1021ZGQT	0	stranded
Macrophage M2	BS_1021ZGQT	0.008159813629606216	stranded
Monocyte	BS_1021ZGQT	0	stranded
Neutrophil	BS_1021ZGQT	0	stranded
NK cell	BS_1021ZGQT	0.003973300046670149	stranded
T cell CD4+ (non-regulatory)	BS_1021ZGQT	0.022436686576704865	stranded
T cell CD8+	BS_1021ZGQT	0	stranded
T cell regulatory (Tregs)	BS_1021ZGQT	3.247119368136773e-5	stranded
Myeloid dendritic cell	BS_1021ZGQT	0.014392213204770231	stranded
uncharacterized cell	BS_1021ZGQT	0.94685524858858106	stranded
B cell	BS_10APZRVT	0.004106187718110798	stranded
Macrophage M1	BS_10APZRVT	0.005181295622641137	stranded
Macrophage M2	BS_10APZRVT	0.01565776511792926	stranded
Monocyte	BS_10APZRVT	0	stranded
Neutrophil	BS_10APZRVT	0	stranded
NK cell	BS_10APZRVT	0.004173345380379042	stranded
T cell CD4+ (non-regulatory)	BS_10APZRVT	0.023675162365759835	stranded
T cell CD8+	BS_10APZRVT	0	stranded
T cell regulatory (Tregs)	BS_10APZRVT	6.787265542747575e-4	stranded
Myeloid dendritic cell	BS_10APZRVT	0.011269654163962587	stranded
uncharacterized cell	BS_10APZRVT	0.9352578630769426	stranded
B cell	BS_264RCK7G	0.012171176513008355	stranded
Macrophage M1	BS_264RCK7G	5.698989929198592e-4	stranded
Macrophage M2	BS_264RCK7G	0	stranded
Monocyte	BS_264RCK7G	0.01812083097370547	stranded
Neutrophil	BS_264RCK7G	0	stranded
NK cell	BS_264RCK7G	0.021555022124312376	stranded
T cell CD4+ (non-regulatory)	BS_264RCK7G	0	stranded
T cell CD8+	BS_264RCK7G	0	stranded
T cell regulatory (Tregs)	BS_264RCK7G	0.004231198936680035	stranded
Myeloid dendritic cell	BS_264RCK7G	0.018887895471039404	stranded
uncharacterized cell	BS_264RCK7G	0.9244639769883345	stranded
B cell	BS_11WY983P	0.02047450843035243	stranded
Macrophage M1	BS_11WY983P	0.08151766870042987	stranded
Macrophage M2	BS_11WY983P	0.08985356687247102	stranded
Monocyte	BS_11WY983P	0	stranded
Neutrophil	BS_11WY983P	0	stranded
NK cell	BS_11WY983P	8.16666308633685e-4	stranded
T cell CD4+ (non-regulatory)	BS_11WY983P	0	stranded
T cell CD8+	BS_11WY983P	0	stranded
T cell regulatory (Tregs)	BS_11WY983P	0	stranded
Myeloid dendritic cell	BS_11WY983P	0.038209455871604195	stranded
uncharacterized cell	BS_11WY983P	0.7691281338165088	stranded
B cell	BS_13CGKADW	0.008281265535526536	stranded
Macrophage M1	BS_13CGKADW	0	stranded
Macrophage M2	BS_13CGKADW	1.398983199089931e-4	stranded
Monocyte	BS_13CGKADW	0.05193548863221716	stranded
Neutrophil	BS_13CGKADW	0	stranded
NK cell	BS_13CGKADW	0.019956151464195968	stranded
T cell CD4+ (non-regulatory)	BS_13CGKADW	0	stranded
T cell CD8+	BS_13CGKADW	0	stranded
T cell regulatory (Tregs)	BS_13CGKADW	0	stranded
Myeloid dendritic cell	BS_13CGKADW	0.004427677623266937	stranded
uncharacterized cell	BS_13CGKADW	0.9152595184248844	stranded
B cell	BS_15ETQ0E4	0.004944986628258455	stranded
Macrophage M1	BS_15ETQ0E4	0.008864437950105802	stranded
Macrophage M2	BS_15ETQ0E4	0.008734568535345459	stranded
Monocyte	BS_15ETQ0E4	0.002838128032618777	stranded
Neutrophil	BS_15ETQ0E4	2.178144383427119e-4	stranded
NK cell	BS_15ETQ0E4	0.003117929658300908	stranded
T cell CD4+ (non-regulatory)	BS_15ETQ0E4	0	stranded
T cell CD8+	BS_15ETQ0E4	6.707347368139816e-4	stranded
T cell regulatory (Tregs)	BS_15ETQ0E4	0.006520583808032488	stranded
Myeloid dendritic cell	BS_15ETQ0E4	0.0027763280980991093	stranded
uncharacterized cell	BS_15ETQ0E4	0.9613144881140824	stranded
B cell	BS_1607397Q	0.14711634248678399	stranded
Macrophage M1	BS_1607397Q	5.875481935588886e-4	stranded
Macrophage M2	BS_1607397Q	0	stranded
Monocyte	BS_1607397Q	0	stranded
Neutrophil	BS_1607397Q	0.010162241605345165	stranded
NK cell	BS_1607397Q	0	stranded
T cell CD4+ (non-regulatory)	BS_1607397Q	0	stranded
T cell CD8+	BS_1607397Q	0	stranded
T cell regulatory (Tregs)	BS_1607397Q	0	stranded
Myeloid dendritic cell	BS_1607397Q	0.003761941496325236	stranded
uncharacterized cell	BS_1607397Q	0.8383719262179867	stranded
B cell	BS_17WYVEEC	0.007754214528143492	stranded
Macrophage M1	BS_17WYVEEC	8.015540374785652e-4	stranded
Macrophage M2	BS_17WYVEEC	0.004227792380362748	stranded
Monocyte	BS_17WYVEEC	0.007664587345476961	stranded
Neutrophil	BS_17WYVEEC	0	stranded
NK cell	BS_17WYVEEC	0.014939515778487253	stranded
T cell CD4+ (non-regulatory)	BS_17WYVEEC	0.0025433329077808094	stranded
T cell CD8+	BS_17WYVEEC	0	stranded
T cell regulatory (Tregs)	BS_17WYVEEC	0.0029773670726075314	stranded
Myeloid dendritic cell	BS_17WYVEEC	0.02148765306110856	stranded
uncharacterized cell	BS_17WYVEEC	0.9376039828885541	stranded
B cell	BS_196BBNEJ	0.003563096060635458	stranded
Macrophage M1	BS_196BBNEJ	0.01356278266507818	stranded
Macrophage M2	BS_196BBNEJ	4.68989091640037e-4	stranded
Monocyte	BS_196BBNEJ	0.024725191957982375	stranded
Neutrophil	BS_196BBNEJ	0	stranded
NK cell	BS_196BBNEJ	0.024551636958135625	stranded
T cell CD4+ (non-regulatory)	BS_196BBNEJ	0	stranded
T cell CD8+	BS_196BBNEJ	0	stranded
T cell regulatory (Tregs)	BS_196BBNEJ	0	stranded
Myeloid dendritic cell	BS_196BBNEJ	0.003811944654468101	stranded
uncharacterized cell	BS_196BBNEJ	0.9293163586120602	stranded
B cell	BS_1D6PZNKN	0.0020644624434453343	stranded
Macrophage M1	BS_1D6PZNKN	0	stranded
Macrophage M2	BS_1D6PZNKN	0.0023912831688960557	stranded
Monocyte	BS_1D6PZNKN	0	stranded
Neutrophil	BS_1D6PZNKN	0	stranded
NK cell	BS_1D6PZNKN	0.0069887146402254855	stranded
T cell CD4+ (non-regulatory)	BS_1D6PZNKN	0.016174295489263142	stranded
T cell CD8+	BS_1D6PZNKN	0	stranded
T cell regulatory (Tregs)	BS_1D6PZNKN	2.058091295779154e-4	stranded
Myeloid dendritic cell	BS_1D6PZNKN	0.05337885962794089	stranded
uncharacterized cell	BS_1D6PZNKN	0.9187965755006512	stranded
B cell	BS_1EBQ3T20	0.010030177552665291	stranded
Macrophage M1	BS_1EBQ3T20	3.8813708638994824e-4	stranded
Macrophage M2	BS_1EBQ3T20	0.008245385923403601	stranded
Monocyte	BS_1EBQ3T20	0.004661494625592229	stranded
Neutrophil	BS_1EBQ3T20	0	stranded
NK cell	BS_1EBQ3T20	0.012727776081975815	stranded
T cell CD4+ (non-regulatory)	BS_1EBQ3T20	0	stranded
T cell CD8+	BS_1EBQ3T20	0	stranded
T cell regulatory (Tregs)	BS_1EBQ3T20	0.0021184719934275197	stranded
Myeloid dendritic cell	BS_1EBQ3T20	0.02135883559988754	stranded
uncharacterized cell	BS_1EBQ3T20	0.940469721136658	stranded
B cell	BS_1EN5V3XW	0.004584033705802327	stranded
Macrophage M1	BS_1EN5V3XW	0	stranded
Macrophage M2	BS_1EN5V3XW	0	stranded
Monocyte	BS_1EN5V3XW	0.04686559952802616	stranded
Neutrophil	BS_1EN5V3XW	0	stranded
NK cell	BS_1EN5V3XW	0.030119371789203524	stranded
T cell CD4+ (non-regulatory)	BS_1EN5V3XW	0.03674221457890376	stranded
T cell CD8+	BS_1EN5V3XW	0	stranded
T cell regulatory (Tregs)	BS_1EN5V3XW	0.004492056061746018	stranded
Myeloid dendritic cell	BS_1EN5V3XW	0.009578029047836344	stranded
uncharacterized cell	BS_1EN5V3XW	0.8676186952884818	stranded
B cell	BS_1G3WYEN3	0.015954588493836953	stranded
Macrophage M1	BS_1G3WYEN3	0	stranded
Macrophage M2	BS_1G3WYEN3	0	stranded
