region	status	short_histology	count	region_type
16p13.3	loss	Ependymoma	16	cytoband
16p13.3	loss	Ganglioglioma	11	cytoband
16p13.3	loss	HGAT	45	cytoband
16p13.3	loss	LGAT	61	cytoband
16p13.3	loss	Medulloblastoma	28	cytoband
16p13.3	loss	Meningioma	9	cytoband
16p13.3	loss	Neurofibroma	5	cytoband
16p13.3	loss	Other	9	cytoband
16p13.3	loss	Schwannoma	5	cytoband
16q	loss	All	5	arm
16q12.1	loss	All	240	cytoband
16q12.1	loss	ATRT	7	cytoband
16q12.1	loss	Choroid plexus tumor	7	cytoband
16q12.1	loss	DNET	5	cytoband
16q12.1	loss	Dysplasia	4	cytoband
16q12.1	loss	Ependymoma	17	cytoband
16q12.1	loss	Ganglioglioma	11	cytoband
16q12.1	loss	HGAT	48	cytoband
16q12.1	loss	LGAT	61	cytoband
16q12.1	loss	Medulloblastoma	31	cytoband
16q12.1	loss	Meningioma	8	cytoband
16q12.1	loss	Neurofibroma	5	cytoband
16q12.1	loss	Other	9	cytoband
16q12.1	loss	Schwannoma	5	cytoband
16q12.2	gain	All	4	cytoband
16q12.2	loss	All	245	cytoband
16q12.2	loss	ATRT	7	cytoband
16q12.2	loss	Choroid plexus tumor	7	cytoband
16q12.2	loss	DNET	5	cytoband
16q12.2	loss	Dysplasia	4	cytoband
16q12.2	loss	Ependymoma	18	cytoband
16q12.2	loss	Ganglioglioma	11	cytoband
16q12.2	loss	HGAT	50	cytoband
16q12.2	loss	LGAT	61	cytoband
16q12.2	loss	Medulloblastoma	32	cytoband
16q12.2	loss	Meningioma	9	cytoband
16q12.2	loss	Neurofibroma	5	cytoband
16q12.2	loss	Other	9	cytoband
16q12.2	loss	Schwannoma	5	cytoband
16q13	loss	All	245	cytoband
16q13	loss	ATRT	7	cytoband
16q13	loss	Choroid plexus tumor	7	cytoband
16q13	loss	DNET	5	cytoband
16q13	loss	Dysplasia	4	cytoband
16q13	loss	Ependymoma	18	cytoband
16q13	loss	Ganglioglioma	11	cytoband
16q13	loss	HGAT	50	cytoband
16q13	loss	LGAT	61	cytoband
16q13	loss	Medulloblastoma	32	cytoband
16q13	loss	Meningioma	9	cytoband
16q13	loss	Neurofibroma	5	cytoband
16q13	loss	Other	9	cytoband
16q13	loss	Schwannoma	5	cytoband
16q21	loss	All	244	cytoband
16q21	loss	ATRT	7	cytoband
16q21	loss	Choroid plexus tumor	7	cytoband
16q21	loss	DNET	5	cytoband
16q21	loss	Dysplasia	4	cytoband
16q21	loss	Ependymoma	19	cytoband
16q21	loss	Ganglioglioma	11	cytoband
16q21	loss	HGAT	48	cytoband
16q21	loss	LGAT	61	cytoband
16q21	loss	Medulloblastoma	32	cytoband
16q21	loss	Meningioma	9	cytoband
16q21	loss	Neurofibroma	5	cytoband
16q21	loss	Other	9	cytoband
16q21	loss	Schwannoma	5	cytoband
16q22.1	loss	All	242	cytoband
16q22.1	loss	ATRT	7	cytoband
16q22.1	loss	Choroid plexus tumor	7	cytoband
16q22.1	loss	DNET	5	cytoband
16q22.1	loss	Dysplasia	4	cytoband
16q22.1	loss	Ependymoma	19	cytoband
16q22.1	loss	Ganglioglioma	11	cytoband
16q22.1	loss	HGAT	47	cytoband
16q22.1	loss	LGAT	61	cytoband
16q22.1	loss	Medulloblastoma	31	cytoband
16q22.1	loss	Meningioma	9	cytoband
16q22.1	loss	Neurofibroma	5	cytoband
16q22.1	loss	Other	9	cytoband
16q22.1	loss	Schwannoma	5	cytoband
16q22.2	loss	All	5	cytoband
16q22.3	loss	All	241	cytoband
16q22.3	loss	ATRT	7	cytoband
16q22.3	loss	Choroid plexus tumor	7	cytoband
16q22.3	loss	DNET	5	cytoband
16q22.3	loss	Dysplasia	4	cytoband
16q22.3	loss	Ependymoma	17	cytoband
16q22.3	loss	Ganglioglioma	11	cytoband
16q22.3	loss	HGAT	49	cytoband
16q22.3	loss	LGAT	61	cytoband
16q22.3	loss	Medulloblastoma	32	cytoband
16q22.3	loss	Meningioma	8	cytoband
16q22.3	loss	Neurofibroma	5	cytoband
