Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_9GJHMA3J	2	2	2	0	72	2	0	0	0	80
BS_C3X4AEK5	2	1	2	0	67	0	0	1	7	80
BS_2CD1XWVP	0	0	1	0	68	1	0	3	6	79
BS_80078QDG	3	0	2	0	60	7	0	7	0	79
BS_TX2WGF8K	0	0	2	0	71	2	0	1	3	79
BS_Y0DGBKTY	1	0	1	0	73	4	0	0	0	79
BS_YRC54VPP	2	1	1	0	62	3	0	1	9	79
BS_6FV7BDE3	0	0	0	0	71	6	0	0	1	78
BS_AEMRNSQX	1	0	1	0	67	1	0	4	4	78
BS_EJV0N3BX	1	0	0	1	74	1	0	1	0	78
BS_ERAWW3H7	2	0	0	0	70	4	0	0	2	78
BS_J5J0EA7Y	1	2	0	0	67	2	0	0	6	78
BS_MJ8EGM54	0	0	2	1	68	4	0	1	2	78
BS_PPY0EWPG	1	0	1	0	74	0	1	1	0	78
BS_T8TCEBB1	3	1	2	0	67	1	0	3	1	78
BS_Z9PKZ4RT	1	1	1	0	64	0	0	1	10	78
BS_1RTE2KEX	0	1	3	0	67	5	0	1	0	77
BS_5Z4XQC9X	17	0	2	0	49	0	0	8	1	77
BS_BM95DGCQ	1	0	4	0	69	1	0	1	1	77
BS_1M63B97V	7	0	1	0	62	3	0	3	0	76
BS_68TZMZH1	1	0	1	0	69	3	0	2	0	76
BS_AG0BZN6F	0	0	2	0	72	1	0	0	1	76
BS_NCGGFG6H	0	0	2	1	69	1	0	2	1	76
BS_NDSWS9TS	2	0	0	0	58	3	0	0	13	76
BS_4RS1SC48	1	0	3	0	61	0	0	2	8	75
BS_YEWX69X4	0	0	0	0	69	1	0	0	5	75
BS_1EYKDS0Z	1	0	1	1	66	4	0	0	1	74
BS_2RX2NF1Q	5	0	2	1	63	3	0	0	0	74
BS_5ZRZC3ZM	0	0	1	0	68	1	0	1	3	74
BS_DE26D072	2	1	1	1	64	3	0	1	1	74
BS_EHBH0NYX	0	0	1	1	65	3	0	1	2	73
BS_JDMM2XG4	1	0	1	0	64	5	0	1	1	73
BS_SFH8TGKT	0	0	1	0	67	0	0	2	3	73
BS_00TRPEQX	1	1	4	0	62	2	0	2	0	72
