Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_1M63B97V	7	0	0	0	56	3	0	3	0	69
BS_EJ1H9PZY	10	2	5	0	45	1	0	4	2	69
BS_QZTPJ8YW	0	1	3	0	60	0	0	1	4	69
BS_GKN0B47F	1	0	0	0	61	2	0	0	4	68
BS_22VCR7DF	12	5	6	1	36	5	0	2	0	67
BS_25VZM81R	2	1	0	0	56	5	1	2	0	67
BS_3CG2N4PD	2	1	0	0	59	3	0	2	0	67
BS_55N7KFHW	2	0	1	0	58	1	0	1	4	67
BS_86QSEFS7	6	2	4	1	50	1	0	3	0	67
BS_QMHND3QK	21	0	2	0	37	5	0	2	0	67
BS_X7QJCVJB	5	1	1	0	56	3	0	0	1	67
BS_ZP89F1JY	3	0	1	0	54	3	0	2	4	67
BS_0W8AWY10	1	0	1	1	56	1	0	0	6	66
BS_47X3VAM0	0	0	0	0	56	1	1	4	4	66
BS_9GN1QA3Q	2	1	3	0	50	3	1	1	5	66
BS_JGKRN7NA	1	3	1	0	56	2	0	3	0	66
BS_QA0W86WP	0	0	0	0	59	0	0	3	4	66
BS_4RS1SC48	1	0	0	0	51	2	0	2	9	65
BS_D3KVGMRJ	1	0	2	0	57	0	1	0	4	65
BS_FHFVCQ41	1	0	1	1	60	0	0	2	0	65
BS_FSM39DXA	0	0	0	0	59	1	0	1	4	65
BS_MZJJRDZF	2	1	3	0	58	0	0	0	1	65
BS_19EJ85F8	0	1	2	0	56	2	0	2	0	63
BS_HBAKYKQM	1	3	1	0	50	1	1	6	0	63
BS_HYGK88B0	42	0	1	0	19	1	0	0	0	63
BS_M8EBKZDG	1	0	1	0	56	0	0	1	4	63
BS_QX754ADQ	1	0	2	1	53	0	0	0	6	63
BS_YRC54VPP	1	1	0	0	57	0	0	2	2	63
BS_8Q8N6AHW	9	1	3	1	44	3	0	1	0	62
BS_CK7CPM73	3	0	1	0	51	0	0	3	4	62
BS_EFBBP9H3	3	3	2	1	47	1	0	4	1	62
BS_N8D9FH6M	1	0	2	0	54	0	0	1	4	62
BS_XMP9XNR9	2	3	1	0	50	1	0	4	1	62
BS_FF73TT6D	1	0	0	0	54	2	0	2	2	61
BS_M28HG0NT	1	2	1	0	45	6	0	1	5	61
BS_RXP2ZRQT	9	1	2	0	41	2	0	6	0	61
BS_9JVGXA2W	2	1	2	0	52	0	0	0	3	60
BS_AWV1EDYB	0	0	3	0	50	0	0	2	5	60
BS_G61CN2V0	0	0	4	0	49	0	1	3	3	60
BS_J8EK6RNF	6	1	7	0	43	1	0	2	0	60
BS_JNS7Q60A	3	3	2	0	42	3	1	4	2	60
BS_MW16Y7ME	3	0	3	0	47	0	0	1	6	60
BS_06GPPDHZ	2	0	0	0	53	1	0	1	2	59
BS_AHAXPFG3	5	0	1	0	42	6	1	3	1	59
BS_CPYV7AHD	2	0	1	0	50	1	0	0	5	59
BS_EPM623G4	7	1	3	0	44	3	0	1	0	59
BS_TRGECFNP	3	0	0	0	50	4	0	1	1	59
BS_WP2D11SK	0	1	4	0	49	1	0	0	4	59
BS_YZD4SSMA	6	0	1	0	48	4	0	0	0	59
BS_ZJZFT0AJ	2	2	4	0	48	0	0	2	1	59
BS_3AERRZQT	2	1	1	0	51	0	1	0	2	58
BS_KKWQW01N	0	1	1	1	44	1	0	1	9	58
BS_QQP17PDQ	4	0	2	0	47	3	0	1	1	58
BS_Z9PKZ4RT	0	2	0	0	47	1	0	0	8	58
BS_D6STCMQS	6	5	5	0	31	4	1	5	0	57
BS_DC7XYYG8	0	0	8	0	40	0	1	3	5	57
BS_EDZCAHR2	0	0	4	0	41	0	0	2	10	57
BS_MCM78YPC	1	1	2	0	47	2	0	1	3	57
BS_8Q8CAY84	1	0	1	0	49	0	0	2	3	56
BS_B91XGSA5	1	2	0	0	48	2	0	0	3	56
BS_BBTT7DH4	10	3	4	0	35	0	0	3	1	56
BS_MFTAVQ5C	4	0	3	0	45	1	0	1	2	56
BS_TX2WGF8K	0	1	1	1	45	0	1	3	4	56
BS_V2MDX7HG	0	0	0	0	49	1	0	3	3	56
BS_YKQP4SBX	0	0	2	0	50	1	0	0	3	56
BS_95RRF4NE	0	0	0	0	45	1	0	4	5	55
BS_9DN4QR6E	9	6	6	0	27	5	0	2	0	55
BS_B4DY7ET3	0	2	5	0	41	1	0	3	3	55
BS_JVTQD8HH	2	1	0	0	48	1	0	0	3	55
BS_S34SCYW4	1	1	2	0	47	1	0	2	1	55
BS_Z4S81HG1	1	1	2	0	46	1	0	2	2	55
BS_ZPF89720	0	0	3	0	47	0	0	0	5	55
BS_03SSN1N2	3	0	0	0	48	0	0	1	2	54
BS_1Q524P3B	11	6	3	0	27	3	0	4	0	54
BS_1RF75MK2	0	1	2	0	45	1	0	0	5	54
BS_CN7PB0DN	0	0	2	0	51	0	0	0	1	54
BS_NS8G0465	0	0	1	0	47	0	1	3	2	54
BS_QK61ST4T	0	0	3	1	41	0	0	4	5	54
BS_YBCQBCQC	7	1	6	1	30	4	0	5	0	54
BS_ZCY4ECNV	3	0	2	0	47	0	0	2	0	54
BS_6X3Z0AVR	2	0	1	0	38	1	0	2	9	53
BS_Q88059DJ	1	0	1	0	45	0	2	1	3	53
BS_QZRP3NSG	7	2	1	0	40	1	0	2	0	53
BS_V3ZNXRHK	0	0	1	0	46	0	0	4	2	53
BS_VQEPFE1P	5	0	2	0	45	0	0	0	1	53
BS_1JMTTKMK	0	3	3	0	43	2	0	1	0	52
BS_B94G701Q	0	0	0	0	49	1	0	2	0	52
BS_F8KR1QWE	1	3	0	0	46	1	0	1	0	52
BS_FKQ7F6D1	2	1	1	0	45	2	0	1	0	52
BS_FVYBGMG1	2	0	1	0	46	2	0	0	1	52
BS_T8TCEBB1	2	1	1	0	39	1	0	3	5	52
BS_9HDPJT21	0	0	0	1	47	1	0	1	1	51
BS_AK9BV52G	8	5	3	0	29	2	0	3	1	51
BS_E1VJCEWB	6	1	1	0	40	0	0	2	1	51
BS_EJV0N3BX	1	1	0	2	44	1	0	1	1	51
BS_EP25TTAG	2	0	0	2	41	3	0	3	0	51
BS_SWHQ8FDW	0	0	1	0	41	2	0	7	0	51
BS_ZR75EKKX	4	2	1	0	35	4	0	4	1	51
BS_A1DV9T7G	1	1	1	0	46	0	0	1	0	50
BS_AEMRNSQX	0	0	1	0	46	1	0	1	1	50
BS_EQE19CB0	0	0	0	0	34	1	0	6	9	50
BS_GKXD33YH	8	0	4	0	31	6	0	1	0	50
BS_SKRY0BJ4	1	0	0	1	47	1	0	0	0	50
BS_3NX3RBCX	5	0	2	0	36	2	0	4	0	49
BS_CKY2TTXG	3	0	5	0	37	1	0	3	0	49
BS_DT92H1MJ	1	1	1	1	44	0	0	0	1	49
BS_KHSYAB3J	1	1	0	0	45	2	0	0	0	49
BS_PC2YQ4F6	2	0	1	0	41	1	0	1	3	49
BS_YHXMYDBN	13	4	2	1	19	3	0	7	0	49
BS_3ZMH8578	1	0	1	0	39	0	0	2	5	48
BS_6JBE0947	5	0	1	0	37	3	0	2	0	48
BS_7M6F9GQD	3	0	4	0	39	1	0	1	0	48
BS_NJV6A585	0	0	1	2	42	1	0	2	0	48
BS_ZKZACPVV	0	0	0	0	47	0	0	0	1	48
BS_164KRQJ0	0	0	0	0	43	2	0	1	1	47
BS_4M0ZMCDC	0	0	0	0	44	1	0	2	0	47
BS_F5KRHGKC	1	0	0	0	38	0	0	0	8	47
BS_KAD49R68	3	6	0	0	34	1	0	3	0	47
BS_M4E4H6NG	14	1	1	0	25	2	0	4	0	47
BS_1EYKDS0Z	0	0	2	0	39	1	1	1	2	46
BS_8SYN7GXG	2	1	0	0	38	3	0	1	1	46
BS_9CMJ3QF6	1	2	6	0	34	2	0	1	0	46
BS_G12HNXYX	4	1	7	0	29	3	0	2	0	46
BS_GRECE8Q9	1	0	1	1	41	0	0	0	2	46
BS_QE5B0T7R	3	2	5	0	34	0	0	2	0	46
BS_QHTDJG77	2	0	1	0	37	1	0	2	3	46
BS_WP9J88EB	1	2	0	0	32	2	0	9	0	46
BS_18NCV5QZ	3	0	0	0	37	2	0	3	0	45
BS_1S5V7WWC	3	0	3	4	33	1	0	1	0	45
BS_23ZE42Q3	4	0	1	0	34	4	0	2	0	45
BS_2E81A3FT	1	0	3	0	30	1	0	3	7	45
BS_DVQYQSVW	1	0	2	0	33	1	0	4	4	45
BS_K07KNTFY	0	0	1	0	41	0	1	2	0	45
BS_230S192D	2	1	1	0	33	4	0	3	0	44
BS_4GKH983E	2	1	2	0	37	1	0	0	1	44
BS_53TV75NN	0	0	1	0	38	3	0	1	1	44
BS_7XZNDFV4	1	0	1	0	31	2	1	1	7	44
BS_C1RRDNF5	0	0	1	0	37	2	0	4	0	44
BS_C6NB914B	1	1	3	0	37	0	0	0	2	44
BS_MWKJF6XH	1	0	0	0	40	0	0	0	3	44
BS_NCGGFG6H	2	1	0	0	39	0	0	1	1	44
BS_P99S85CY	4	0	3	0	35	0	0	1	1	44
BS_PZDTK87A	1	2	4	0	34	1	0	0	2	44
BS_ZX1YPQ88	30	0	0	0	13	0	0	1	0	44
BS_EDCQ4M0R	3	0	2	0	35	0	0	1	2	43
BS_F8K4VQMF	0	0	0	0	40	1	0	2	0	43
BS_ME97J1GA	0	0	1	0	41	0	0	0	1	43
BS_STNH7YSX	1	2	3	0	36	0	0	0	1	43
BS_WY5KYSHJ	1	1	5	1	29	2	1	3	0	43
BS_2NN6ME5A	1	0	0	0	37	4	0	0	0	42
BS_5ZRZC3ZM	0	1	1	0	37	1	0	2	0	42
BS_6DT506HY	0	4	4	2	24	8	0	0	0	42
BS_6Z213H2V	1	0	2	0	29	1	0	1	8	42
BS_80X7AVCP	1	0	1	0	39	0	0	0	1	42
BS_CWQ35N2K	1	0	3	0	36	2	0	0	0	42
BS_J33YVP27	4	0	3	0	32	2	0	1	0	42
BS_J8EH1N7V	2	0	1	0	37	1	0	1	0	42
BS_JM979K1M	0	0	1	0	36	0	0	2	3	42
BS_KCN7NG92	0	1	0	0	37	2	0	2	0	42
BS_M1TDS9CT	1	0	1	0	30	2	0	0	8	42
BS_MBYEK6HV	0	0	2	1	35	0	0	2	2	42
BS_ZAT0XJE5	0	1	1	0	38	1	0	0	1	42
BS_3J4T2YYW	3	3	2	1	30	1	0	1	0	41
BS_7HC4W4SA	0	0	5	0	33	0	0	2	1	41
BS_8TFBNHT0	1	0	3	0	35	1	0	0	1	41
BS_9BN45DFK	0	0	1	0	35	2	0	1	2	41
BS_9F2J6VS1	1	0	1	1	37	0	0	1	0	41
BS_AG0BZN6F	1	0	5	0	30	1	0	2	2	41
BS_AYPBAHJ6	1	1	1	0	34	1	0	2	1	41
BS_F4D169Q7	4	1	1	0	30	0	0	3	2	41
BS_HEJ72V3F	3	2	2	0	30	4	0	0	0	41
BS_NFT9VHMJ	1	1	1	0	36	2	0	0	0	41
BS_PPY0EWPG	1	0	2	0	36	0	1	0	1	41
BS_RA0VCMWC	1	0	1	0	34	0	1	2	2	41
BS_40FX713C	2	1	0	0	35	2	0	0	0	40
BS_6X2BQQGE	2	1	2	0	33	2	0	0	0	40
BS_7RQCH5Y7	0	0	2	0	35	0	0	1	2	40
BS_99PPRCW4	0	0	3	0	36	0	0	0	1	40
BS_AJ0T7DJ7	2	0	3	0	33	0	0	1	1	40
BS_B1X2SB4P	1	0	3	0	31	1	0	3	1	40
BS_CSY11X7E	2	1	1	0	31	2	1	1	1	40
BS_H0638GZT	2	1	1	1	29	2	1	2	1	40
BS_H3TYF6GD	2	1	1	0	34	2	0	0	0	40
BS_MWXDJFWW	32	1	1	0	6	0	0	0	0	40
BS_QGX93WPF	1	3	1	0	33	0	0	2	0	40
BS_QSMFVHSB	0	0	1	1	35	2	0	0	1	40
BS_SK4H5MJQ	4	0	1	1	31	3	0	0	0	40
BS_W9FW1PAE	0	0	0	0	33	0	0	2	5	40
BS_W9P0PFDH	2	0	0	0	33	0	0	1	4	40
BS_XKP747AS	0	1	3	1	30	2	0	1	2	40
BS_10HD18B8	2	0	2	0	30	0	0	2	3	39
BS_AQMKA8NC	0	0	0	0	33	1	1	1	3	39
BS_GKPVZXYP	0	0	0	2	32	3	0	2	0	39
BS_JCWD4DMA	4	4	1	3	21	6	0	0	0	39
BS_NG0CR0EP	2	0	3	0	32	1	0	0	1	39
BS_PEFRDKDZ	0	1	2	1	33	0	0	2	0	39
BS_TF5TTEXH	3	0	0	0	32	3	0	1	0	39
BS_VKH9KYDB	2	1	1	0	33	1	0	0	1	39
BS_XVBX7ZK1	1	0	0	0	32	0	0	1	5	39
BS_ZSH09N84	0	0	1	0	33	3	0	2	0	39
BS_2JDVY4F7	1	0	3	0	30	0	0	3	1	38
BS_47454JJ6	1	1	0	1	32	1	0	0	2	38
BS_4DTX295Z	1	1	2	0	32	2	0	0	0	38
BS_541KKASA	3	0	6	0	26	2	0	1	0	38
BS_5BMNK8SY	0	0	3	1	30	1	0	2	1	38
BS_9BGCH82S	1	0	2	0	29	1	0	3	2	38
BS_CBMAWSAR	0	0	2	0	34	2	0	0	0	38
BS_DGG7YE8R	2	0	5	0	30	1	0	0	0	38
BS_H8NWA41N	3	4	0	0	23	5	1	2	0	38
BS_PYVPKH11	0	0	4	0	30	0	0	2	2	38
BS_X5VN0FW0	2	5	2	0	25	2	0	2	0	38
BS_1C4WCNQF	7	1	3	0	21	1	0	4	0	37
BS_CP435MAC	2	0	2	1	26	1	0	4	1	37
BS_E2RXQ3JW	1	1	3	0	29	0	0	3	0	37
BS_FCXEAPJ1	4	0	0	1	29	0	0	1	2	37
BS_K3PPH522	1	0	4	0	32	0	0	0	0	37
BS_NHRNZRQV	0	0	1	1	34	1	0	0	0	37
BS_NMQTPVFW	2	1	2	1	29	2	0	0	0	37
BS_PNXDHDF3	4	1	1	1	27	2	0	1	0	37
BS_R82MYPKB	1	1	2	0	32	0	1	0	0	37
BS_XWQTX5HH	0	0	0	0	36	0	0	0	1	37
BS_6GN1FGTB	2	1	1	0	30	1	0	1	0	36
BS_ABZ3BK38	4	2	0	0	29	0	0	1	0	36
BS_BR1X3R68	0	0	0	0	34	0	0	1	1	36
BS_EXTEGB51	0	0	1	0	30	2	0	2	1	36
BS_K3YT05M7	5	1	1	0	26	1	0	2	0	36
BS_K89V7JNJ	0	0	0	0	30	3	0	0	3	36
BS_MJJZJMTK	4	1	2	0	28	1	0	0	0	36
BS_Y7CA8B5R	0	1	2	1	28	1	0	3	0	36
BS_ZKFEMJZ8	0	0	3	0	28	0	0	2	3	36
BS_0J5MCBZV	1	2	1	0	26	3	0	2	0	35
BS_10V9SAG8	0	3	2	0	26	2	0	2	0	35
BS_79NQJZ09	2	0	1	0	26	1	1	4	0	35
BS_G4EX0H98	0	0	0	0	30	4	0	1	0	35
BS_JJWC13GG	0	0	0	0	34	0	0	1	0	35
BS_KG1YMTA4	0	1	0	1	32	0	0	1	0	35
BS_KYPMZZSY	5	0	2	0	25	1	0	2	0	35
BS_M0B42FPR	2	0	0	0	32	1	0	0	0	35
BS_NDSWS9TS	2	0	0	0	26	0	0	0	7	35
BS_Q9NHTR7G	0	2	0	2	29	0	0	1	1	35
BS_R6CKWZW6	3	1	1	0	29	0	0	1	0	35
BS_RB8VSEVG	0	0	2	0	24	3	0	0	6	35
BS_W2QCHQ7E	4	1	0	2	25	1	0	2	0	35
BS_XGMXJKFX	2	1	4	1	23	3	0	1	0	35
BS_Y74XAFJX	0	0	1	1	31	1	0	1	0	35
BS_ZAH4FHV2	1	0	1	0	28	1	1	0	3	35
BS_ZBWQG7VR	0	0	0	0	33	0	0	0	2	35
BS_1MME7FBS	1	1	0	0	27	4	0	1	0	34
BS_2P7MJGM7	3	1	1	0	27	0	0	0	2	34
BS_5J5VH3X0	0	0	2	0	28	0	0	2	2	34
BS_6HE8H9HY	0	0	3	0	28	0	0	1	2	34
BS_6VKKMM6M	1	0	2	0	29	2	0	0	0	34
BS_BFDEZK1C	1	1	1	0	27	4	0	0	0	34
BS_C19DFVR5	2	0	0	0	29	3	0	0	0	34
BS_D368BNRD	1	0	1	0	27	1	0	4	0	34
BS_FFD25TTK	0	0	0	0	33	0	0	1	0	34
BS_FWP8ZA4K	2	4	4	0	19	3	0	2	0	34
BS_QE7WAAKC	7	0	2	0	24	0	0	1	0	34
BS_QZPGVNBB	3	0	0	2	27	1	0	1	0	34
BS_R1G6SG0K	0	1	0	0	27	4	0	2	0	34
BS_TF6H437Q	1	0	0	0	28	2	1	2	0	34
BS_01DQH017	0	0	1	0	29	0	0	0	3	33
BS_1EQGGHHQ	0	0	3	0	29	0	0	0	1	33
BS_3MYQP7P5	0	2	4	0	23	1	0	3	0	33
BS_58X7SKJS	3	0	2	0	25	1	0	1	1	33
BS_5CCAC8TZ	4	0	3	0	22	3	0	1	0	33
BS_682Z7WH6	3	0	1	0	26	2	1	0	0	33
BS_8FSJDG2T	0	1	1	0	29	1	0	1	0	33
BS_9PQPZPGM	2	0	1	0	26	0	0	0	4	33
BS_APAQ2X2S	1	0	1	1	27	0	0	0	3	33
BS_DVDT4VXQ	2	5	2	0	19	3	0	2	0	33
BS_E8SJ36A6	0	1	0	0	29	2	0	0	1	33
BS_H2K7XX4X	1	2	2	0	28	0	0	0	0	33
BS_KV3XF9WV	0	0	1	0	30	0	1	0	1	33
BS_SFH8TGKT	2	1	2	0	27	0	0	0	1	33
BS_XGVSX8BX	1	0	2	0	28	1	0	1	0	33
BS_Y5DA59M3	1	1	1	0	26	1	0	2	1	33
BS_0XR7GYAV	0	1	0	0	28	0	0	2	1	32
BS_5FBN4PPQ	2	4	4	0	19	2	0	1	0	32
BS_6FYTRKJJ	1	0	1	0	25	0	0	2	3	32
BS_78TQS4Y3	1	1	1	0	28	1	0	0	0	32
BS_797V83YM	0	0	0	1	31	0	0	0	0	32
BS_8BD8WD38	0	0	1	0	25	2	0	2	2	32
BS_8EB1S8MK	0	0	1	0	27	0	0	2	2	32
BS_ACTR13BQ	0	0	0	0	30	1	0	0	1	32
BS_CX6KACX6	3	0	3	0	24	2	0	0	0	32
BS_CZRA594T	2	0	1	1	27	0	1	0	0	32
BS_FXDY881S	1	0	2	0	27	1	0	1	0	32
BS_G9MQM1KK	1	2	0	0	26	1	0	2	0	32
BS_HPMX6CT4	1	0	0	0	29	0	0	1	1	32
BS_HTGDSPQA	0	0	0	0	28	1	0	2	1	32
BS_HYKV2TH9	3	0	3	0	23	1	1	1	0	32
BS_KJQXZ8GK	1	0	0	1	29	1	0	0	0	32
BS_KPG4WCHS	4	2	2	0	18	2	0	4	0	32
BS_KXGJ1HMG	1	0	2	0	28	1	0	0	0	32
BS_NXZSD2KK	0	0	0	0	24	0	0	3	5	32
BS_R7YMKNJN	0	0	0	0	28	1	0	2	1	32
BS_TE8QFF7T	3	1	0	0	25	1	1	1	0	32
BS_V6HKXX1Z	1	0	2	0	28	1	0	0	0	32
BS_VPJ9CARN	0	0	0	1	30	1	0	0	0	32
BS_WPCBK1EG	1	0	1	0	28	2	0	0	0	32
BS_0ATJ22QA	0	4	2	0	20	3	0	2	0	31
BS_2HDEZFTW	3	3	1	0	20	1	0	3	0	31
BS_376Q9QKG	3	0	2	0	25	0	0	0	1	31
BS_3JE2T7AR	1	1	0	0	25	0	1	3	0	31
BS_69VS8PS1	1	1	0	0	26	0	0	3	0	31
BS_9SVMVJ45	3	1	0	2	21	0	0	3	1	31
BS_AQECMDPP	1	0	0	0	27	0	0	1	2	31
BS_MWZCP1XW	2	1	0	0	26	0	0	1	1	31
BS_P42V737Y	3	1	2	0	21	1	0	3	0	31
BS_Y43VC4VG	1	1	3	0	21	1	0	1	3	31
BS_5KK9P7XD	1	0	1	0	28	0	0	0	0	30
BS_6Q9PMNWY	0	2	1	0	25	0	0	2	0	30
BS_7GKF6M85	0	0	2	0	26	1	0	1	0	30
BS_853PNV7P	2	0	0	0	26	2	0	0	0	30
BS_ABENB1H2	2	0	0	0	19	2	0	3	4	30
BS_BM95DGCQ	1	1	3	0	24	0	0	0	1	30
BS_BQ81D2BP	0	1	0	0	27	0	1	1	0	30
BS_BZWM455T	0	0	0	0	30	0	0	0	0	30
BS_C2NH5FDT	1	0	1	1	24	1	1	1	0	30
BS_DH86PF5A	4	2	2	0	20	2	0	0	0	30
BS_HN8DE43A	1	1	0	0	23	2	0	2	1	30
BS_JBY9S5D4	0	0	1	0	26	1	0	2	0	30
BS_P6NWC51S	0	0	0	0	26	0	0	3	1	30
BS_QG6V29H7	1	0	0	0	27	1	0	1	0	30
BS_QZT3SPY7	0	1	1	0	23	1	0	2	2	30
BS_R1CV479M	0	3	2	1	24	0	0	0	0	30
BS_VTTTQYQA	2	0	1	1	20	1	0	5	0	30
BS_XNTQBZAJ	1	0	0	0	26	3	0	0	0	30
BS_ZV21J6YW	2	0	1	0	27	0	0	0	0	30
BS_3E5C1PN1	0	1	0	0	26	1	0	1	0	29
BS_4T8J7JEP	1	0	1	0	23	0	0	3	1	29
BS_9QMVZ4C0	1	0	1	1	22	0	0	1	3	29
BS_AXW0XBH8	0	0	1	0	25	0	0	1	2	29
BS_BX8AR74E	1	1	1	0	23	2	0	1	0	29
BS_FVPMPMRJ	1	0	1	0	23	2	0	1	1	29
BS_M5FM63EB	0	0	0	0	27	1	0	1	0	29
BS_N8WXTFN4	0	0	3	0	23	0	0	2	1	29
BS_060QB7XB	1	3	0	0	21	1	0	1	1	28
BS_0ZR4XA69	5	0	0	0	20	0	0	3	0	28
BS_16TBX6G5	1	0	3	0	20	1	0	1	2	28
BS_36HCZ3KW	10	0	3	0	14	0	0	0	1	28
BS_6687ZNGS	1	2	1	0	24	0	0	0	0	28
