Kids_First_Biospecimen_ID	MACF1--TTYH1	MN1--AC008667.1	MN1--CXXC5	MN1--PATZ1	MN1--PSD2	NPAS3--AC245884.4/TTYH1	TTYH1--DPRX/RNU6-698P	TTYH1--MIR512-2/MIR1323	TTYH1--MIR515-2/MIR519C	ZC4H2--AL627224.1/FOXR2	ZC4H2--FOXR2	CIC--NUTM1	MN1--BEND2
BS_1D6PZNKN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_S71RJ8DH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3T6X4BPC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M85CXHDV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_60K3EQ9S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9NJHQE9F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GNV89A5P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_T1W4JA94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_850BAHH9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_AD4JPN9Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_90B22NGP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HHPA8NJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MY9D8XZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QAG1RDXN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_67PX06P3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JHGW42S6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_RX1YTZ7F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9SJWWYQ4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YB07VF1X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XJTW0P8P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_X91K8KMG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_92VDQ0NE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1N9XZXGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KQ6ZW085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M7QJ8VF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_64HCD9K3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_YCREDZTJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BA6AZWB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KZPR01BD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_F4E8R9VY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M1T1K5WV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NKEAAFMW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QPPPGYP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PKK3BZRG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0T17SY47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DY9NTFQR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_C51RB0YR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EN2VK7NY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DHA5FMVW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VVTHDRBD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VMEX27TN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_GR46VD0Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_R4Y180DM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VR7FR1NE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WRHDP7WF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MD3DT41J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Z7Y2466H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2WPQ8YCW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_T1QMEH1N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_5PJCHF6V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9XVACXP0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EYYMKWB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2R9TCR03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0GDJQANN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Z72QAZC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JTMXAMB7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HTEPAKCM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JGPR9SR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JH29M4KG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_SHMC4902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_78QX3XDF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BKR4E30C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_HB03GSHF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_A0DYVX9J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DY88N5ZT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W97QQYKQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_D8N31T39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_J6VKB1VE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_40MP5BWR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_PXCPK5XS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_B3M5SGPA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_AHEFXG7W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_42Y3YANN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_CVGFNCBJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_TZVFR600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_G9XE3N9T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NQB91P48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_7BW0YRPY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W4H1D4Y6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MB7WN0ZB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_8RCR7Y4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_42DY6WS7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_02NZT8CE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QRDT19KS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VMQMGSJY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_6YMJ621P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_MN5XVP5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_DFWFBYSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0WVJYM9R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BB0YW800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_J8VX4D17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1RT76ANT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_D9GEXXHX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_EK5PCKY0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BXXJ9P8C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_J70GK8SM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_66HQ3E4Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_28CDASF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_NGHK9RZP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QEYPFYHD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_P0W5VJH4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W72364MN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_D5P6EZ1M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_S4V9E1XJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_N1E0H8YQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_QNAQGAV6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M8EA6R2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_97M1E2DW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ABYF92Z9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_BWBDH9GM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_264RCK7G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XQYHPBFS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KXH37MPN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_66ABA973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_2W3NC4K1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_C05FKR8X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_H0QWRJE2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0QYS36NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_9RT63JD9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_M84H3KXA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WAXJY4XQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_KM2EX0K6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_8NY9J9NQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_Z8F3GM85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VP5Y45Z7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_273HKCT4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0J9SHHSC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_E3BAT4C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_VPNXJE2S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WRQHPSXQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WJ9H4NZZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_A3QZB9Y2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FRM9TG02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_V89HGTET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_196BBNEJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FEYMKEK8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_6WP1FHTE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FX2P2WEG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_WKESC3XN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_3XY76V8T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_D144EJRQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_0X9EGHY2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_JK0VPG1T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_X0XXN9BK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZV68CES9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W80TJC27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_1XJ73KBQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_XGSA3GQE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_742RHK1M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_FRZ76GEG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_W3R88RFP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_ZV1P6W9C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_SM8VQFPD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
BS_P7EY9DXG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
