Ensembl;Gene.name;Refseq;CCDS.ID
ENST00000216373;SOS2;NM_006939;CCDS9697
ENST00000216452;PIGH;"NM_001363694; NM_004569";CCDS9784
ENST00000216455;PSMA3;NM_002788;CCDS9731
ENST00000216479;AHSA1;NM_012111;CCDS9863
ENST00000216727;PABPN1;NM_004643;CCDS9592
ENST00000216802;PSME2;NM_002818;CCDS9614
ENST00000216832;PNN;NM_002687;CCDS9671
ENST00000216951;GSS;NM_000178;CCDS13245
ENST00000217131;CTSZ;NM_001336;CCDS13474
ENST00000217402;CHMP4B;NM_176812;CCDS13228
ENST00000217426;AHCY;NM_000687;CCDS13233
ENST00000217652;MYL12A;NM_006471;CCDS11830
ENST00000217893;TAF9;NM_003187;CCDS4002
ENST00000217901;IDH3G;NM_004135;CCDS14730
ENST00000217958;PSMD10;NM_002814;CCDS14536
ENST00000217971;PGRMC1;NM_006667;CCDS14576
ENST00000218056;WDR13;"NM_017883; NM_001347219; NM_001166426";CCDS14302
ENST00000218348;USP11;NM_004651;CCDS14277
ENST00000218364;HTATSF1;NM_014500;CCDS14657
ENST00000219139;C16orf70;"NM_001320541; NM_001320543; NM_001320542; NM_001320540; NM_025187";CCDS10828
ENST00000219204;ARL2BP;NM_012106;CCDS10776
ENST00000219252;POLR2C;NM_032940;CCDS10782
ENST00000219281;USB1;NM_024598;CCDS10791
ENST00000219313;PSMD7;NM_002811;CCDS10910
ENST00000219345;PLA2G15;NM_012320;CCDS10864
ENST00000219548;STUB1;NM_005861;CCDS10419
ENST00000219782;MAZ;NM_001042539;CCDS42144
ENST00000219789;CDIPT;NM_006319;CCDS10657
ENST00000219794;BCKDK;NM_005881;CCDS10705
ENST00000219797;KAT8;NM_032188;CCDS10706
ENST00000220659;BRF2;NM_018310;CCDS6098
ENST00000220849;EIF3E;NM_001568;CCDS6308
ENST00000220853;EMC2;"NM_001329495; NM_001329493; NM_014673";CCDS6309
ENST00000221114;DCTN6;NM_006571;CCDS6076
ENST00000221138;PPP2CB;NM_001009552;CCDS6079
ENST00000221200;KCTD9;NM_017634;CCDS6048
ENST00000221265;PAF1;NM_019088;CCDS12533
ENST00000221418;ECH1;NM_001398;CCDS33014
ENST00000221448;SNRNP70;NM_001301069;CCDS74417
ENST00000221462;PPP1R37;NM_019121;CCDS56096
ENST00000221494;SF3A2;NM_007165;CCDS12084
ENST00000221561;AES;NM_198969;CCDS12101
ENST00000221566;SGTA;NM_003021;CCDS12094
ENST00000221665;FIZ1;NM_032836;CCDS12928
ENST00000221801;FBL;NM_001436;CCDS12545
ENST00000221859;POLR2I;NM_006233;CCDS12487
ENST00000221922;CCDC9;NM_015603;CCDS12698
ENST00000221975;RPS19;NA;
ENST00000222005;CDC37;NM_007065;CCDS12237
ENST00000222008;RABAC1;NM_006423;CCDS12593
ENST00000222190;WDR83OS;NA;
ENST00000222219;DNASE2;NM_001375;CCDS12284
ENST00000222224;LENG1;NM_024316;CCDS12881
ENST00000222247;RPL18A;NM_000980;CCDS12367
ENST00000222284;TMEM147;"NM_001242598; NM_032635";CCDS12466
ENST00000222305;USF2;NM_003367;CCDS12452
ENST00000222307;KXD1;NM_024069;CCDS12381
ENST00000222308;FKBP8;NM_001308373;CCDS77266
ENST00000222330;GSK3A;NM_019884;CCDS12599
ENST00000222673;OGDH;NM_002541;CCDS34627
ENST00000222690;H2AFV;NM_138635;CCDS5495
ENST00000222969;BUD31;NM_003910;CCDS5663
ENST00000223023;WASL;NM_003941;CCDS34743
ENST00000223127;PLOD3;NM_001084;CCDS5715
ENST00000223136;FIS1;NM_016068;CCDS43626
ENST00000223321;PSMA2;NM_002787;CCDS5467
ENST00000223324;MRPL32;NM_031903;CCDS5468
ENST00000223369;YKT6;NM_006555;CCDS5482
ENST00000223500;CHMP5;NM_016410;CCDS6537
ENST00000223641;SEC61B;NM_006808;CCDS6741
ENST00000224073;EDF1;"NM_001281298; NM_001281299; NM_003792";CCDS7011
ENST00000225298;UTP18;NM_016001;CCDS42362
ENST00000225388;NUFIP2;NM_020772;CCDS32600
ENST00000225430;RPL19;NM_000981;CCDS42312
ENST00000225504;SUPT4H1;NM_003168;CCDS11606
ENST00000225525;TAX1BP3;NM_014604;CCDS11032
ENST00000225603;CBX1;NM_001127228;CCDS11525
ENST00000225655;PFN1;NM_005022;CCDS11061
ENST00000225665;SLC25A11;NM_003562;CCDS11059
ENST00000225726;CCDC47;NM_020198;CCDS11643
ENST00000225737;AKAP10;NM_007202;CCDS11214
ENST00000225972;LRRC59;NM_018509;CCDS11566
ENST00000226225;TNFAIP1;NM_021137;CCDS11227
ENST00000226798;FRG1;NM_004477;CCDS34121
ENST00000227524;PRPF19;NM_014502;CCDS7995
ENST00000228140;RPS13;NA;
ENST00000228284;SART3;NA;
ENST00000228437;PRDM4;NM_012406;CCDS9115
ENST00000228495;KCTD10;"NM_001317399; NM_001317395; NM_031954";CCDS9128
ENST00000228506;MLEC;NM_014730;CCDS9206
ENST00000228515;CSRNP2;NM_030809;CCDS8807
ENST00000228825;ARPC3;"NM_001278556; NM_001287222";CCDS9146
ENST00000228827;GPN3;NM_016301;CCDS9147
ENST00000228872;CDKN1B;NM_004064;CCDS8653
ENST00000229238;MRPL51;NM_016497;CCDS8547
ENST00000229239;GAPDH;"NM_001357943; NM_002046";CCDS8549
ENST00000229281;C12orf57;"NM_001301834; NM_138425";CCDS8571
ENST00000229329;CMAS;NM_018686;CCDS8696
ENST00000229340;RAB35;NM_006861;CCDS41846
ENST00000229379;COX6A1;NM_004373;CCDS9197
ENST00000229390;SRSF9;NM_003769;CCDS9199
ENST00000229563;TMEM14C;NM_016462;CCDS4514
ENST00000229633;HINT3;NM_138571;CCDS5133
ENST00000229812;STK38;"NM_001305102; NM_007271";CCDS4822
ENST00000229854;MCM3;NM_001270472;CCDS75468
ENST00000230050;RPS12;NM_001016;CCDS5164
ENST00000230085;SNX3;"NM_001300928; NM_003795";CCDS5064
ENST00000230431;DNPH1;NM_006443;CCDS4891
ENST00000230449;EXOC2;NM_018303;CCDS34327
ENST00000230461;TMEM30A;NM_018247;CCDS4983
ENST00000230640;MTREX;NM_015360;CCDS3967
ENST00000230859;TENT4A;NM_006999;
ENST00000230895;DAP;NM_004394;CCDS3880
ENST00000231238;TTC1;NM_003314;CCDS4348
ENST00000231512;C5orf15;NM_020199;CCDS4167
ENST00000232125;FAM162A;NA;
ENST00000232496;TUSC2;NM_007275;CCDS2819
ENST00000232888;RRP9;NM_004704;CCDS2837
ENST00000232905;EIF1B;NM_005875;CCDS2690
ENST00000233055;WDFY1;NM_020830;CCDS33387
ENST00000233084;DDX1;NM_004939;CCDS1686
ENST00000233143;TMSB10;NM_021103;CCDS1970
ENST00000233331;INO80B;NM_031288;CCDS1942
ENST00000233468;SF3B6;NM_016047;CCDS1707
ENST00000233557;NRBP1;NM_001321357;CCDS1753
ENST00000233575;SNX17;"NM_001267059; NM_001267061; NM_014748";CCDS1750
ENST00000233609;RPS15;NA;
ENST00000233893;HSPE1;NM_002157;CCDS2320
ENST00000234160;GORASP2;"NM_001201428; NM_015530";CCDS33325
ENST00000234170;CEBPZ;NM_005760;CCDS1787
ENST00000234301;COX7A2L;"NM_004718; NM_001319040";CCDS1808
ENST00000234590;ENO1;"NM_001428; NM_001201483";CCDS97
ENST00000234677;SARS;NM_006513;CCDS795
ENST00000234831;TMEM59;"NM_004872; NM_001305043";CCDS586
ENST00000234875;RPL22;NM_000983;CCDS58
ENST00000235329;MFN2;NM_014874;CCDS30587
ENST00000235332;MIIP;NM_021933;CCDS143
ENST00000235835;AKR7A2;NM_003689;CCDS194
ENST00000236051;EBNA1BP2;NM_006824;CCDS478
ENST00000236067;ATP6V0B;NM_001039457;CCDS41315
ENST00000236273;SYF2;NM_015484;CCDS259
ENST00000236671;CTSD;NM_001909;CCDS7725
ENST00000236957;EEF1B2;NM_021121;CCDS2367
ENST00000237380;MED28;NM_025205;CCDS33963
ENST00000237500;MYL12B;NM_033546;CCDS11831
ENST00000237530;RPN2;"NM_001324305; NM_001324303; NM_001324302; NM_002951";CCDS13291
ENST00000237654;CCNI;"NM_006835; NM_001348134; NM_001348132; NM_001348136; NM_001348137; NM_001348138; NM_001348135; NM_001348140; NM_001348133";CCDS3580
ENST00000237889;NDUFB3;NM_002491;CCDS2336
ENST00000238081;YWHAQ;NM_006826;CCDS1666
ENST00000238633;NPC2;NA;
ENST00000238647;IRF2BPL;NM_024496;CCDS9854
ENST00000238823;FAM98A;"NM_015475; NM_001304538";CCDS33179
ENST00000239231;PANK3;NM_024594;CCDS4368
ENST00000239666;PDZD11;NM_016484;CCDS14400
ENST00000239878;UFM1;"NM_001286706; NM_001286705; NM_001286703; NM_016617";CCDS9366
ENST00000239906;FAM53C;"NM_001350194; NM_016605";CCDS4204
ENST00000239944;SERP1;NM_014445;CCDS3150
ENST00000240055;NFYB;NM_006166;CCDS9098
ENST00000240079;WASHC3;NM_016053;CCDS44959
ENST00000240185;TARDBP;NM_007375;CCDS122
ENST00000240304;LUC7L3;NM_006107;CCDS11573
ENST00000240851;TFG;"NM_006070; NM_001195478";CCDS2939
ENST00000241600;MRPS2;NM_016034;CCDS6990
ENST00000241704;COPA;NM_004371;CCDS1202
ENST00000242577;DYNLL1;NM_003746;CCDS9200
ENST00000242719;RNF11;NM_014372;CCDS556
ENST00000242776;DDX39A;NM_005804;CCDS12308
ENST00000242784;TRIR;NM_024038;CCDS12279
ENST00000243325;RAB9A;NA;
ENST00000243563;SNRPA;NM_004596;CCDS12565
ENST00000243918;SYS1;NM_033542;CCDS13351
ENST00000243997;ATP5F1E;NM_006886;CCDS13476
ENST00000244007;PLCG1;NM_002660;CCDS13313
ENST00000244020;SRSF6;NM_006275;CCDS13318
ENST00000244061;RNF114;NM_018683;CCDS33482
ENST00000244230;MPHOSPH10;NM_005791;CCDS1916
ENST00000244496;RRP36;"NM_001329704; NM_033112";CCDS34453
ENST00000244520;SNRPC;NM_003093;CCDS34436
ENST00000244711;MEA1;NM_014623;CCDS4879
ENST00000245046;EMC3;NM_018447;CCDS2594
ENST00000245458;RPS29;NM_001032;CCDS9685
ENST00000245539;MRPS7;NM_015971;CCDS11718
ENST00000245812;ALKBH7;NM_032306;CCDS12163
ENST00000245816;CLPP;NM_006012;CCDS12162
ENST00000245857;RPL23;NA;
ENST00000246024;TMX4;NM_021156;CCDS13101
ENST00000246117;NCLN;"NM_001321463; NM_020170";CCDS32869
ENST00000246151;PITHD1;NM_020362;CCDS240
ENST00000246194;RALY;NM_016732;CCDS13230
ENST00000246337;UROD;NM_000374;CCDS518
ENST00000246548;UBA2;NM_005499;CCDS12439
ENST00000246554;COX6B1;NM_001863;CCDS12469
ENST00000246747;ARL2;NM_001667;CCDS8088
ENST00000246802;NOP53;NM_015710;CCDS12705
ENST00000246868;SBDS;NM_016038;CCDS5537
ENST00000247003;DDX49;NM_019070;CCDS12390
ENST00000247026;NSRP1;NM_032141;CCDS11255
ENST00000247161;ELK1;NM_005229;CCDS14283
ENST00000247655;COX7C;NM_001867;CCDS4063
ENST00000247866;NDUFB2;NM_004546;CCDS5862
ENST00000247930;ZNF777;NM_015694;CCDS43675
ENST00000247970;PIN1;NM_006221;CCDS12220
ENST00000248342;EIF3K;NM_013234;CCDS12517
ENST00000248378;EMC6;NM_031298;CCDS11033
ENST00000248450;AAMP;NM_001087;CCDS33378
ENST00000248451;PNKD;NM_001077399;CCDS42816
ENST00000248566;SEM1;NM_006304;CCDS5646
ENST00000248594;PTPN12;NM_002835;CCDS5592
ENST00000248879;DGCR6L;NM_033257;CCDS13778
ENST00000248929;SGSM3;"NM_001350039; NM_001350040; NM_001350041; NM_001350042; NM_001350045; NM_001350048; NM_001350043; NM_001350046; NM_001350047; NM_001350044; NM_001301849; NM_015705";CCDS14002
ENST00000249209;EMC4;NM_001286420;CCDS66732
ENST00000249289;ATP6V1F;NM_004231;CCDS5807
ENST00000249356;DNAJB9;NM_012328;CCDS5752
ENST00000249442;MTX2;"NM_001006635; NM_001319098; NM_006554";CCDS2272
ENST00000249786;SERF2;NM_001018108;CCDS32218
ENST00000250113;FXR2;NM_004860;CCDS45604
ENST00000250405;BCL2L2;"NM_004050; NM_001199839";CCDS9591
ENST00000250454;EAPP;"NM_001318916; NM_018453";CCDS41941
ENST00000250489;PIP4P1;NM_144568;CCDS9551
ENST00000250495;NEDD8;NM_006156;CCDS9621
ENST00000250498;DAD1;NM_001344;CCDS9571
ENST00000250894;MAPK8IP3;NM_015133;CCDS10442
ENST00000251047;LMAN1;NM_005570;CCDS11974
ENST00000251241;DHX40;NM_024612;CCDS11617
ENST00000251343;KHNYN;NM_001290256;CCDS32058
ENST00000251413;TUBG1;NM_001070;CCDS11433
ENST00000251453;RPS16;NM_001020;CCDS12535
ENST00000251527;ESYT2;NA;
ENST00000251636;DHX29;"NM_001345964; NM_001345965; NM_019030";CCDS34158
ENST00000251849;RAF1;"NM_001354692; NM_001354693; NM_002880; NM_001354691; NM_001354690";CCDS2612
ENST00000252015;TRPC4AP;NM_015638;CCDS13246
ENST00000252102;NDUFA2;NM_002488;CCDS4234
ENST00000252445;ELOF1;NM_032377;CCDS12264
ENST00000252542;SAFB2;NM_014649;CCDS32879
ENST00000252602;MRPL34;NM_023937;CCDS12356
ENST00000252603;PGLS;NM_012088;CCDS12361
ENST00000252699;ACTN4;"NM_001322033; NM_004924";CCDS12518
ENST00000252816;LSM4;NM_001252129;CCDS62601
ENST00000253003;ADRM1;"NM_175573; NM_007002";CCDS13496
ENST00000253023;UBE2M;NM_003969;CCDS12987
ENST00000253024;TRIM28;NM_005762;CCDS12985
ENST00000253039;EIF2S3;NM_001415;CCDS14210
ENST00000253108;EIF3G;NM_003755;CCDS12227
ENST00000253329;PPIL4;NM_139126;CCDS34550
ENST00000253413;ATP6V1E1;NM_001696;CCDS13745
ENST00000253452;COX4I1;"NM_001318802; NM_001861; NM_001318788";CCDS10955
ENST00000253457;EMC8;NM_006067;CCDS10954
ENST00000253686;MRPS25;NM_022497;CCDS2622
ENST00000253699;RBSN;NM_022340;CCDS2623
ENST00000253727;NR1H2;NM_007121;CCDS42593
ENST00000253788;RPL27;NM_000988;CCDS11449
ENST00000253794;VPS25;NM_032353;CCDS11438
ENST00000254337;DCAF15;NM_138353;CCDS32926
ENST00000254480;SMARCC1;NM_003074;CCDS2758
ENST00000254616;TIMM10B;NM_012192;CCDS7766
ENST00000254654;ILKAP;NM_030768;CCDS2526
ENST00000254719;RPA1;"NM_001355120; NM_002945; NM_001355121";CCDS11014
ENST00000254730;EEFSEC;NM_021937;CCDS33849
ENST00000254803;UTP3;NM_020368;CCDS3546
ENST00000254806;WBP2;NM_012478;CCDS11731
ENST00000254810;H3F3B;NM_005324;CCDS11729
ENST00000254821;ZRANB2;NM_005455;CCDS660
ENST00000254928;ERAL1;"NM_001317986; NM_001317985; NM_005702";CCDS11244
ENST00000255174;OSER1;NM_016470;CCDS13327
ENST00000255304;USPL1;"NM_001321532; NM_005800";CCDS9336
ENST00000255608;BTBD2;NM_017797;CCDS12078
ENST00000255641;CSNK1G2;NM_001319;CCDS12077
ENST00000255764;MED10;NM_032286;CCDS34134
ENST00000255977;MKRN1;NM_013446;CCDS5860
ENST00000256015;BTG1;NM_001731;CCDS9043
ENST00000256079;IPO8;NM_006390;CCDS8719
ENST00000256255;SARAF;NM_016127;CCDS6074
ENST00000256383;EIF2S1;NM_004094;CCDS9781
ENST00000256429;MBD2;NM_003927;CCDS11953
ENST00000256433;IER3IP1;NM_016097;CCDS11933
ENST00000256441;MRPS36;NM_033281;CCDS34174
ENST00000256496;ARL8B;NM_018184;CCDS2566
ENST00000256545;EMC7;NM_020154;CCDS10032
ENST00000256682;ARF3;NM_001659;CCDS8774
ENST00000256689;SLC38A2;NM_018976;CCDS8749
ENST00000256854;NARS;NM_004539;CCDS32837
ENST00000257013;RTL8C;NM_001078171;CCDS43997
ENST00000257181;PRPF38A;NM_032864;CCDS567
ENST00000257245;TIMM10;NM_012456;CCDS7959
ENST00000257663;TMEM60;NM_032936;CCDS5593
ENST00000257787;AKIRIN2;NM_018064;CCDS5013
ENST00000257829;NAT10;NM_024662;CCDS7889
ENST00000257857;CD63;NM_001780;CCDS8890
ENST00000257904;CDK4;NM_000075;CCDS8953
ENST00000257966;OS9;NM_001261420;CCDS58247
ENST00000258083;PRADC1;NM_032319;CCDS1924
ENST00000258105;MRPL53;NM_053050;CCDS1944
ENST00000258198;DYNC1LI2;"NM_001323955; NM_006141";CCDS10818
ENST00000258383;MRPL44;NM_022915;CCDS2459
ENST00000258418;CAB39;NM_016289;CCDS2478
ENST00000258424;COX5B;NM_001862;CCDS2032
ENST00000258439;TMEM127;"NM_001193304; NM_017849";CCDS2018
ENST00000258455;MRPS9;NM_182640;CCDS2065
ENST00000258648;MED4;NM_014166;CCDS9408
ENST00000258662;NUDT15;NM_018283;CCDS9407
ENST00000258739;KDELR2;NM_006854;CCDS5351
ENST00000258947;CALCOCO2;NM_005831;CCDS11538
ENST00000258955;RSAD1;NM_018346;CCDS11569
ENST00000258960;NMT1;NM_021079;CCDS11494
ENST00000258963;VEZF1;NA;
ENST00000259050;MARCH7;NM_022826;CCDS2210
ENST00000259339;TOR1B;NM_014506;CCDS6929
ENST00000259457;PSMB7;NM_002799;CCDS6855
ENST00000259512;DERL1;NM_024295;CCDS6337
ENST00000259632;DCTN3;NM_007234;CCDS6560
ENST00000259667;HINT2;NM_032593;CCDS6594
ENST00000259963;FAM8A1;NM_016255;CCDS4540
ENST00000260045;THAP12;NM_004705;CCDS8243
ENST00000260102;MRPL15;NM_014175;CCDS6158
ENST00000260130;SDCBP;NM_005625;CCDS6172
ENST00000260210;BUD13;NM_032725;CCDS8374
ENST00000260270;FDX1;NM_004109;CCDS8344
ENST00000260379;RPLP1;NM_001003;CCDS10233
ENST00000260443;RSL24D1;NM_016304;CCDS10152
ENST00000260641;ACTR2;NM_005722;CCDS1881
ENST00000260643;PREB;"NM_001330484; NM_001330486; NM_013388";CCDS1738
ENST00000260665;LRPPRC;NM_133259;CCDS33189
ENST00000260818;DNAJC13;"NM_015268; NM_001329126";CCDS33857
ENST00000260952;ASNSD1;"NM_001353497; NM_019048";CCDS2300
ENST00000260956;SSB;NM_003142;CCDS2237
ENST00000261070;COX17;NM_005694;CCDS2993
ENST00000261167;WBP11;NM_016312;CCDS8666
ENST00000261182;NAP1L1;"NM_001330231; NM_139207";CCDS9013
ENST00000261303;PSMC1;NM_002802;CCDS32139
ENST00000261313;PEBP1;NM_002567;CCDS9187
ENST00000261353;YPEL5;NM_016061;CCDS1771
ENST00000261396;NUP133;NM_018230;CCDS1579
ENST00000261427;UBE2K;"NM_001312647; NM_005339";CCDS33976
ENST00000261461;PPP2R5A;NM_006243;CCDS1503
ENST00000261479;PSMA6;NM_002791;CCDS9655
ENST00000261497;USP22;NM_015276;CCDS42285
ENST00000261574;IPO5;NM_002271;CCDS31999
ENST00000261601;USP14;NM_005151;CCDS32780
ENST00000261636;ARL1;NM_001177;CCDS44958
ENST00000261658;BFAR;NM_016561;CCDS10554
ENST00000261667;KPNA3;NM_002267;CCDS9421
ENST00000261674;SFSWAP;NM_004592;CCDS9273
ENST00000261692;CDK2AP1;NM_004642;CCDS9245
ENST00000261700;RTRAF;NM_016039;CCDS9705
ENST00000261712;PSMD11;NM_002815;CCDS11272
ENST00000261716;TAOK1;NM_020791;CCDS32601
ENST00000261721;BTBD1;NM_025238;CCDS10322
ENST00000261735;ERP29;NM_006817;CCDS9158
ENST00000261772;AARS;NM_001605;CCDS32474
ENST00000261797;NDST1;NM_001543;CCDS34277
ENST00000261798;CSNK1A1;NM_001271741;CCDS64291
ENST00000261813;PFDN1;NM_002622;CCDS4222
ENST00000261866;SPG11;NM_025137;CCDS10112
ENST00000261868;EIF3J;NM_003758;CCDS10111
ENST00000261884;TRIP4;"NM_016213; NM_001321924";CCDS10194
ENST00000261890;RAB11A;NM_004663;CCDS10212
ENST00000261942;FAF2;NM_014613;CCDS34296
ENST00000261973;RBM25;NM_021239;CCDS32113
ENST00000262013;SPAG9;NM_001130528;CCDS45740
ENST00000262033;PTGES3;NM_006601;CCDS31836
ENST00000262056;EIF4B;NM_001417;CCDS41788
ENST00000262061;COPZ1;NM_016057;CCDS8877
ENST00000262077;NUP153;NM_005124;CCDS4541
ENST00000262144;WDR59;NM_030581;CCDS32488
ENST00000262177;DNAJB6;NM_058246;CCDS5946
ENST00000262187;RHEB;NM_005614;CCDS5927
ENST00000262193;PSMB1;NM_002793;CCDS34577
ENST00000262213;TRAM1;"NM_001317804; NM_014294";CCDS6207
ENST00000262225;TMED2;"NM_001321445; NM_006815";CCDS9250
ENST00000262238;YY1;NM_003403;CCDS9957
ENST00000262306;ELOB;NM_207013;CCDS32374
ENST00000262319;TELO2;"NM_001351846; NM_016111";CCDS32363
ENST00000262367;CREBBP;NM_004380;CCDS10509
ENST00000262370;MGRN1;NM_015246;CCDS42115
ENST00000262384;N4BP1;NM_153029;CCDS45479
ENST00000262394;WSB1;"NM_001348350; NM_015626";CCDS11220
ENST00000262455;ERP44;NM_015051;CCDS35082
ENST00000262482;RNF167;"NM_015528; NM_001320357";CCDS11060
ENST00000262506;CSNK2A2;NM_001896;CCDS10794
ENST00000262519;SETD1A;NM_014712;CCDS32435
ENST00000262577;ZC3H3;NM_015117;CCDS6402
ENST00000262584;RPL8;NM_000973;CCDS6433
ENST00000262633;RBM42;NM_024321;CCDS12468
ENST00000262644;IMPAD1;NM_017813;CCDS6169
ENST00000262646;RAB2A;NM_002865;CCDS6175
ENST00000262809;ELL;NM_006532;CCDS12380
ENST00000262812;COPE;NM_007263;CCDS12387
ENST00000262815;MAU2;NM_015329;CCDS32969
ENST00000262919;ATRN;NM_139321;CCDS13053
ENST00000262942;ARPC1A;"NM_001190996; NM_006409";CCDS5660
ENST00000262947;MYDGF;NM_019107;CCDS12133
ENST00000262948;MAP2K2;NM_030662;CCDS12120
ENST00000262962;YJU2;NM_018074;CCDS12124
ENST00000262971;PIAS4;NM_015897;CCDS12118
ENST00000262990;ZNF330;"NM_001292002; NM_014487";CCDS3754
ENST00000263025;MAPK3;NM_002746;CCDS10672
ENST00000263121;SMARCB1;NA;
ENST00000263168;CAPZA1;NM_006135;CCDS30805
ENST00000263228;UBE2R2;NM_017811;CCDS6546
ENST00000263238;ACTR3;NM_005721;CCDS33277
ENST00000263239;DDX18;NM_006773;CCDS2120
ENST00000263245;ARFGAP3;NM_014570;CCDS14042
ENST00000263246;PACSIN2;"NM_001349969; NM_001184970";CCDS43023
ENST00000263256;DESI1;NM_015704;CCDS33652
ENST00000263270;AP2S1;NM_004069;CCDS33062
ENST00000263280;STRN4;NM_013403;CCDS12690
ENST00000263309;CLNS1A;NM_001311200;CCDS81601
ENST00000263346;TCF25;NM_014972;CCDS10987
ENST00000263354;NAPA;NM_003827;CCDS12702
ENST00000263377;BRD4;NM_058243;CCDS12328
ENST00000263384;FAM32A;NM_014077;CCDS12341
ENST00000263433;PPP1R12C;"NM_001271618; NM_017607";CCDS12916
ENST00000263559;VPS26A;"NM_001318944; NM_001318945; NM_001318946; NM_004896";CCDS7286
ENST00000263645;CD81;NM_004356;CCDS7734
ENST00000263657;PNO1;"NM_001329916; NM_001329917; NM_020143";CCDS1885
ENST00000263672;SPCS2;NM_014752;CCDS44681
