"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"MCF2L-AS1",-0.0959037195257168,-0.714959450057639,0.0208676408985783,0.887383773419802,0.975385753151188
"TLR9",0.120802864949719,-0.472505335217353,0.020840272623897,0.887457095566656,0.975385753151188
"CELF6",0.110029171354269,2.26402593089693,0.0208398283340621,0.887458286266252,0.975385753151188
"SYPL1P2",0.127706803915955,-1.32265512580952,0.020839271776121,0.887459777863402,0.975385753151188
"TMEM231",-0.0635326661506461,4.9068036271657,0.0208324081432819,0.887478174343514,0.975385753151188
"DHX16",-0.0386554327453701,5.31615279035785,0.0208262959675982,0.887494559313972,0.975385753151188
"MRPL30",-0.0306320194978205,5.32127786837751,0.020821849014653,0.887506481850121,0.975385753151188
"DLL3",-0.167102586187587,4.84297586713331,0.0208150792807569,0.887524634394749,0.975385753151188
"LINC01625",-0.158911402132084,-0.896014928209289,0.0207802782634507,0.887617998439816,0.975395774886816
"GOLGA7B",-0.194168019530692,5.10960679195915,0.0207627629671676,0.887665018651483,0.975395774886816
"GATA4",0.223796194810906,0.0215758218831334,0.0207384524894666,0.887730314296439,0.975395774886816
"ANKRD53",0.14539043889509,1.65778746564472,0.0207111555982104,0.887803677813209,0.975395774886816
"IPPK",-0.0416949849788591,3.71598827043891,0.0206906935093637,0.887858704432697,0.975395774886816
"LINC02495",0.144546082016258,-0.372553771921755,0.0206904643148446,0.88785932093975,0.975395774886816
"IL2RB",-0.151522682350634,1.42301989553065,0.020685257559786,0.887873327456085,0.975395774886816
"FZD10-AS1",0.230233876183672,2.86185540162332,0.0206762467896974,0.887897571283579,0.975395774886816
"MXRA5Y",-0.21038367242055,0.259266900653014,0.0206354499591177,0.888007404377855,0.975466469095838
"AC120114.5",-0.131976710699965,-2.40151404940056,0.0205943400209549,0.888118192740514,0.975507547268449
"SHROOM1",0.0830621982510315,4.43883294344744,0.0205878235910877,0.888135764430763,0.975507547268449
"RASSF1-AS1",-0.0620772934827147,-0.657155068332919,0.0205528777279456,0.888230045218544,0.975541267640149
"PRKG2",0.226819593575984,1.72581431200832,0.0205427320585345,0.888257432662461,0.975541267640149
"CCL4",-0.156788763056369,2.24649100197418,0.0205066962308529,0.888354764492475,0.975557648756377
"VOPP1",0.0672090318572345,7.23356713498319,0.0204956221546816,0.888384692838034,0.975557648756377
"AF131216.3",-0.148217224695788,-1.20831426712466,0.020475611208165,0.88843879456941,0.975557648756377
"BLNK",-0.117642410203285,2.50675820312253,0.0203979734689298,0.888648952684014,0.975557648756377
"PHEX",0.0725744489457833,2.74652822971685,0.0203908114608248,0.888668360147715,0.975557648756377
"SLC35F4",-0.199395752970541,-0.869339796943339,0.0203704429987339,0.888723573238061,0.975557648756377
"RFTN1",-0.100929856159479,5.38397818341004,0.0203702255027419,0.888724162959833,0.975557648756377
"WDR93",0.0902701385484194,-0.469430715644608,0.0203592716302122,0.888753867610344,0.975557648756377
"ZBTB12",0.0909544707947411,4.3707931513784,0.0203343796101515,0.888821400029364,0.975557648756377
"ODF2",-0.0375384462802688,5.74390018669685,0.0203166612534074,0.888869495930793,0.975557648756377
"VENTX",-0.169455485862185,0.790962902931465,0.0202692539735119,0.888998286926913,0.975557648756377
"NEK8",-0.0799556578239418,1.94327089678393,0.0202628348070613,0.889015737652816,0.975557648756377
"AC073857.1",-0.0560492889224943,2.90033594121353,0.0202515896250574,0.889046314878003,0.975557648756377
"RFX8",-0.217177179770897,0.233435535217843,0.0202422414570495,0.88907174045984,0.975557648756377
"GPALPP1",0.0528396728034877,4.74571315987447,0.0202350795633156,0.88909122377002,0.975557648756377
"GJA4",-0.0797898094254033,1.89648605313496,0.0202251775080431,0.88911816725542,0.975557648756377
"AL354811.1",0.12335976807656,-2.34824847960377,0.0202084748637191,0.889163630414425,0.975557648756377
"SUSD4",-0.151802450000534,3.57227433564929,0.0202078949316252,0.889165209284398,0.975557648756377
"TBX15",-0.122744110688722,3.79069485585344,0.020207540261746,0.889166174887515,0.975557648756377
"COL12A1",0.225118690244322,8.36396400689247,0.0201933902706748,0.889204705877305,0.975557648756377
"FAM110C",0.185443142641823,2.68138737236117,0.0201845211390555,0.889228863908838,0.975557648756377
"CTH",0.074226492723615,2.00831720383685,0.0201683177006106,0.889273013373551,0.975557648756377
"NANOS1",-0.0942510687275857,3.606800513756,0.0201494795917969,0.889324364302633,0.975564083754238
"MEIS3",-0.118316756004194,4.77330273916643,0.0200036252214372,0.889722782570023,0.97595122183613
"SPATA22",0.0742551246609236,-1.91371406262651,0.0199797960124064,0.889788015687394,0.975972862865052
"LAX1",0.12979836255162,-1.30900445725092,0.0199625851699744,0.889835155561814,0.975974656941436
"MYOZ3",-0.144493104206402,2.72679634597031,0.0199392798435125,0.889899021104215,0.975989869519909
"AL133406.3",-0.134242034172333,-1.57749358958714,0.0199243205692267,0.889940035350656,0.975989869519909
"ARMCX5-GPRASP2",0.0644128596644104,2.28489983453962,0.0198819038180766,0.890056416097263,0.976067594460277
"ZEB1",0.0809807959491741,7.87809990716235,0.0197780594068132,0.890341875013011,0.976330719120562
"KLRK1",0.156788711774998,3.24181462902821,0.0197558747620941,0.89040295774657,0.976347783115973
"KCNE5",0.18128559498383,1.96602061589081,0.0196866403424063,0.890593811890782,0.976431253846324
"PPP5C",0.0403603894360006,6.09047437691259,0.0196820769988695,0.890606403401078,0.976431253846324
"TCF7",0.0796333168863505,4.33391640950807,0.0196534867117926,0.890685325753671,0.976431253846324
"IFFO1",0.054847033502506,5.08006022876617,0.01965226024736,0.890688712670891,0.976431253846324
"AC090061.1",0.139849660273648,-0.492625371394292,0.0196405733235445,0.890720991866468,0.976431253846324
"NUP93",0.0287298171991423,5.53058080060358,0.0196292652910865,0.890752233903262,0.976431253846324
"TIE1",0.0569706934812529,4.38775088156169,0.0196034305385185,0.890823645121476,0.976440871262198
"A4GALT",0.0719422216103508,2.32246249126643,0.0195931558296652,0.890852059346265,0.976440871262198
"FAM57A",-0.0452497493310261,4.80117621482805,0.0195129974708184,0.891073995202581,0.976628119122069
"DDX24",-0.0407878370636576,7.38153529478179,0.0194595429150455,0.891222254541059,0.976628119122069
"EZH2",-0.0662787434385682,5.38924714436393,0.0194495349025405,0.89125003544531,0.976628119122069
"CINP",-0.038861313371657,4.74304504461443,0.0194401139340726,0.891276193462241,0.976628119122069
"DBH-AS1",-0.156257691129571,1.53849395583632,0.019423211759545,0.891323139826165,0.976628119122069
"CCBE1",0.249737346460958,2.39305547301203,0.019405469012115,0.891372443350246,0.976628119122069
"ACOT1",-0.0966420026614227,3.25103793269824,0.019387603278966,0.891422111882469,0.976628119122069
"LRRC58",0.0337382216551445,6.8033593417574,0.0193844666451767,0.891430834449931,0.976628119122069
"HSFX2",0.1645308125694,-1.08842693885324,0.019363486640289,0.891489195627927,0.976628119122069
"SARDH",0.124944364831614,2.40925830673225,0.0193524572829821,0.891519889512612,0.976628119122069
"CTDNEP1",0.0363083269571796,6.49615665438207,0.0193510610208148,0.891523775843481,0.976628119122069
"LAPTM4B",-0.0574265950322997,7.26898336949352,0.0193256651632978,0.891594487206372,0.976655697732496
"ATP13A5",-0.159952769458225,-0.013098679926621,0.019269377307752,0.891751382443298,0.976701734754646
"SLC16A10",0.0874064085335399,3.03928320387558,0.0192549111327463,0.891791742835542,0.976701734754646
"IL7R",0.179852675038437,1.86845214573512,0.0192510999585516,0.891802378524762,0.976701734754646
"HMGCS1",-0.088894049858036,7.1008407911123,0.0192452638608653,0.891818667168733,0.976701734754646
"IRX3",0.123628592518734,3.50579828431926,0.0192183755766166,0.891893745391944,0.976709367571979
"NRK",0.224767483391939,0.271367585149926,0.0192101536459752,0.891916713598693,0.976709367571979
"TKTL1",-0.147906618279878,1.81347157359657,0.0191907164227516,0.891971032014499,0.976709862987723
"RBM5",0.0435726203277116,6.8650538363886,0.0191650940379332,0.892042678130006,0.976709862987723
"ZNF425",-0.0758970954247953,3.07345702459931,0.019161124759973,0.892053781521191,0.976709862987723
