"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","deseq2_nbwaldtest_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"776","C19orf12",0.0696711885179977,4.9883975300268,0.854936833765923,0.854239093869807,0.827079127548348,0.791680475378476,0.348198963017017,16.7903092526156,26.6135613296894,47.6446073378286,25.1470932011018,32.9789810223682,45.713874579449,20.7162949231605,31.4573062427475,49.2167545148901,20.3709324170605,27.3770583350479,36.5408303791395
"777","ATP5S",-0.10184598271577,5.22760188567807,0.794292109037924,0.793138524241411,0.760958100795229,0.736574281286391,0.348211606063538,31.4604136378728,14.7327555923372,44.8535918783937,46.3771936917516,57.2060413057043,22.0800189590065,31.2747217549631,31.8817213429661,36.5485615011215,49.9333546253714,53.6793668856449,29.2427536879031
"778","ZNF574",0.133812768288647,4.86148978368873,0.731926056906006,0.730244150464807,0.684603361220569,0.661649282288164,0.348370968815856,15.5267528165131,41.0959018128084,23.0329255591751,41.8961540309945,29.5922224222064,31.1544250617931,14.2424527596729,29.4868574732106,32.0232813972729,45.5218862565452,24.0704518894795,20.8359067320834
"779","TUBGCP5",0.214166186104697,4.62628151169234,0.573086438149812,0.571351365559687,0.494259953995621,0.464765269528238,0.348722646728903,23.3436697517232,24.2346177921165,45.8966986662633,29.1580937366046,23.7576085961849,12.6016153242465,19.0117896446726,26.2167510046176,32.0582986541316,24.0341264043389,20.3736248074775,15.3398472309158
"780","FBXO45",-0.181805043669674,5.07152735857555,0.641202585623197,0.639798521482951,0.585982145044523,0.55057525533824,0.348904765351391,15.3125907086991,47.2588958896785,15.9849067222182,46.8002289044804,32.4759970718491,31.0301181288782,24.6333791689164,37.6621236446932,28.9067455368494,52.9376204259137,35.674381341319,34.4632136836498
"781","NR2C1",0.134318679796355,4.43221855558986,0.728189542054357,0.727125332971233,0.670813341941374,0.67522004855682,0.348990335381367,36.8572987547849,16.1517745445737,34.0278349448279,18.7858970393278,18.1577206137391,11.4206994615551,16.5042001484357,27.0412650287501,18.9968618458398,20.3709324170605,22.9203279084122,17.4904792096335
"782","SEMA4B",0.0149753055749906,6.01712908905505,0.969527232551905,0.969162103947027,0.965063130612217,0.964288469002003,0.349183821810969,80.9104443321194,47.8431978111876,63.0374804777424,72.5270370267291,94.4771520391688,31.6205760602239,58.6743163171794,51.2456428219258,94.5991194037536,74.350925115777,81.9257957228102,25.6150889070117
"783","SUZ12",-0.0988770002883881,6.08998496493838,0.786756908581963,0.78590060334561,0.75141397886195,0.755305829741792,0.349261873620395,73.0292787645651,116.541105037572,44.9099760290893,76.4596977080229,41.6100179519589,41.971148213048,91.447527664567,82.4758583376877,67.6871319038596,84.3630597063726,42.9992334457412,53.5644764188248
"784","MIGA2",0.0302636891139831,4.81789633809106,0.936340674017628,0.936166611698948,0.922692653225651,0.935262687876082,0.349455927526154,50.9491654489444,18.3220388244647,32.9283440062626,19.2716041354238,20.1193580207635,29.2587443348411,32.8608950323868,37.9276451100918,16.4230934667261,23.0959913588164,27.5824376173813,29.372057116747
"785","ZNF263",-0.203406653343561,5.12182174442419,0.600883103718252,0.598964218089548,0.541465117650249,0.523568640766822,0.350015380706762,17.9039522132482,20.4644792033315,46.7142688513503,46.5965452835369,33.5657956313072,28.8081317030246,17.7168573172368,28.5902334090015,50.7730964959746,47.8702020768452,42.8293847792514,35.6450656089915
