Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_4W1DBAN4	0	0.0385805475484593	0	0	0.0362564489604335	0.0341921428861289	0	0.00397249339637566	0	0	0.0137135675128002	0	0.111391188264691	0	0	0.0668012928698276	0	0	0.00152034136526616	0	0	0.0135719771960181	9999	-0.0388477856545997	1.11275882965896	0.32
BS_4W68NV3M	0.00629909904013672	0	0	0	0	0.0773082550277313	0	0.0499460921085173	0	0	0	0.0339186355055832	0.00823604553504561	0	0	0.136819218586892	0	0	0.0530501112303892	0	0	0.00442254296570485	9999	-0.0516217505437226	1.1066925068817	0.37
BS_4Y6BCYK5	0.0018221780892481	0.00319963036249518	0	0.0417370562141647	0	0.105520697913122	0	0.0193828822135467	0.0105699822684282	0	0.00305575245508808	0.0273119913952942	0.0569443781347278	0	0.000172918003908335	0.11479388657504	0	0	0.0575340391779789	0	6.65521378817409e-05	0.00788805505907615	9999	0.00758787154136059	1.07995087335397	0.45
BS_4Z2F4P9N	0.00204005369145815	0.0169132558371456	0	0.0362685975665605	0	0.0995347849496562	0	0.00971415271609333	0.010481950818981	0	0.058171633437564	0.0231689577387077	0.114264593513696	0.00727057748603983	0.00272698251143274	0.480462085100303	0	0	0	0.00647492394908908	0.00250745068327277	0	9999	0.192825377038828	1.02378296489053	0.87
BS_51RA1PGE	0	0.0100771314948569	0.000767247535141071	0.018792224661094	0	0.12736336327363	0	0.0118202964970764	0	0	0.0530115168615558	0.0523460947811405	0.0442050990799747	0.061022164934216	0.00123963303770548	0.151668155900698	0.000669585062533757	0	0.13432586594036	0	0.00269162094001787	0	9999	0.0360108779573673	1.07134888984392	0.67
BS_52426AMF	0.0242726447907178	0	0	0.143669613960822	0	0.19239627700348	0	0.0416249275279628	0	0	0	0	0.347648589427023	0	0.00123582603552247	0.322890417866287	0	0.00374760896227591	0	0.0783571046728799	0	0.134156989753029	9999	0.0664803602928818	1.07232808983384	1.29
BS_52C576HH	0.00305638540496305	0.00220180069689897	0	0.0150241459561493	0	0.138458064067607	0	0.000680076195870573	0.000878254126609404	0	0.0378821736508174	0.0207718689468886	0.0497860583273191	0	0	0.0984554255127165	0.00759755825323782	0	0.0395371472432752	0	0.00166791750341118	0.00400312411423589	9999	0.00311773073002358	1.08557133902129	0.42
BS_52DAPP1Y	0.00021412363716496	0.00260021291656783	0	0.0225060085584313	0	0.118751830996189	0	0.024427940033878	0.00548834266668397	0	0	0.0259421091304141	0.0297273685262733	0	0	0.120702546356654	0	0.00159337020973412	0	0.0114243832862779	0.000996136998964067	0.00562562668276731	9999	0.0166532746832477	1.09085927978502	0.37
BS_52MPKTJH	0.0011123891588192	0.00198889002742768	0	0.0324041367696004	0	0.163570513259866	0	0.0106501535867441	0	0	0	0.0268685273207422	0.0434495178557437	0	0	0.155211108656573	0	0	0.0428992245360506	0	0.00184553882843295	0	9999	-0.0138571645942478	1.09517931510091	0.48
BS_53CTGDQG	0.0115211320434615	0	0	0.0613318185544262	0	0.0370250853573038	0	0	0	0	0.0115738197930343	0.00148288721507533	0.125921605465284	0	0.00148933320745203	0.435147557656108	0	0	0.0198647075922513	0	0	0.00464205311560415	9999	0.260394414055101	0.999870703773008	0.71
