PC1	PC2	Kids_First_Biospecimen_ID
50473.2358282851	-22399.466807970493	BS_996ZS2A4
27846.506774966085	15069.607290316775	BS_TYKJ8G2G
-188527.33069334537	52594.14775239672	BS_77317DY4
-30962.567749011483	69232.38349477707	BS_3NWQXPQV
48669.25041689796	-14043.542329644257	BS_HV8PFRBR
45318.55228919227	50234.4774199899	BS_BSV07M7Z
44899.419364898014	73772.54079847546	BS_DGTPWJ59
71412.47434008506	-30091.419978151825	BS_8VAZSJEN
7246.25720729501	10157.776504682473	BS_9755PSCS
115998.76043837702	-37114.62810268529	BS_VTJ9ESSV
-69406.17254065286	142877.9926734374	BS_Z7PKVY9J
-85435.11168194047	29288.928995970236	BS_SKGJ5SY9
-88504.20357298518	-10670.17624385679	BS_8ZD6J47V
-5970.427093438048	24073.069161082152	BS_A87NPZAP
197208.85302172013	-57650.90407427067	BS_ZA9XT151
-63561.63222364002	-97.5806764217118	BS_45J79YTF
17899.895151675242	-11089.774911781473	BS_6WP1FHTE
-11183.99160139101	-13047.08449584593	BS_TXZ7KHTQ
9636.145200963208	-22442.872584228833	BS_H4NXBD2D
-305039.9532655249	-71498.9850284748	BS_685DACMS
-65379.5924429768	-22495.22328285948	BS_FX2P2WEG
5100.517379929108	-61752.423365022696	BS_Z7G68ZS2
-29766.63736002004	37921.15592095607	BS_P39SQPTS
-15981.568817610634	-16111.635498782094	BS_NFRXNAFE
19316.43280754978	26055.573078298483	BS_78QX3XDF
42016.42534044479	36051.32412070157	BS_TA9WP4TH
7965.440483307585	3623.8192510717604	BS_DY9NTFQR
-48058.74177197974	-16493.66009483519	BS_FKDQJJB5
91573.38635776013	-6382.500987768011	BS_K7MVS0Z7
38667.42858775916	2882.4561085827518	BS_8F9BDWY4
92181.3027672641	-52690.93732743519	BS_HJRTC9JQ
95602.61142766089	-90915.227118784	BS_9E7YVFJM
51797.55212429425	25000.99339082291	BS_28CDASF7
102461.13397159026	-53895.41445899961	BS_DBDXCXT5
-66609.40881937376	114676.49678938928	BS_W644VEVE
77568.10705030458	14566.459361153238	BS_QWTE1CWR
156028.17261824093	-50327.48007191507	BS_N5B2CZMH
-49171.11548449473	93037.89529934051	BS_S6S7SK3P
-13567.579937752822	-2437.6539416301184	BS_EXGBH3TD
46549.78159436106	-50993.69666668173	BS_29006KEX
-5286.0864644554395	33035.45350537662	BS_RCCN63K6
71316.24699947963	-27964.08499325646	BS_TG93XC55
6487.802815988329	27806.533041338433	BS_FBJ5Q54N
70688.93750890617	52124.66413384892	BS_AGS1HHGF
38458.34135649205	11013.959247067009	BS_KZPR01BD
-126056.4157744008	18849.162870716646	BS_WJ9H4NZZ
20620.75544178427	22783.165624356716	BS_EBMCTR80
152561.47572332184	-38544.27272953535	BS_HCP5C912
126983.63566807426	-53080.00816180985	BS_3J85TTZM
145867.39158831758	-45810.336198233555	BS_ERJAJ0KA
-3292.6458979439476	21274.983524202245	BS_A7MC2KR2
-115157.18883314026	50790.30561488131	BS_03FT4S8B
-116404.86287456172	42652.3654308037	BS_R439VVPK
58804.124533769944	38.37739800887065	BS_ZZPBANDD
32682.822297121966	-19004.127526238797	BS_M7HCF7DW
45019.000571973746	-802.4252658392211	BS_SDZY6RZ3
30303.708430782932	5156.880268213026	BS_A46RDWGM
39155.21154469427	-3703.670685219529	BS_42Y3YANN
119060.80976244547	-48137.57401222698	BS_KPT2WPHW
96849.49291969794	-46594.051273152276	BS_B1HVNV0T
83414.22245380771	-43866.07014708864	BS_RXN5T5YT
-35629.95341069581	80064.34710204558	BS_1TWCV047
29997.314634314487	-37577.007792017524	BS_C41DJZ1F
-34774.1436265645	-28833.876359205846	BS_DFGS950G
-305747.91247992765	-72207.94814855194	BS_58YXHGAJ
69512.1152627627	21597.06880306765	BS_JVA2NQFF
23829.90050772464	-29163.20036724235	BS_HBJZR69P
116609.19837350432	38887.45215237742	BS_FQX1PRAJ
238406.83091298406	-59405.28788321628	BS_3T6X4BPC
-90268.70992056975	26482.73597501567	BS_HZE3KYZ1
-75784.32083458142	-42244.599722908155	BS_VPNXJE2S
68712.81849102922	-28022.977657249863	BS_XJTW0P8P
144895.230217849	-7800.390203293221	BS_BKR4E30C
-2105.3302875173467	138461.19420890242	BS_M1T1K5WV
-1250.942374190865	-20337.95136239777	BS_V72GX2AZ
71958.60373799354	2768.4743408407485	BS_1T19NFJ8
-59658.75202483879	62521.64684811636	BS_RD4D5F9F
