	SAMPLE_ID	RAS_SCORE	TP53_SCORE	NF1_SCORE	RAS_SHUFFLE	TP53_SHUFFLE	NF1_SHUFFLE	sample_id	NF1	TP53	nf1_status	tp53_status	Kids_First_Biospecimen_ID	Kids_First_Participant_ID
108	7316-198	0.2503750552750313	0.5801637859874044	0.4477134564965924	0.4083526204291213	0.5383286080240091	0.5541034591175128	7316-198	0.0	0.0	0	0	BS_3X9WMZGJ	PT_3VCS1PPF
109	7316-2203	0.5073772214346891	0.4267861894938494	0.6084059244611576	0.4530848149962611	0.532095308320082	0.6313566438104274	7316-2203	0.0	0.0	0	0	BS_3H71BH6Q	PT_AWMZ12NP
110	7316-2590	0.4732722254141174	0.11426721749142922	0.6952435839484893	0.3745816991422251	0.1499260251070196	0.4936312889543104	7316-2590	1.0	1.0	1	1	BS_3Y0QXZQB	PT_K8ZV7APT
111	7316-91	0.30871804123177576	0.727775797494504	0.5293956829009009	0.6894123618902656	0.5264554825961582	0.5939068066856962	7316-91	0.0	0.0	0	0	BS_3PYESPHA	PT_A594A46X
112	7316-275	0.5397382500795199	0.3995804950801042	0.6052444710259617	0.5071220031465085	0.5143865762901053	0.5541220797345072	7316-275	1.0	1.0	1	1	BS_401R3KV0	PT_MBAXTJET
113	7316-1789	0.4967686821071561	0.7426169226054992	0.5108395548625949	0.5091982485722307	0.4709700215385666	0.5518593738875683	7316-1789	1.0	1.0	1	1	BS_49FQXT2E	PT_89XRZBSG
114	7316-2152	0.6097441812924648	0.7847919812581229	0.5066717988810191	0.5415074906844752	0.6744253180883649	0.5893887583800991	7316-2152	0.0	1.0	0	1	BS_4B0BAVTX	PT_7FZ8SE69
115	7316-3504	0.5791591710084353	0.4862188079300626	0.5783377011621316	0.601961394623826	0.1956978089488305	0.4806513058088655	7316-3504	0.0	0.0	0	0	BS_42DY6WS7	PT_12JTZFC2
116	7316-1710	0.6280215544444935	0.3840363981700592	0.5793325397207967	0.4934054968104787	0.3567020056027662	0.508017040987625	7316-1710	0.0	0.0	0	0	BS_42Y3YANN	PT_BDNE55YT
117	7316-1115	0.6128135880903698	0.6371760426324572	0.5035267123899125	0.5899740707540435	0.6294398583918497	0.4875456345968043	7316-1115	0.0	0.0	0	0	BS_46BZ2NNN	PT_41RR5FQD
118	7316-3491	0.39924425114050544	0.5180064077096259	0.4973553684755728	0.6236362883572789	0.4347057234151582	0.41785028625631215	7316-3491	0.0	0.0	0	0	BS_470DYRJQ	PT_0EWY6S6S
119	7316-2575	0.3248699619999156	0.3664997081254241	0.5354408862175657	0.4245758822719852	0.6768586793742681	0.4205772745416922	7316-2575	0.0	0.0	0	0	BS_3XY76V8T	PT_GDDWPDMC
120	7316-641	0.5961982077586347	0.15413802913367292	0.7232789852473048	0.4910843475011434	0.474249322916731	0.3781991012054634	7316-641	0.0	0.0	0	0	BS_479S95Q6	PT_8V3360DR
121	7316-3627	0.4754214549289779	0.0459768271601243	0.5827141769751052	0.6788524252335121	0.6685419952297371	0.3436843540411321	7316-3627	0.0	0.0	0	0	BS_47SJZ3PH	PT_1VQWQ0TC
122	7316-2689	0.5328577211280248	0.452558869563267	0.5962277831873181	0.5619017127340503	0.5346750650726553	0.4551560391680151	7316-2689	1.0	1.0	1	1	BS_49852ZBH	PT_5VAKED5F
123	7316-1649	0.7045755569690176	0.2414917837568453	0.5497122605967112	0.5213249701484153	0.4710960252438599	0.4200832153694062	7316-1649	1.0	1.0	1	1	BS_49F4RAA4	PT_J06X17XH
124	7316-195	0.4685743086817895	0.8877317446224838	0.6081217402736073	0.6299926455426302	0.4943895131861242	0.5491261110609793	7316-195	1.0	1.0	1	1	BS_4QW2S1Q8	PT_Y5KY6KN9
125	7316-398	0.5120601052279882	0.28087686872465223	0.639282025478175	0.5240036673531051	0.4632458051282982	0.4401665409589372	7316-398	0.0	0.0	0	0	BS_49VCQD19	PT_DEDRCQWH
126		0.5327468091230666	0.35900690669152324	0.5537618300586512	0.5220354756677992	0.4307408895583051	0.5064480655852082				0	0		
127	7316-644	0.6241373911535218	0.9104831525515764	0.7506411130674456	0.6809481651850453	0.4263629072951315	0.5327531918850726	7316-644	1.0	1.0	1	1	BS_51RA1PGE	PT_HMF8J4EG
128		0.3394075475682029	0.09295969325904224	0.6295497705875344	0.4685284136399987	0.4757858087203535	0.4638836765725102				0	0		
129	7316-476	0.5615854226427093	0.4528847770657198	0.604367572475793	0.5944037022361734	0.5385006035731721	0.4504760699477097	7316-476	0.0	0.0	0	0	BS_4C4MZ4NT	PT_A9F8Y6MA
130	7316-3075	0.8236954121322576	0.29385331438177426	0.5136624808719732	0.35304753109858084	0.4255139764079003	0.4763080961795487	7316-3075	1.0	1.0	1	1	BS_52C576HH	PT_KFYJBQB8
131	7316-2110	0.4966246043555864	0.541190264085489	0.4567865195652786	0.6159240426263821	0.3081027467275081	0.5874802265238593	7316-2110	1.0	1.0	1	1	BS_4E1G7E3G	PT_RJ1TJ2KH
132	7316-3139	0.5457210730257022	0.37461428979626304	0.6340926138369922	0.4073750228971016	0.21371760460112088	0.5274457795169565	7316-3139	1.0	1.0	1	1	BS_4EN8D8Y4	PT_ZRQQC2S9
133	7316-160	0.18042172895033404	0.6492824888303587	0.4646872973509327	0.6913719859082863	0.6097987308469587	0.5017375771809212	7316-160	1.0	1.0	1	1	BS_4FZS7TX4	PT_NPETR8RY
134	7316-230	0.3443038149653458	0.21704422278265448	0.5733684741923578	0.3612084542817041	0.7079240429337853	0.5223280117221076	7316-230	0.0	0.0	0	0	BS_478TN841	PT_W6AWJJK7
