	SAMPLE_ID	RAS_SCORE	TP53_SCORE	NF1_SCORE	RAS_SHUFFLE	TP53_SHUFFLE	NF1_SHUFFLE	sample_id	NF1	TP53	nf1_status	tp53_status	Kids_First_Biospecimen_ID	Kids_First_Participant_ID
31	A17997	0.5387897566121811	0.4996891525940394	0.4534709104907696	0.3834899070322925	0.3401047304609238	0.4026648857781879	A17997	0.0	0.0	0	0	BS_NEVYM2FP	PT_EN2RN5Y1
32	A09689	0.5855569577793209	0.6381074325993478	0.5205917069811095	0.5818732632431108	0.6533221173129617	0.5705754609847445	A09689	0.0	1.0	0	1	BS_NGSG2KB6	PT_KTRJ8TFY
33	7316-204	0.2443856585325821	0.4777384224786914	0.4387719383513354	0.6492336048210294	0.6371775011558273	0.3943152547815259	7316-204	0.0	0.0	0	0	BS_NPA6CZQF	PT_RSDTCFDA
34		0.7390671402583331	0.08988608953989327	0.6348845823385147	0.40910418239086543	0.533566425039517	0.6229441269056718				0	0		
35		0.7035884284872284	0.6173046799611789	0.4145936397893066	0.7684021999390199	0.5885271894048107	0.5035626192064162				0	0		
36	A14567	0.6336340261241821	0.9078506667694388	0.4555405040379979	0.6529921162695315	0.6137746988465805	0.4896096915785297	A14567	0.0	1.0	0	1	BS_QNNX91SM	PT_CSKHQB16
37	A09410	0.39152079138592577	0.8996748238591249	0.3703726171187525	0.5208801835650413	0.3912578262652922	0.4895238850817558	A09410	0.0	1.0	0	1	BS_R7NTZR4C	PT_0MXPTTM3
38	A20091	0.4259516621145499	0.4438268883464476	0.5074366385252044	0.4839413503455634	0.4774376441218763	0.452830494475124	A20091	0.0	0.0	0	0	BS_R9B92M75	PT_1YQH5NSH
39	7316-388	0.514175794991672	0.5277631649723483	0.5603842685873437	0.7632551006435395	0.3644953989691058	0.3981742788312482	7316-388	1.0	1.0	1	1	BS_RX1YTZ7F	PT_4XB3YTJM
40		0.39257424705344107	0.2738242540530436	0.4688384387187493	0.5093951036714722	0.6341910232390231	0.5438315797763649				0	0		
41	7316-392	0.6747687202138368	0.26451744114230336	0.6578825590842239	0.328405741236818	0.483536362423298	0.5142954695900256	7316-392	1.0	0.0	1	0	BS_T3DGY9J9	PT_JSFBMK5V
42		0.8066824886400447	0.12272303870197443	0.3363338560517597	0.331123200517373	0.6043504762757163	0.37362045944456107				0	0		
43		0.1587969577857949	0.9723999347017674	0.4653471407425966	0.5950553307444958	0.4310911944873443	0.5523178473508491				0	0		
44		0.9260703648456272	0.11125688161807704	0.5918166353284465	0.36892216537792266	0.6288808609249074	0.4731231844259667				0	0		
45	A14565	0.7583995720044241	0.1058934297421224	0.6698707685701775	0.4898872032318816	0.5695299399253545	0.4636174369933724	A14565	0.0	0.0	0	0	BS_W7MFJZ5A	PT_C5FKRB1P
46	7316-161	0.3449729875758653	0.4490920924301138	0.481059342049923	0.27851859809448903	0.4921520050914709	0.3566511125058361	7316-161	1.0	1.0	1	1	BS_X0XXN9BK	PT_Z4BF2NSB
47	A17096	0.6409425158056995	0.8415377927460604	0.4235334810811881	0.3428005401544015	0.4996900968530579	0.5370853017787244	A17096	0.0	1.0	0	1	BS_X4DD4KSZ	PT_A06JR0E5
48	A19649	0.5603643904815501	0.6995217175727093	0.4887875855868399	0.5491302839840652	0.3697135981305371	0.68475303563388	A19649	0.0	1.0	0	1	BS_XGDPK33A	PT_G16VK7FR
49	A12911	0.2697698891205751	0.5620719210016983	0.4145436095821764	0.5545161142986585	0.6545910649383251	0.7603840351621138	A12911	0.0	0.0	0	0	BS_XM1AHBDJ	PT_7P6J57H3
50	7316-409	0.5430705037895371	0.5092737176191442	0.5291254182179629	0.4817698454476448	0.4688118520560745	0.5329143863772043	7316-409	1.0	1.0	1	1	BS_XZM79E42	PT_2JDDX6TJ
51	A08692	0.3903134820402909	0.6033605012992236	0.4271065611164003	0.5036313707262936	0.27124546512182385	0.614841496367578	A08692	0.0	0.0	0	0	BS_YDEVMD24	PT_NK8A49X5
52	A15726	0.6212330655960631	0.5178668223894123	0.4887925792935916	0.5080717745454113	0.5535396395861207	0.4078129375207421	A15726	0.0	0.0	0	0	BS_Z3RCA1T9	PT_C9YDTZPA
53	7316-445	0.3823172144261671	0.2789837961767377	0.5206144055730729	0.5121388756706151	0.3486102793840972	0.4719209175909011	7316-445	0.0	0.0	0	0	BS_ZD5HN296	PT_89XRZBSG
54	A15170	0.4750000515900873	0.5414752966019832	0.4940530239765717	0.4998653256392616	0.554417020656376	0.4771805609934669	A15170	0.0	0.0	0	0	BS_ZF6BSFNF	PT_NWYSD53S
55	7316-155	0.4142957581021744	0.32660040487264963	0.4700287970587228	0.4018002010659706	0.5644729505153615	0.6171521118321669	7316-155	0.0	0.0	0	0	BS_ZQ76ZBEX	PT_VJBVXB08
56		0.4623204428207009	0.6407271242751476	0.4354635409367352	0.3992128865613051	0.4387638679762687	0.5628601052120967				0	0		
57	7316-333	0.4341396756803316	0.8610405461630577	0.4274256471324797	0.5199718413963831	0.37095337438003495	0.5095533353601087	7316-333	0.0	1.0	0	1	BS_S6Q7NKA3	PT_9S6WMQ92
