"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"ZNF101P2",5.63642543473318,2.92675521332267,14.9236862522833,0.00104705293250942,0.0273534607752279
"AC025423.4",-4.98455076360691,2.45846814772376,14.9121048956651,0.00105064416191525,0.0274138880593166
"KMT2A",2.06366840032455,1.12932634276983,14.8975644149804,0.00105517236266317,0.0274985866760629
"RPL41P2",-7.26640606241001,3.8837138490229,14.8896785719802,0.00105763723722214,0.02752937313585
"PRR12",1.54581061061821,0.830177638046485,14.8790397920627,0.00106097273615276,0.0275827190848537
"ZNF451",1.60590716518908,0.866940296255326,14.8656884387975,0.00106517523193112,0.0276167515742846
"AC068790.2",3.73196410180775,2.16219170695682,14.8628805049293,0.00106606141337926,0.0276167515742846
"AC079915.1",6.87390007361899,3.66540775869052,14.8626169186203,0.00106614464302068,0.0276167515742846
"C5orf42",2.08835128624426,1.1957892571585,14.7725327021212,0.0010950168803764,0.0283304246686527
"DNAH7",2.24980052520222,1.08832848358932,14.7558492587958,0.00110045872233636,0.0284369140682773
"PRO1804",6.75786784154534,3.45662299130886,14.7227021323636,0.00111136008716114,0.0286840567381856
"DUSP18",1.61077796313438,0.827335160001509,14.7148268578591,0.00111396769381269,0.0287136737862618
"RPL21P16",-1.68350245110546,0.907844759696566,14.7111571253621,0.00111518511115051,0.0287136737862618
"AC022893.1",2.62112964833029,1.4028527974156,14.7040784313063,0.00111753761345158,0.0287397442845437
"Z93241.1",6.52163664764285,3.61373979567219,14.6578969666691,0.00113302133726862,0.0291030438823202
"AC078846.1",2.73737133692025,1.52878146307104,14.6431363804706,0.00113802041016264,0.0291964853554646
"AC117382.2",2.97130642892945,1.11265759139223,14.6368995856199,0.00114014002958777,0.0292080017272006
"HNRNPA1P48",-1.7892426162196,0.981908331330163,14.6338063751926,0.00114119290597697,0.0292080017272006
"LCOR",2.10286878145689,1.19355488760263,14.6048730361219,0.00115109379738729,0.0294262929277267
"RPSAP16",7.72319631942057,4.27103996334537,14.59616156458,0.0011540934966912,0.0294363145454676
"MID2",1.59079562660141,0.668657936251614,14.5957636473812,0.00115423072233953,0.0294363145454676
"YWHAEP5",1.69474536423588,0.688470747330277,14.579987319532,0.00115968597708331,0.0295403145326398
"NME1-NME2",-2.13293761984094,1.28052438683698,14.5615510807699,0.00116609732046693,0.0296683930360316
"RN7SL3",7.78527565856185,3.94999256193264,14.5441758963019,0.00117217573469673,0.0297709053854167
"FP325332.1",5.05008014804707,2.69667632308682,14.5421048387162,0.00117290260400397,0.0297709053854167
"AP005060.1",8.3834206918553,4.33675108625656,14.5348732868575,0.00117544455715699,0.0298001594112329
"Z95331.1",3.05283691162034,1.95788463417261,14.5300670574586,0.00117713737379162,0.0298078422586572
"AC104662.2",3.41296827163105,1.77890755284376,14.5224685566235,0.00117981919334246,0.0298405212957654
"SPAG5-AS1",-2.30246262111659,1.11170903823382,14.5148272636749,0.00118252296302348,0.0298736778691727
"AC074194.1",2.22428962484471,1.0234073621179,14.5077742426403,0.00118502469087181,0.0299016583174336
"AC087284.1",5.43755618121864,2.73355533034036,14.5016835015656,0.00118718982700326,0.029919606245549
"TTC28",1.7808527681949,0.974725838984011,14.4979310175447,0.00118852594746399,0.029919606245549
"AC116533.1",-1.9412989016864,1.04520744916626,14.4893655559732,0.00119158205420243,0.0299613738552563
"STON2",2.19274515332047,1.2836752620657,14.4643381730796,0.00120056181656089,0.0301518148028079
"RBM28",1.67773212617583,0.951292678898756,14.4505454733569,0.00120554271940051,0.0302081782876363
"INSR",1.86079521632177,0.893738994026079,14.4481015148933,0.00120642768866963,0.0302081782876363
"AP005131.6",5.56949291802585,3.07883870452288,14.4464355163906,0.00120703136854272,0.0302081782876363
"ZNF264",1.68808666518057,1.02336440361497,14.4397513366916,0.00120945677905371,0.0302336002297715
"STXBP4",1.74317345699935,0.964466274749704,14.4268210197881,0.00121416403651263,0.0302808670502915
"AC105114.1",6.92674339773467,3.32988796051156,14.4268011593047,0.00121417128232239,0.0302808670502915
"AC240565.1",3.72590496836083,1.1568626196838,14.4163289858633,0.00121799860301756,0.030310309073864
"TMED7-TICAM2",2.42761250571886,1.04135304468891,14.4158384282049,0.00121817821809356,0.030310309073864
"AC074135.1",2.56435852729805,1.43108738590949,14.4070147316072,0.0012214139981047,0.0303556053665696
"ULK4",2.32118218832635,1.28980208511405,14.39539887851,0.00122568827277062,0.0304265764749817
"AC134407.2",4.31518172385463,2.26608444383934,14.3900123099912,0.00122767600136607,0.0304406877194214
"EXPH5",2.87586739996783,1.71822696536453,14.3826598115779,0.00123039497229362,0.0304633501445055
"AL627171.1",2.65233103301068,1.0829343020636,14.3798639335433,0.00123143064972428,0.0304633501445055
"DRAP1",-1.58167129399651,0.878853951487709,14.3736414482884,0.00123373912417435,0.0304852957779855
"AGO3",1.87299091654582,1.12621941899645,14.3632291198704,0.00123761274718924,0.0305458207154372
"FBXL18",2.06682757912258,1.13697451333032,14.3313354146241,0.00124956227164494,0.0308053006922306
"AC004217.1",5.44937441034536,2.59608469592061,14.3227845801441,0.00125278774136274,0.0308333008996275
"AC105101.1",4.50585852226911,1.91028110660436,14.320705956701,0.00125357321822432,0.0308333008996275
"SLC7A5P2",4.91019220235333,2.35488745769499,14.3099577395397,0.00125764352887542,0.0308979821389691
"AC132812.1",-5.89544189698456,3.34957883206875,14.294076608222,0.00126368456052182,0.0310108769497391
"FOXO3B",2.1900730449509,1.13766378789962,14.2872668882695,0.00126628478436955,0.0310260850100152
"DANT2",6.66283172792507,3.63230407420767,14.2848804470061,0.00126719742953997,0.0310260850100152
"BPTF",1.8735944702514,0.931847294296616,14.2762581652965,0.00127050093894962,0.031040581636602
"RPL36AL",-1.95079723455681,1.08249911487195,14.273516673583,0.00127155330814441,0.031040581636602
"AL133230.1",-4.16752252482872,1.42958482313753,14.2720121435601,0.0012721312597246,0.031040581636602
"HIST1H2BJ",2.53811069258862,0.821446500163918,14.2597836526522,0.00127683956604815,0.0310873624559507
"AC027279.4",7.4780253776598,4.15010843003521,14.2595043543663,0.00127694732952688,0.0310873624559507
"NF1",1.58662261211356,0.890240356222174,14.2391881987772,0.0012848132152477,0.0312433943771346
"AC008764.10",6.61344622471733,3.44947231288487,14.2075712581639,0.0012971617844385,0.0315079569112537
