"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"1025","CIRBP-AS1",0.235688518008848,0.832412382030435,0.562615843581793,0.560351891159757,0.603494500153224,0.359738408887793,164.155806592653,87.3288703467498,119.925736003758,70.9343966603784,60.780738406,69.4919010445974,146.028243905787,161.379778365661,100.169337789599,99.8306622104009,58.9330292059917,114.526423419107
"1026","MBD2",0.132108368778576,1.07012944934104,0.744775730070056,0.743310671600765,0.794198896341521,0.359838672510119,141.809177051732,96.3489451432627,147.121926663928,97.4062400784031,102.593759921597,72.1356656215056,237.348175159393,138.165682919451,139.996394276419,96.9018488983223,96.4521742217997,94.1573462263989
"1027","HHLA3",-0.179176614365186,0.870243683862488,0.665664004273407,0.657761226107294,0.678983175760665,0.359876911464173,87.4803351578944,65.2245579266921,69.6914341373851,92.1302368781548,122.541660476414,107.869763121845,137.471066456981,85.1727575852725,67.8423470527502,133.07986241418,188.854582418506,162.003749848688
"1028","ARPC2",-0.235437983538562,0.853651826799539,0.57173279471699,0.560764714585604,0.569478559522531,0.359930952917895,101.147240807951,87.5787199544633,98.8527591920493,59.8793357039822,68.756162688903,93.6131434301079,198.61554419714,126.342568426834,139.022106333095,80.3437999191158,108.371683622914,156.859597774883
"1029","AC106782.2",0.0727429516931464,0.846950997845229,0.859933555773299,0.857329597107093,0.878651942445528,0.3599644460868,163.100601526368,59.17913185871,104.909769441383,87.9679685873451,90.6449514256257,39.9445953893375,170.152085658273,96.7447010611346,116.720058235128,129.106959766868,89.0591308549083,103.255298938865
"1030","PDHX",-0.211833557876402,0.807806089983795,0.609059774401608,0.601063931878059,0.642863234395256,0.360060485947798,48.8945301505505,104.429360926617,117.083880737368,95.5706390733826,85.7042052704261,51.7018782152744,139.125792458,128.217639166056,170.569435406594,78.7816440864808,133.989354036001,74.8371270951899
"1031","PPP1CA",-0.0675574819993886,0.832368070201661,0.871142332521093,0.867309964439943,0.871630518489818,0.360386297549011,112.611169244633,140.144378820419,85.4664919798655,82.3593543924975,54.1048860876188,84.2178005720419,191.162880780508,140.795240273865,137.68272482295,110.281290118435,66.3609539758333,89.7187098815653
"1032","MED19",0.152693826024784,0.925725223227062,0.715110910937053,0.705244509526548,0.722687126283697,0.360430748847288,78.2030272738034,153.697560825957,66.8924506499547,180.36318143048,98.3911429214541,101.608857078546,86.6994484764059,156.139266323273,76.5280170009091,184.794587756146,110.713540254751,95.0408842688305
"1033","TRMT1L",0.0837448221652437,0.857890315173808,0.840022699133082,0.835849038500855,0.842331706013319,0.360477738378138,146.120361953297,75.028839853023,63.8653681313788,118.618180588019,88.6196192309943,99.3351538173737,206.470977742098,85.3302729151391,75.652074289636,120.573097763358,100.664846182626,132.975933265831
"1034","NDUFS8",0.0312875476515693,0.868357159873534,0.941155341290584,0.938290558720968,0.943007612137247,0.360656302326093,133.448725726134,133.248074946895,72.9473018596634,76.3571187442793,101.424947810597,76.6081785408291,196.07978107908,159.472514306037,82.4073109545196,98.575052189403,103.142961134359,72.675184697084
"1035","PPP2R3C",-0.406689734269977,0.868588388757585,0.319284038081949,0.315350026174728,0.316151709770953,0.360779914655599,100.621297112801,99.3787028871991,66.2044979551778,78.4016042242733,82.8689311803696,75.8495785621755,212.178202446389,136.61906364321,99.1996563181877,112.174964843318,142.1621756988,132.589114342134
"1036","ZDHHC24",0.40512235195892,0.976151027505629,0.321133110185713,0.316434597536723,0.404844534300127,0.361050177031703,94.5285641260322,73.2818390308711,153.974922320502,100.621568344959,99.3784316550406,154.852584551619,115.450226124569,77.7572068196424,212.690314596098,90.6477055452965,78.4020833937846,113.802048559175
"1037","AC011489.1",-0.122013568284133,0.856042884599791,0.774176017065773,0.763029976693632,0.788069150310837,0.361327717306773,81.1119589766846,67.5665985748116,125.802982982926,41.9718545998522,95.5068843774402,103.463013734627,96.5369862653728,172.261519346691,156.264884700863,79.027682771618,120.230870414408,150.642024579684
"1038","NXPE3",0.493477742456526,0.926246274162808,0.22762262171326,0.223193446359268,0.324071086407334,0.361395207561771,96.4280608199228,126.362939659179,158.8991621873,61.9486252253643,143.27898253016,87.2420041265991,80.761769807619,103.571939180077,184.41276654918,59.2430864617538,111.00550095285,79.3197529739638
"1039","WBP4",-0.453804114457716,0.960648592493723,0.269159439347245,0.262346734678214,0.289605829566497,0.361653453403962,67.7542598833669,70.3332775719957,92.9038651036847,99.2870983195544,89.142964639303,94.2245489808387,100.712901680446,129.65614567214,159.393900982161,163.878843375095,164.899014130362,201.225603365138
"1040","ZNF511",0.0227385518092693,0.802527460719862,0.960396079863623,0.955188403334364,0.958455865847721,0.361670406360092,97.3630220651244,93.2998203855856,101.191871765273,134.561754391749,33.8075668902163,90.798208953461,127.324716404411,121.623731161495,98.8081282347267,186.572908269118,61.1213773425677,109.691606329705
"1041","ILVBL",-0.190274493554045,0.856040315041676,0.64344715283397,0.638088579189421,0.661365875963102,0.361967992217657,66.2614296818762,143.952113364683,86.8215394475338,52.2056262904815,106.524542762493,94.3321200743228,105.667879925677,190.37188999636,135.392474619373,79.6900706008849,149.080388782732,93.6222175637083
