"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"PCBD1",-0.444168417856669,4.83456801487632,1.55743247119498,0.219304765473217,0.396634672799368
"PACS1",0.333177499139639,4.71775733493831,1.55541044642808,0.219598572647602,0.39683145604811
"BAG6",0.326746545215362,4.67191369899282,1.54776312988173,0.220714143756788,0.398511648449756
"FBXO21",0.367194103875425,4.63998651299224,1.53945284876739,0.22193435023666,0.400377780704488
"SF3A2",-0.472195102933728,4.81380424596883,1.53525451656263,0.222553956239618,0.401158181625194
"USP39",-0.336105676907334,4.68827229261873,1.52985602674273,0.223353824830355,0.402250035118034
"TIMM22",-0.353074807227862,4.65465740768565,1.52797287938442,0.223633676052382,0.402250035118034
"CAB39",-0.385760311332447,4.81224577725734,1.52732004390349,0.223730793799692,0.402250035118034
"IKZF5",-0.424637273365914,4.75559171024818,1.52611759645277,0.223909809758011,0.402250035118034
"FAF2",0.329529447619968,4.7279077117323,1.52369847227799,0.224270496187032,0.402250662925274
"SURF4",-0.367920938982317,4.62738495087971,1.52359983435401,0.22428521811591,0.402250662925274
"DENND4B",0.367879121539234,4.78476843322923,1.52161008981569,0.224582446943827,0.402288660969495
"ZNHIT1",-0.381161487464285,4.77594251005551,1.52094772475622,0.224681499226786,0.402288660969495
"USF2",-0.39684392661295,4.82786382373866,1.51932537393874,0.224924339073506,0.402387579076457
"MRPL39",-0.367437616795998,4.73069745366244,1.51650617543696,0.22534709975156,0.402514740511978
"DAG1",0.495728241097394,4.94866848302515,1.51524865960833,0.225535990718185,0.402514740511978
"GABARAP",-0.403947592828854,4.82214304402098,1.51509971405399,0.225558376734451,0.402514740511978
"RCN1",-0.515159199520786,4.96492034874507,1.51201388018771,0.226022785858343,0.40300820919879
"AGPAT3",0.337852874635575,4.71946653034809,1.50970087856152,0.226371661485424,0.403173897342173
"CLPP",-0.392408174823092,4.84385768487954,1.50890652118269,0.22649162997544,0.403173897342173
"TOR1A",-0.320239056243155,4.68726456686793,1.49915154421522,0.22797131973044,0.405112019160801
"CCNL2",-0.515956889418026,4.67634579725306,1.4991237698652,0.227975549759965,0.405112019160801
"DDX39A",-0.365838417065193,4.7655653711325,1.49799855287865,0.228147001932982,0.405112019160801
"CBX1",-0.63029003646597,5.09157319372586,1.48850862606613,0.229599381905085,0.4070448017069
"TATDN2",0.328183680851575,4.71430140788175,1.48840687501286,0.229615016347482,0.4070448017069
"ANKLE2",0.320364532520129,4.73535579937836,1.48440207354818,0.230231419877835,0.407800491856281
"TMEM41A",0.349536833879918,4.80216288235405,1.47846415292632,0.231149146287666,0.408812681596108
"AK2",-0.344000372698758,4.73445097942848,1.47746594895346,0.231303867857517,0.408812681596108
"TUSC2",-0.330994569894763,4.64354241088851,1.47700965280273,0.231374636577005,0.408812681596108
"EBAG9",-0.857576906879649,5.47940368222532,1.47508591811714,0.231673291859305,0.409003465875069
"MAD2L2",-0.384762111989626,4.60809627643243,1.47310555185324,0.23198123953795,0.409146159042137
"SLC39A13",-0.36391568644552,4.83731988471318,1.47211407060576,0.232135606319012,0.409146159042137
"LSM12",0.333596993738678,4.73912048344848,1.46765849645169,0.232830886734857,0.410034689693159
"B4GALT7",-0.350843388399693,4.83109588169571,1.46420590167275,0.233371436450845,0.410649492360182
"SAV1",-0.356394705296157,4.59742000802122,1.46103692765864,0.233868956433807,0.411187632418456
"NAT10",0.333429857811589,4.74168242067147,1.45296830340458,0.235141681651899,0.412898396311405
"FAM168A",0.405238223468844,4.6486415332504,1.4524295817329,0.235226965171346,0.412898396311405
