"","stranded_over_polya_logFC","average_logCPM","LR","PValue","BH FDR"
"FERP1",-7.80415609366902,5.54058677382692,76.6309463821869,2.06084827823633e-18,1.05240652075268e-15
"SCARNA10",8.80714953073315,5.65933490130625,76.2920357296048,2.4466866596058e-18,1.22038454593547e-15
"AL513523.10",-8.6247616750722,5.44499413533619,75.3823664339891,3.87838297446109e-18,1.88561978793285e-15
"AC010978.1",-8.82805313985198,5.71824217145658,75.3431353231643,3.95621458676699e-18,1.88561978793285e-15
"SPATA46",-7.48020877002292,5.56892436403094,74.9585758253935,4.8069463829876e-18,2.24129100048518e-15
"SEPT2P1",-9.01684373301035,5.69512654554008,74.12401885087,7.33602773322909e-18,3.34772601749569e-15
"AL359918.1",-4.49817776565593,4.95498724121797,73.9191591147897,8.13825741696252e-18,3.63644468914609e-15
"LAPTM4BP2",-7.45410986568329,5.65751176068189,73.1149176308252,1.22316523796146e-17,5.35396898444845e-15
"AL121748.2",-7.58869837599618,5.69228167795673,72.4796905247374,1.68759787890992e-17,7.23911986137199e-15
"DSTNP1",-7.855347967265,5.64723112562581,71.7038417698464,2.50045241451936e-17,1.05156281150218e-14
"AC113191.1",-8.55139186020936,5.87797873415294,71.2825833431462,3.09556321108563e-17,1.27680076444932e-14
"CICP14",-7.60880296317542,5.38294323813211,70.9449739918794,3.6732828578072e-17,1.48650133460847e-14
"RAB11FIP1P1",-7.73296813743387,5.23351450955956,69.1994980042485,8.89906942037903e-17,3.53457853570906e-14
"AC104667.1",-7.35781467994354,5.6880192892284,68.7052951184723,1.1433352027712e-16,4.45859153255211e-14
"AL031846.2",-9.22531587264544,6.0620338323983,68.4895129044331,1.27554138028387e-16,4.88532348648724e-14
"IL10RB-AS1",-5.42315269001727,5.16639757603129,66.492935288606,3.51149865354772e-16,1.32130917756652e-13
"AP001020.3",-7.79359956415115,5.83820523802742,65.7861727621301,5.02596078596128e-16,1.85856563684996e-13
"HIST1H4E",7.24167473394656,5.60088935442267,65.7444241047593,5.13356002660372e-16,1.86617958390842e-13
"SCARNA13",7.73918741064453,5.79910462769617,65.5861171511886,5.56292513015889e-16,1.98856030319413e-13
"TMSB4XP6",-10.7655502915757,6.19483883111114,65.5353217882581,5.70816804865071e-16,2.00702931651575e-13
"AC114546.3",-11.7801347444308,6.56269020438741,64.8399327115028,8.12360594149329e-16,2.81024355214755e-13
"AL118558.1",-7.79274470178606,6.05925362998067,64.4492825808688,9.90494134071034e-16,3.37208225199294e-13
"SNRPGP15",-6.76943073439664,5.22840218029673,64.4027897284266,1.01414459693464e-15,3.39865208047722e-13
"AC015922.3",-8.28280984889744,5.98228389658516,64.0622923708212,1.20546807359028e-15,3.9776737295945e-13
"AC005261.6",-8.59186244180858,6.20572251389012,63.9804103474007,1.25662538411471e-15,4.08365170280185e-13
"PCF11-AS1",10.2131814896231,6.91318174411013,63.8144718521146,1.36705638104007e-15,4.37621272545483e-13
"AC010976.1",-6.75994218279693,5.28602992723053,63.6259981251713,1.50430716349247e-15,4.74476177096861e-13
"AL355075.2",-8.03487553348672,6.16817625119153,63.5834048107035,1.53718702119082e-15,4.77820104789865e-13
"GTF3C2-AS1",-6.7586133455915,5.22954991097894,62.7790441248056,2.31246228352959e-15,6.93412463873442e-13
"AL583722.2",-6.12034968933002,5.34325729698307,62.7720894119899,2.32064227872896e-15,6.93412463873442e-13
"AC115618.2",-9.09732373855691,6.3235880219809,62.7660616899086,2.3277553804032e-15,6.93412463873442e-13
"AC008026.1",-9.23727356264837,6.01263820407044,62.284420215678,2.97267557482962e-15,8.73396516834872e-13
"AC024267.6",-5.5134963605575,5.4186682156035,61.8806837735638,3.64911643562827e-15,1.05765201772102e-12
"EEF1A1P11",-8.32616753309146,5.65945222638342,61.6701275068691,4.0609471514379e-15,1.1613225933872e-12
"AC099518.5",-8.05865116056929,5.52137144175295,60.9871506065072,5.74485446438991e-15,1.62125840200309e-12
"AC125494.1",-8.66670876701785,5.98835549173017,60.8006885000112,6.31558306194527e-15,1.75917695470912e-12
"AC092809.3",-7.90927732782714,6.20237764619476,60.7105689656508,6.61142284354025e-15,1.80924228058971e-12
