level1	level2	level3	size
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliomatosis Cerebri	5
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliomatosis Cerebri	5
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliomatosis Cerebri	5
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliomatosis Cerebri	5
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliomatosis Cerebri	5
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliosarcoma	2
Diffuse astrocytic and oligodendroglial tumor	HGAT	Gliosarcoma	2
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
Diffuse astrocytic and oligodendroglial tumor	HGAT	High-grade glioma;astrocytoma (WHO grade III/IV)	255
